,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1974-05-01,29.333252,18.22464,28.039093,29.70819,29.348907,28.09195,29.733643,25.222656
1974-06-01,28.660217,21.962769,30.680756,28.671967,27.61911,29.044952,29.671967,28.76056
1974-07-01,28.51535,25.42627,32.266174,27.41745,25.944122,28.04544,28.957825,30.266174
1974-08-01,28.526093,26.534912,33.88681,26.866302,25.171753,27.75763,28.781128,32.401276
1974-09-01,28.157532,24.720947,33.256866,27.002869,25.478638,27.4747,29.456116,30.702301
1974-10-01,28.073334,21.908417,31.008728,27.869232,27.345978,27.810486,29.58435,28.833008
1974-11-01,27.87558,18.157593,28.799225,27.55597,27.265228,27.32837,28.41745,25.111542
1974-12-01,28.058167,14.918732,25.27893,26.56723,26.240753,25.500671,26.953918,20.768433
1975-01-01,28.133667,12.110352,22.456726,26.335968,25.664124,24.154968,25.797546,17.165924
1975-02-01,28.440613,10.703491,20.922089,26.611786,25.713165,23.755157,26.476929,15.95755
1975-03-01,28.6669,10.626648,22.145569,27.246857,26.17566,24.094604,27.697083,18.555786
1975-04-01,29.225586,13.980194,24.393524,28.6221,28.103516,25.97342,28.588654,22.28418
1975-05-01,29.117615,19.372375,28.467957,29.479706,29.381195,28.408539,29.671143,26.526917
1975-06-01,28.536774,25.33081,30.12091,28.739044,28.103973,28.040802,29.268982,27.251556
1975-07-01,28.430237,28.428345,32.42923,27.365662,26.098816,28.395813,29.027588,31.492401
1975-08-01,28.064362,28.434937,33.09964,26.81546,24.891846,27.403381,28.865387,32.119476
1975-09-01,28.007324,25.513245,32.818176,27.025238,25.462341,27.566956,29.063873,32.388214
1975-10-01,28.005432,21.558105,30.49762,27.10492,26.710297,27.55423,29.171387,28.128479
1975-11-01,28.134613,18.160248,27.928589,27.392517,26.838562,26.931427,28.429749,24.688171
1975-12-01,27.783386,14.644501,24.359558,26.931915,25.888062,25.56369,27.111542,20.169159
1976-01-01,27.362549,12.711395,21.522766,26.255157,25.230804,23.868317,25.742493,16.727722
1976-02-01,27.930908,9.942688,21.055847,26.751434,25.864807,23.661469,26.247711,16.232971
1976-03-01,28.439117,9.988922,21.668457,27.623596,26.98761,25.033417,27.594269,16.533813
1976-04-01,29.11139,12.963013,24.34668,29.116364,28.655426,26.843903,28.731506,21.197083
1976-05-01,28.708618,17.727234,27.83841,29.810028,29.643463,28.442078,29.519135,25.447113
1976-06-01,28.671326,22.469055,30.632019,28.466461,27.951813,29.119354,29.68573,28.424194
1976-07-01,28.760345,25.372528,32.522064,27.443115,26.240753,28.890106,28.970184,29.968658
1976-08-01,28.49231,27.44461,33.390778,27.185516,25.028442,27.973663,28.336182,31.978577
1976-09-01,28.236725,26.192505,32.788116,26.981659,25.160217,27.553986,29.103455,31.694641
1976-10-01,28.09549,21.980255,31.30777,28.320251,27.109436,28.11142,29.1651,28.33368
1976-11-01,28.118866,18.075287,27.674835,28.436615,27.173584,27.28299,28.725525,24.053802
1976-12-01,27.93341,13.642273,24.551575,27.725037,26.19101,25.585846,27.20691,20.287598
1977-01-01,27.928162,10.531982,21.879364,27.407074,26.332764,24.825897,25.93039,16.768127
1977-02-01,27.851776,9.304871,21.210327,27.174011,25.775665,24.379242,26.183868,15.007751
1977-03-01,28.416168,10.1310425,23.754517,28.181183,27.067932,25.4234,28.08435,18.797028
1977-04-01,29.514832,14.090118,25.133423,29.622345,28.979126,26.821747,29.336243,22.179077
1977-05-01,29.527466,18.917206,28.247345,29.956116,30.325409,28.264862,29.811615,26.509857
1977-06-01,28.811737,24.36612,30.533173,28.811737,28.200165,28.933868,30.014008,29.436493
1977-07-01,28.213776,25.709015,31.58316,27.4747,25.815552,28.455109,29.346466,30.376984
1977-08-01,28.567993,26.01944,32.675476,27.223145,25.492004,27.090332,28.856018,32.36505
1977-09-01,28.15393,23.543854,32.23709,27.624573,25.507568,27.190063,28.98108,30.988098
1977-10-01,28.569458,19.497192,30.998322,28.635132,27.848877,28.548035,29.319702,28.509125
1977-11-01,28.27118,17.055176,28.49112,28.45755,27.919403,27.988007,28.67746,24.565125
1977-12-01,28.029846,13.632294,25.534332,27.74765,27.161377,26.101166,26.848022,20.376373
1978-01-01,28.01654,11.449341,23.053955,27.18573,26.339935,24.778381,26.126343,18.32724
1978-02-01,28.280914,11.199493,22.261353,26.749298,25.680237,23.905548,26.4859,18.074493
1978-03-01,29.173553,12.183502,22.770264,27.776825,26.934418,24.708801,27.819824,18.741913
1978-04-01,29.558746,15.267944,25.26413,29.261047,29.154724,27.06781,28.717316,22.061737
1978-05-01,28.994263,19.548065,28.061493,29.717773,29.37799,28.684937,29.805725,25.980865
1978-06-01,28.542358,24.32071,30.567902,28.37854,27.40274,29.218994,29.895142,28.567993
1978-07-01,28.311829,27.81839,32.256073,27.15625,25.361267,27.896667,29.27069,30.9758
1978-08-01,28.244171,26.448212,33.139557,26.935394,25.208038,26.816498,28.60617,30.971466
1978-09-01,28.265442,24.279144,32.131866,27.285278,25.832,27.44815,28.78595,30.610413
1978-10-01,28.131561,21.39914,30.494904,27.83963,27.14029,27.910217,29.075928,28.700897
1978-11-01,28.164429,17.534637,27.73767,27.684998,27.420135,26.446747,28.231598,24.132202
1978-12-01,28.032959,14.434235,24.8219,27.41867,26.4888,25.107056,26.958588,20.086487
1979-01-01,27.974365,11.538666,22.540436,27.398956,26.378723,24.427185,25.89325,17.3768
1979-02-01,28.58554,12.224304,21.630432,27.023254,25.736084,24.18637,26.081818,17.547485
1979-03-01,29.310364,11.726257,22.906952,27.826874,26.904785,25.121521,27.36319,19.154755
1979-04-01,29.940887,15.066986,25.450806,29.26828,28.989777,26.785858,28.980103,21.880432
1979-05-01,29.218018,19.31189,28.280426,30.013885,30.084015,28.619385,29.984406,25.957062
1979-06-01,28.970428,24.56546,31.154053,29.454926,29.140656,29.618866,30.128021,28.977203
1979-07-01,28.560394,25.942078,32.198975,27.309998,25.877777,28.019318,29.477173,29.969421
1979-08-01,28.476257,26.295532,33.03018,26.415466,24.74582,26.81726,28.767365,31.828583
1979-09-01,28.541534,24.125458,32.80002,27.405731,25.969147,27.500519,29.504242,31.191772
1979-10-01,28.383911,20.84082,31.733337,28.410034,27.417816,27.879578,29.42688,29.523102
1979-11-01,28.245148,17.499146,28.498016,28.25821,27.393646,27.2128,28.908539,26.316345
1979-12-01,28.335571,14.514313,24.770966,27.453613,26.300385,25.444519,27.452637,21.638184
1980-01-01,28.20337,11.930023,21.856964,27.135406,26.078339,24.138885,26.459381,17.135254
