,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6
1988-02-01,0.57762563,-0.88662684,-0.009677124,-0.54759294,-0.24393158,0.4958706
1988-03-01,0.5349129,1.0297817,-1.8179691,-1.3931751,2.1670136,2.1182945
1988-04-01,1.6324346,0.13047485,-0.5799614,-0.7231167,2.9321754,0.50154305
1988-05-01,1.1555847,0.8038708,-0.27029267,-1.3127552,2.7913563,0.6280136
1988-06-01,-0.3517143,1.1509125,-0.13581352,0.2556103,3.5014586,1.2526901
1988-07-01,-0.8836235,0.44214553,0.9610405,0.819554,2.2844741,0.77283704
1988-08-01,-0.41678467,1.117878,0.52490157,3.082004,-0.146492,0.8836231
1988-09-01,-1.4702591,0.9296738,2.5077157,0.5415863,1.9624586,0.7544838
1988-10-01,0.82222366,0.41144562,-0.21089515,0.6977558,2.6799023,1.1122043
1988-11-01,0.87194407,-0.44815177,0.4117794,-0.6593811,3.371318,0.3807457
1988-12-01,1.7452233,-0.14115295,1.090181,-1.1552509,0.79486084,-0.7027615
1989-01-01,0.32404956,-0.4970768,0.23693314,-1.5840744,1.7185173,-0.8286621
1989-02-01,0.41930503,-0.19020958,1.4384785,1.0041015,-0.92030066,-1.5958309
1989-03-01,1.4544548,1.3323708,-0.25893822,1.4550575,1.0839828,-0.89166373
1989-04-01,0.28184777,1.6708896,-0.27551746,0.7352158,0.39518967,0.6800518
1989-05-01,-0.7412443,0.63694537,0.7894751,0.29963303,1.7881502,1.6404442
1989-06-01,-0.47688025,0.32917404,1.736001,-0.3710745,2.8869045,1.0999596
1989-07-01,-0.25381356,0.104298785,0.6921093,0.8796059,0.19804725,0.44492722
1989-08-01,-2.515227,0.43407553,1.776997,2.1800241,0.86061513,0.86332816
1989-09-01,-0.6266966,0.7243641,1.8834057,1.1509031,1.2473644,0.9441147
1989-10-01,-1.5593563,-0.01718216,1.6663679,-0.031048585,0.44522896,0.97455996
1989-11-01,1.1132231,-0.519685,0.37348595,-0.2899868,0.7976143,0.59112644
1989-12-01,1.140353,0.18237229,-0.5612839,-1.2579151,-1.3784912,0.16127129
1990-01-01,1.459356,-0.82650644,0.26486856,-0.47657013,1.9520371,0.5197485
1990-02-01,-1.7512916,-0.91254026,-0.5609932,0.29193574,-1.7142357,1.2560318
1990-03-01,0.05961151,-0.09505634,0.45304793,-1.234443,0.15821227,1.3423882
1990-04-01,0.5616375,0.7092165,-0.40890312,-0.29096907,0.831662,1.4467888
1990-05-01,0.7585169,0.23135719,0.94959605,-1.0549637,1.6945798,2.180817
1990-06-01,-0.9515297,0.37539178,1.1480865,2.364485,2.5188308,1.3104877
1990-07-01,-1.7587025,0.38570327,1.0146854,1.1854649,1.4770782,0.75529444
1990-08-01,-1.6517239,0.500737,0.7146946,1.5018895,-0.48333701,0.53747064
