,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1978-10-01,1019.6802,1009.6001,1016.8822,1012.26276,1020.6639,1015.9151,1016.3303,1013.9576,1017.76733,1015.5172
1978-11-01,1019.3795,1008.61694,1016.3797,1011.5129,1017.1968,1019.3269,1017.8906,1011.38165,1013.84564,1013.841
1978-12-01,1020.7692,1008.02576,1017.0209,1011.467,1011.5882,1021.2904,1015.3766,1009.08954,1009.3134,1014.0896
1979-01-01,1016.8723,1007.1772,1014.7598,1010.9327,1015.8649,1019.64874,1016.1309,1006.05475,1009.57776,1013.12726
1979-02-01,1020.9233,1008.92944,1016.48083,1011.2478,1017.13837,1021.1344,1016.4282,1006.5006,1012.3819,1012.92084
1979-03-01,1018.7882,1008.68304,1016.09454,1010.8968,1013.7258,1018.2354,1020.60693,1009.2307,1012.438,1012.9891
1979-04-01,1014.3006,1009.3169,1013.5044,1010.77826,1016.5479,1012.5391,1013.3742,1011.2218,1016.0419,1013.5217
1979-05-01,1015.64575,1009.54706,1014.39435,1011.308,1016.60175,1010.01666,1013.7993,1013.3557,1019.44806,1014.92694
1979-06-01,1022.97626,1009.48865,1018.90735,1012.45874,1022.0313,1014.4701,1019.4377,1014.1526,1020.8284,1016.4612
1979-07-01,1016.7527,1010.84125,1017.88495,1013.1024,1020.4098,1006.10736,1015.72095,1016.109,1022.50726,1016.38367
1979-08-01,1015.3543,1010.43414,1015.3995,1012.3379,1014.3868,1013.247,1012.81213,1016.22406,1019.2219,1015.7979
1979-09-01,1022.7478,1009.70953,1018.1545,1012.09564,1018.0209,1019.9634,1016.8642,1015.6169,1018.5454,1016.4068
1979-10-01,1022.41705,1009.8778,1017.1117,1011.80585,1016.08417,1021.4507,1017.83575,1013.4454,1014.4221,1015.60297
1979-11-01,1017.9144,1008.34186,1016.02167,1010.4504,1016.1616,1014.35565,1020.622,1011.7209,1013.03186,1014.2191
1979-12-01,1018.7148,1008.38007,1015.3127,1010.4775,1013.6038,1016.29346,1016.37616,1010.54346,1011.59595,1013.6125
1980-01-01,1019.89984,1007.7977,1016.13116,1010.27264,1009.4026,1014.9964,1014.3375,1008.27124,1008.32007,1012.9698
1980-02-01,1018.7605,1008.3292,1015.5807,1010.44653,1013.83813,1014.5516,1015.633,1005.7343,1009.4858,1012.7643
1980-03-01,1017.18555,1007.2054,1014.0058,1008.8567,1015.7879,1020.05304,1009.61206,1008.4882,1013.91797,1011.17554
1980-04-01,1018.9126,1008.3148,1015.43494,1010.09766,1019.2885,1011.62146,1013.72107,1012.5175,1017.71014,1012.8773
1980-05-01,1018.9998,1009.4347,1017.0374,1011.214,1021.9213,1017.43005,1014.5263,1013.44617,1018.8649,1014.97
1980-06-01,1017.40936,1009.17584,1016.5771,1011.7518,1016.06805,1010.4093,1011.16174,1014.3605,1020.1041,1015.5268
1980-07-01,1021.1602,1009.6172,1018.2422,1011.99115,1014.39374,1009.7286,1005.565,1014.8311,1019.6622,1015.866
1980-08-01,1021.85706,1010.0041,1018.5493,1013.05585,1021.33704,1016.1754,1015.6806,1016.8343,1022.5228,1016.4905
1980-09-01,1021.2779,1010.1545,1017.53564,1012.83203,1014.3071,1013.4358,1015.02795,1015.68286,1018.1228,1016.14667
1980-10-01,1024.1908,1009.80835,1019.443,1012.68335,1016.673,1020.3269,1019.49805,1013.40314,1014.6256,1015.8758
1980-11-01,1020.62646,1009.0301,1016.80615,1011.51135,1014.29736,1019.1715,1009.6189,1011.5762,1013.07135,1015.1502
1980-12-01,1019.20306,1008.0382,1015.58417,1010.7129,1015.8206,1015.59454,1012.8756,1009.8106,1011.6278,1013.66315
1981-01-01,1022.18555,1008.22186,1017.73553,1011.3245,1016.6831,1022.48047,1021.78546,1008.01086,1011.49695,1013.8867
1981-02-01,1021.69696,1007.0856,1016.40094,1009.9579,1011.81714,1022.6641,1017.3269,1005.0266,1007.7645,1011.447
1981-03-01,1018.18823,1008.9595,1016.1792,1011.99084,1017.4194,1015.34454,1021.4007,1009.2643,1014.6429,1013.21436
1981-04-01,1018.02045,1009.16046,1015.7432,1010.8193,1016.9308,1012.39294,1016.562,1010.9997,1015.58545,1013.33685
1981-05-01,1018.78204,1010.0172,1017.5545,1012.2458,1018.57166,1011.3219,1014.60565,1012.96344,1017.85333,1015.3092
1981-06-01,1019.74054,1010.14825,1017.1571,1012.54803,1009.1492,1017.53186,1013.80945,1013.2683,1016.0807,1016.6379
1981-07-01,1021.69226,1009.7289,1019.2287,1012.55133,1015.6074,1016.7364,1012.34766,1015.0536,1020.2997,1017.05725
1981-08-01,1022.12964,1010.7168,1018.29407,1013.0959,1009.38947,1013.72156,1007.218,1014.7647,1017.032,1016.568
1981-09-01,1020.24646,1010.0811,1018.03516,1013.0153,1018.4451,1015.02765,1007.469,1015.3365,1019.37506,1016.38495
1981-10-01,1021.81415,1009.8607,1018.5697,1012.32306,1018.92444,1017.8993,1015.1947,1013.5232,1016.6259,1015.6853
1981-11-01,1023.6693,1008.96405,1017.8853,1011.65466,1012.83093,1024.4868,1017.6557,1010.5404,1011.07556,1014.9558
1981-12-01,1021.5199,1008.2551,1017.8514,1011.50757,1011.9462,1020.5041,1021.4327,1008.32104,1010.01385,1013.4426
