,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1973-02-01,-0.0630245,-0.7162631,0.03352072,-0.19447559,0.41097516,0.4569622,-0.06690292,-0.28728092,0.095991135,-0.42828956
1973-03-01,0.10499468,-0.105548725,0.2331214,-0.046264134,0.13851538,-0.17037392,0.027841592,0.056791306,0.26705766,-0.46541166
1973-04-01,-0.02811861,0.07355168,-0.29503778,0.10374801,-0.31373733,-0.022162437,0.14391747,0.06066973,0.17813078,-0.4817565
1973-05-01,-0.13089703,0.077014565,-0.29586887,0.20431018,0.049172975,0.33839312,-0.053466935,-0.10208584,-0.05374398,-0.53162205
1973-06-01,-0.052220296,0.17743823,-0.22051649,0.19904663,-0.50585824,-0.63356936,0.11815362,0.31706172,0.16580291,0.071750976
1973-07-01,-0.46970567,0.2509899,-0.14336348,0.29725403,-0.59630877,-0.11676846,0.19018161,-0.13214368,0.1779923,-0.5936769
1973-08-01,-0.26982796,0.017591452,-0.056375764,0.20403317,-0.20195544,-0.23755388,0.11205895,-0.25666898,-0.08338626,0.27841598
1973-09-01,-0.19364452,0.10596428,-0.36235625,0.21192853,0.03698361,0.018006992,-0.12452533,0.17065096,0.0972378,0.009419012
1973-10-01,-0.028672695,-0.3893668,-0.36789685,-0.047095228,-0.12036987,0.31082854,-0.022855032,-0.0001385212,0.14668778,-0.038645793
1973-11-01,0.26941243,-0.36457253,-0.121616505,-0.10831903,0.20140138,0.52691257,-0.20417169,-0.2818788,-0.3582008,0.024794256
1973-12-01,-0.08380184,0.32606524,-0.39393777,-0.2559764,-0.29933172,0.3260652,-0.1052717,0.08587954,0.31041297,-0.4065427
1974-01-01,-0.38728696,-0.2945345,-0.020486902,0.077317074,0.19167896,-0.20079985,-0.10018945,0.12671018,0.045043133,0.33649063
1974-02-01,0.20037887,-0.32147625,0.0014032364,0.11955379,0.55833864,0.24963169,-0.018803049,-0.28948292,0.2229706,-0.04841087
1974-03-01,-0.37592086,-0.21427068,0.21637551,0.014312768,0.09836527,-0.32779065,0.014733732,0.26043645,0.18901286,0.037185144
1974-04-01,0.13274398,0.008699918,-0.21132393,0.008419275,-0.023714352,-0.18241777,-0.12278118,0.11183605,-0.10439906,-0.087981485
1974-05-01,-0.16838562,0.015154695,-0.18031293,0.17736617,0.029748118,0.087560534,-0.07296705,-0.29593772,-0.0885428,-0.17189366
1974-06-01,-0.499544,0.1278327,-0.5673191,0.20683365,0.09808464,0.26338315,0.08699924,-0.23545924,0.052059174,-0.37507898
1974-07-01,-0.29228935,-0.04756893,-0.28246692,0.2957974,0.19434509,0.015856314,-0.02736268,0.226198,0.20711422,-0.033396482
1974-08-01,-0.237564,0.12278118,-0.023433685,0.31179404,0.06945906,-0.20599174,0.33438572,0.27825722,0.20935945,-0.017399788
1974-09-01,-0.08994599,0.052199554,-0.48326674,0.080684766,-0.5583386,-0.08489441,0.1439697,0.09092824,0.17315657,0.051638223
1974-10-01,-0.2558058,-0.13484888,-0.52213573,0.110152245,-0.072546124,0.13358593,0.024977196,0.10762644,0.26562837,-0.18971443
1974-11-01,-0.05963657,-0.57321274,-0.040833473,-0.0710026,0.3436469,0.7132534,-0.09864588,-0.17119202,0.50052625,-0.2556655
1974-12-01,-0.33185998,-0.39009333,-0.2600155,-0.0874202,0.46137658,0.29088613,-0.32905355,-0.050094746,0.6269558,0.21356907
1975-01-01,-0.10630421,-0.043622304,0.075567245,-0.00456357,0.23139958,0.7119161,-0.017180443,-0.039729882,0.10039842,0.24495602
1975-02-01,-0.16200653,-0.49648896,0.17287855,-0.08536549,0.11717625,0.39434567,-0.04711213,-0.17797904,-0.18791147,-0.05167558
1975-03-01,0.45488006,-0.7582229,0.05100453,0.009395575,-0.043219637,0.4378338,-0.416895,-0.21703777,0.3219998,-0.20079677
1975-04-01,-0.10965977,-0.1833479,-0.28804147,0.060534336,0.39099014,-0.23368137,-0.21274269,-0.7113792,-0.043622304,0.27488765
1975-05-01,-0.36602476,-0.13167222,-0.30159795,0.14039671,0.066171646,-0.108586,0.36870915,-0.117176175,0.21354797,-0.18294522
1975-06-01,-0.33434823,0.39568788,-0.13637006,0.23784228,0.2249569,0.3322007,0.06805086,-0.36884347,0.018791104,-0.17059676
1975-07-01,0.089526415,0.059192084,-0.33837488,0.0037582398,0.34092513,0.09194239,0.107378006,-0.13583317,0.29153126,-0.47514763
1975-08-01,-0.08415751,-0.38830575,-0.69943345,0.26186806,0.28388056,-0.10684113,-0.11086776,0.38427895,-0.06912458,0.4187742
1975-09-01,-0.3670985,0.19596481,-0.6880244,0.089794874,0.1916697,-0.13073273,0.28629658,-0.10106955,0.3383749,-0.29837656
1975-10-01,-0.063755654,-0.28723612,-0.05905788,0.12133713,0.14241008,-0.10388813,-0.21166888,0.38052073,0.048856974,0.17274436
1975-11-01,-0.013422275,-0.21005821,-0.6331274,0.064158365,-0.07731207,0.049259663,-0.12522957,0.08952639,0.3448176,-0.26401561
1975-12-01,-0.07852016,-0.23918447,0.2846859,-0.02053604,0.2393187,-0.2731428,-0.29757124,-0.030602742,-0.14428917,0.092076614
1976-01-01,0.07442452,-0.20932734,-0.104998924,0.011934733,0.054309785,0.3377935,-0.14630118,-0.14308281,-0.08729795,0.11264253
1976-02-01,-0.07040157,-0.13114801,-0.48583794,0.12699103,0.11907923,0.13329366,-0.21965289,-0.018773746,0.028294731,0.1955152
1976-03-01,0.3784252,-0.36233345,-0.17687556,0.014616704,0.5984805,0.41248617,-0.3203607,-0.6572155,-0.2445952,-0.37748653
1976-04-01,-0.36742917,-0.5504733,0.5086346,0.012337041,0.12538186,0.21455717,-0.30641446,-0.12538186,0.30802366,-0.025210451
1976-05-01,-0.48235136,0.31781283,0.024405878,0.12538186,0.20771818,0.17768016,-0.054443885,-0.6022352,0.030306201,-0.4830219
1976-06-01,-0.18626241,-0.07134028,0.1232363,0.33980495,0.093600556,-0.43622154,0.13128218,-0.44882685,-0.26189387,-0.16507494
1976-07-01,-0.5370635,0.18183723,-0.17419362,0.4092678,-0.18974905,0.52097166,0.03808389,-0.054175694,-0.15917464,-0.32290858
1976-08-01,-0.34034133,-0.28777486,-0.19430833,0.18907852,0.043581866,0.49200645,0.428578,0.46170026,-0.14858083,-0.16748871
1976-09-01,-0.26457587,-0.085688785,-0.39947864,0.2413768,-0.023333073,0.18867616,0.40283114,-0.1153245,0.09909864,-0.45378846
1976-10-01,-0.2647099,0.018773746,-0.07791104,0.024674077,0.1728526,0.14281462,-0.00026819707,0.04089997,-0.16292937,-0.18398277
1976-11-01,-0.11840874,0.110765144,-0.14951953,-0.09400286,0.402697,-0.06852422,-0.026015043,0.15421295,-0.17647329,0.10459664
1976-12-01,-0.038486194,-0.026953746,-0.27503547,0.054175686,-0.29863676,-0.026149178,-0.33202726,0.0147508625,0.11679959,-0.13463463
1977-01-01,-0.3585127,-0.072673365,-0.17849357,-0.14742708,-0.3349355,-0.34519848,-0.107484475,0.29873747,-0.07877569,0.16129604
1977-02-01,0.11691538,-0.067819215,0.1472884,0.18917267,0.2811239,0.06948352,-0.029124826,-0.47334772,0.16615017,-0.2947155
1977-03-01,0.42730278,-0.23119564,-0.15838356,-0.0015255868,0.34117648,0.1042946,-0.45157346,-0.38652796,0.5012244,-0.5274367
