,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10
1977-11-01,-3.8370056,4.117157,3.3843994,2.362152,-4.9818726,-11.6067505,-8.256836,-7.0579834,-0.7250061,-1.4436646
1977-12-01,-2.9666748,3.821228,3.9559937,2.1533203,-4.532379,-10.116058,-6.5686035,-5.77359,0.6756592,-1.0832214
1978-01-01,-1.4582214,3.8919678,4.1384277,1.8316345,-3.981079,-8.126373,-5.7818604,-4.405884,1.2516785,-0.3968811
1978-02-01,-0.36013794,3.3743591,3.4942322,1.890625,-3.3387146,-7.528961,-4.315979,-3.3338928,1.9515076,0.04827881
1978-03-01,-0.57907104,3.2685242,3.0771484,1.6044922,-3.1584473,-7.6546326,-4.5431213,-4.7431946,1.1347351,0.7655029
1978-04-01,-1.1931152,3.4553223,2.757904,1.5970154,-3.5671082,-9.354187,-6.1880493,-5.2407837,0.54244995,1.0890503
1978-05-01,-2.2614746,3.4613342,3.138977,1.6078491,-3.6480713,-10.537567,-7.421692,-5.7214355,-0.35629272,1.0491638
1978-06-01,-3.3442993,3.123291,3.4282532,1.7690735,-4.047516,-11.47348,-7.8013306,-7.0222473,-1.0848389,0.30804443
1978-07-01,-4.0445557,3.084198,3.4954834,2.3500366,-5.3461,-11.560883,-8.940887,-7.6644897,-1.386383,-0.24093628
1978-08-01,-5.4270325,3.2018738,3.8461304,2.097046,-6.018097,-11.8941345,-9.962341,-7.6009216,-1.5141907,-1.5678406
1978-09-01,-5.933014,3.0709534,3.7340393,1.3764648,-6.2519836,-12.175842,-9.7569275,-8.093872,-1.6644592,-2.1429443
1978-10-01,-4.9971313,3.2538452,3.0097656,1.2529602,-5.907196,-11.886627,-8.895447,-8.198517,-1.5820923,-2.2384338
1978-11-01,-3.7726135,3.5596008,3.2594604,0.8279724,-5.353485,-11.225616,-7.9778137,-7.079376,-0.27926636,-1.844696
1978-12-01,-3.059723,3.6910706,3.792572,1.1609802,-4.3052063,-10.061829,-5.9015503,-5.0649414,0.56796265,-1.4653015
1979-01-01,-1.5192871,3.8218079,3.8324585,1.2189636,-3.0883484,-8.239868,-4.3812866,-3.2865906,1.3040466,-0.90423584
1979-02-01,-0.9871216,3.640747,3.7374573,1.5252991,-2.6524048,-7.440338,-3.8220825,-3.2413635,1.2390442,-0.28503418
1979-03-01,-0.61242676,3.6242676,3.288208,2.0010376,-2.9532166,-6.809387,-3.8830566,-3.4618835,1.6553345,0.4256897
1979-04-01,-0.41259766,3.815857,3.2651367,2.46344,-3.1199036,-8.698883,-5.4906616,-5.128479,0.5539551,0.80877686
1979-05-01,-1.6148071,3.6726074,2.8796387,2.4908752,-3.2476807,-10.230835,-6.385315,-6.2054443,-0.3392334,0.854126
1979-06-01,-2.513031,3.4281006,2.807251,1.9330139,-3.8717651,-11.621338,-7.521942,-6.962494,-1.0160217,0.013397217
1979-07-01,-3.7141113,3.512268,3.039856,2.143402,-4.8363953,-12.0390625,-8.487518,-7.4203796,-1.7490234,-0.7031555
1979-08-01,-4.189728,3.0603333,3.3518982,2.1909485,-5.1770935,-12.634125,-9.43219,-8.109711,-1.8774719,-0.8794861
1979-09-01,-4.625885,3.32724,2.8731995,2.101471,-5.377777,-12.625916,-9.181732,-7.8728027,-2.2565918,-0.82629395
1979-10-01,-3.9900818,3.4084167,3.7570496,1.717041,-5.730316,-12.869659,-9.490753,-7.5914307,-1.423523,-1.368866
1979-11-01,-3.658844,3.3605652,4.0099487,1.3703613,-4.999695,-11.537994,-8.996063,-6.209961,-0.7315674,-0.91482544
1979-12-01,-3.2095947,3.5308533,3.6410828,1.5551453,-3.8768616,-10.431122,-7.2417603,-4.7322083,0.15386963,-1.1071777
1980-01-01,-1.6256409,3.5607605,3.8977966,1.3035889,-3.1394958,-8.659943,-4.994812,-2.9638062,1.4960938,-0.29489136
1980-02-01,-0.56326294,3.4062195,3.800171,1.5801086,-2.5621033,-8.198853,-4.598572,-1.7762146,1.9092102,0.18353271
1980-03-01,0.37365723,3.3405151,3.370697,1.4119263,-2.0626526,-7.8330383,-4.476715,-2.1740112,1.440155,0.9996948
1980-04-01,0.07385254,3.3901062,3.0689087,2.0855713,-2.4847107,-9.051361,-5.557953,-3.839203,-0.10974121,1.107666
1980-05-01,-1.3207092,3.5222473,2.8432617,2.0004883,-3.5071106,-10.317749,-7.0999756,-5.2778015,-0.69763184,0.7741699
1980-06-01,-2.1368408,3.474701,2.9298096,2.0499268,-4.213867,-11.579254,-7.8250427,-6.0340576,-1.4434814,0.0847168
1980-07-01,-3.3841248,3.3750305,3.1513367,1.6325378,-5.1018677,-12.599915,-9.087189,-7.33432,-2.0207214,-0.5979309
1980-08-01,-4.40448,3.3726807,3.057434,1.3396912,-5.4239197,-12.8714905,-9.380066,-8.424927,-2.4095764,-0.9570923
1980-09-01,-4.731079,3.2816467,3.4790955,1.2397461,-6.0301514,-13.035767,-9.232056,-8.6362,-2.0804443,-1.7068176
1980-10-01,-5.091614,3.5402222,3.3471985,1.2973938,-5.9937744,-12.354065,-8.8715515,-7.6462097,-1.2488098,-1.9173889
1980-11-01,-4.128235,3.5256958,3.7028503,1.1878357,-5.9592896,-11.011108,-7.639923,-7.4147644,0.03277588,-1.8433228
1980-12-01,-3.6837463,3.4332275,3.5386353,0.99591064,-4.1810913,-9.448669,-6.50708,-4.6665955,0.76330566,-1.2884827
1981-01-01,-2.8129578,3.6254578,3.8797302,0.0046081543,-3.502472,-8.093262,-5.3546753,-3.050293,0.99401855,-1.0032959
