,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5
1984-06-01,18.448044,67.08324,53.831184,30.048723,32.479828
1984-07-01,17.272709,68.48511,60.070633,35.260574,29.311678
1984-08-01,19.918854,64.14162,59.258076,36.92016,33.72082
1984-09-01,30.56088,65.044464,57.83487,38.427086,32.578316
1984-10-01,17.502525,68.0977,53.061306,39.75836,37.333824
1984-11-01,21.089264,71.219894,36.409645,32.506092,63.81824
1984-12-01,22.939266,71.74354,35.186707,42.240353,47.73783
1985-01-01,20.93779,63.435005,38.206383,25.26068,57.522408
1985-02-01,22.291256,59.42382,21.81549,30.126598,65.10346
1985-03-01,25.093342,66.096,39.8207,30.157768,42.859028
1985-04-01,22.0747,70.36311,39.61727,40.442474,51.367004
1985-05-01,22.27977,68.67333,52.451416,39.26783,55.41592
1985-06-01,24.010569,69.61665,56.159096,31.908253,38.723164
1985-07-01,22.036968,68.696304,66.57669,35.868576,33.27484
1985-08-01,23.520039,67.746414,60.500034,33.60296,29.714815
1985-09-01,14.378807,69.12777,56.02293,36.729874,35.456795
1985-10-01,18.350616,70.36475,53.053505,31.880363,48.59609
1985-11-01,18.974033,69.32136,44.612793,35.08111,57.000706
1985-12-01,25.546139,70.5928,44.030396,38.181778,55.988476
1986-01-01,23.165802,67.842514,27.113848,34.086487,56.213253
1986-02-01,19.31781,67.14706,33.748596,33.809288,63.053032
1986-03-01,26.743155,67.64077,37.947598,34.585114,56.15584
1986-04-01,24.9717,63.74521,28.652388,37.373516,56.12632
1986-05-01,28.442438,64.429184,49.863903,41.38553,63.74849
1986-06-01,29.985899,68.267334,52.690025,40.68351,49.63263
1986-07-01,23.336386,70.56695,65.69217,35.789047,29.152658
1986-08-01,32.65128,63.54838,57.848564,43.184868,32.37736
1986-09-01,14.162552,68.45596,55.91637,35.30026,35.621742
1986-10-01,15.88644,70.735886,48.7141,27.929045,55.79007
1986-11-01,16.071789,70.61451,37.18817,26.905537,56.319866
1986-12-01,21.161434,76.004326,37.777016,33.254887,54.3237
1987-01-01,28.954012,69.85744,19.262299,37.542095,58.55928
1987-02-01,19.601261,67.08471,31.74281,37.91479,56.17531
1987-03-01,24.468805,65.9875,33.402275,33.39906,59.92637
1987-04-01,32.142815,63.44128,33.73481,36.097893,55.143967
1987-05-01,27.281698,62.51757,41.555008,40.62166,42.171883
1987-06-01,21.477594,70.85505,57.23717,36.356537,33.975777
1987-07-01,26.406183,66.43249,59.74002,33.036003,39.519634
1987-08-01,22.717773,66.94495,63.87663,31.514694,38.581467
1987-09-01,22.070375,68.67027,51.903755,37.01518,37.33486
1987-10-01,20.385208,70.44058,46.01451,27.48893,60.854897
1987-11-01,25.704165,70.32813,45.78479,29.445587,39.257782
1987-12-01,23.916185,69.73856,24.274424,34.237625,67.873474
1988-01-01,26.504301,68.295364,34.347557,37.277374,58.98964
1988-02-01,32.502373,66.14726,32.157112,32.039856,63.028526
1988-03-01,26.80396,64.197845,28.307142,32.210854,63.061096
1988-04-01,22.177156,63.331444,32.52517,42.513268,50.698524
1988-05-01,22.683647,67.2661,53.38569,37.676376,54.83187
1988-06-01,19.704967,65.92577,57.76006,32.49423,49.306087
1988-07-01,17.937958,69.57706,68.39471,33.09029,38.645386
1988-08-01,24.3106,67.441986,71.6193,34.761215,42.905758
1988-09-01,18.291359,67.96965,57.61023,32.233658,40.404255
1988-10-01,20.973633,70.51512,49.907036,39.405933,56.46371
1988-11-01,20.107227,70.11612,44.689056,30.57413,50.22298
1988-12-01,14.14336,66.94527,46.99513,32.253197,57.442486
1989-01-01,19.498508,65.09698,26.646612,24.644753,43.395508
1989-02-01,30.632431,67.1086,25.63429,27.712645,46.774258
1989-03-01,18.128128,66.95887,31.38923,35.231827,55.922596
1989-04-01,27.621502,61.207184,34.295998,27.144636,46.370632
1989-05-01,24.44945,67.476425,56.16347,34.938873,40.037918
1989-06-01,19.4627,67.82634,53.56919,37.503857,37.747986
1989-07-01,19.544079,70.52641,56.85029,31.001879,29.548496
1989-08-01,23.201136,68.195786,61.999786,34.003044,33.387836
1989-09-01,28.37342,66.01002,55.907948,42.80146,39.850754
1989-10-01,16.386673,70.117905,47.87935,33.90702,56.536175
1989-11-01,22.107435,67.688,45.70823,28.362028,56.363655
1989-12-01,21.563843,69.79077,33.085114,28.772165,47.296696
1990-01-01,21.505585,64.06486,28.747904,34.060028,50.691147
1990-02-01,18.161335,67.89411,38.180943,39.16734,64.343414
1990-03-01,19.875244,65.08075,24.975998,36.994644,42.503395
1990-04-01,30.109524,58.95919,30.41593,34.736744,62.781887
1990-05-01,24.887518,66.403046,48.569244,33.239124,49.052612
1990-06-01,19.282093,64.45155,55.233162,40.32087,38.062965
1990-07-01,23.86671,65.53462,63.60443,36.326122,38.511925
1990-08-01,11.453178,70.376495,53.14895,33.045776,37.535362
1990-09-01,18.118736,67.46482,55.592003,27.576351,34.648262
1990-10-01,14.921955,67.920334,53.18991,28.652868,54.114044
1990-11-01,16.172157,64.6449,46.278576,38.158005,44.830112
1990-12-01,17.59768,67.39928,38.231735,37.484566,42.123253
1991-01-01,14.80492,71.0367,36.81762,28.786625,51.63506
1991-02-01,25.946438,60.683113,24.067265,36.286835,50.67075
1991-03-01,15.167568,63.468903,32.378483,31.925175,61.52874
1991-04-01,22.16666,67.28165,40.397934,37.152245,45.73215
1991-05-01,27.598131,67.81078,59.049553,31.628462,47.741547
1991-06-01,25.733793,65.54918,52.907623,40.930367,43.70627
1991-07-01,22.666126,68.382774,66.070076,32.498817,39.33637
1991-08-01,19.558899,66.3091,65.15686,35.523624,36.667614
1991-09-01,27.06405,65.56567,46.92724,33.17301,38.433044
1991-10-01,16.815964,69.86139,50.029522,31.788357,59.234173
1991-11-01,15.815388,66.7657,38.10007,33.825775,47.916275
1991-12-01,22.273808,69.91579,27.66077,29.134438,65.166756
1992-01-01,15.293999,71.015175,20.295967,36.334976,52.495426
1992-02-01,21.745226,65.54848,19.999638,39.09909,63.249092
1992-03-01,25.497107,65.760605,34.98611,39.97998,53.66293
1992-04-01,21.750084,65.3995,45.056435,37.874912,46.77126
1992-05-01,18.333393,65.14527,56.451336,37.3114,60.957806
1992-06-01,28.740532,69.12061,50.668877,34.647682,53.285637
1992-07-01,24.408947,70.28002,63.375397,35.046024,34.297913
1992-08-01,12.011711,68.58463,69.25987,32.04549,41.521538
1992-09-01,19.053974,66.08769,52.495426,30.452114,41.13939
1992-10-01,21.442421,71.272644,46.10897,36.858,38.40442
1992-11-01,17.915619,69.46228,49.332966,37.102516,52.71403
1992-12-01,20.60363,71.58354,26.721285,30.097492,63.198895
1993-01-01,21.053148,70.669426,34.5189,28.062086,56.25854
1993-02-01,21.18362,69.6702,22.429478,28.937208,63.522064
1993-03-01,28.415318,63.300896,25.26965,31.420967,53.85275
1993-04-01,29.720045,64.79656,44.07047,40.64476,54.41601
1993-05-01,20.825615,63.98031,58.691383,40.01149,62.45123
1993-06-01,17.956802,68.8619,56.137615,34.7528,41.71559
1993-07-01,32.673187,68.60255,64.814064,34.572998,31.32709
1993-08-01,21.778704,67.65105,62.39395,27.834555,41.481697
1993-09-01,25.759718,66.106064,51.093727,31.177523,29.912573
1993-10-01,19.185158,67.57945,50.555923,27.834555,48.253555
1993-11-01,20.32441,68.349556,41.05686,27.852057,54.58467
1993-12-01,18.674404,68.505486,36.89128,27.957071,54.247353
1994-01-01,21.384758,64.37774,30.430565,28.48308,53.416687
1994-02-01,18.54575,61.874058,27.148214,42.71681,60.47148
1994-03-01,15.645481,64.30358,20.64478,29.921124,58.22575
1994-04-01,27.267515,62.715607,32.473167,44.912563,45.600956
1994-05-01,20.610924,65.704544,47.72739,35.01715,51.112915
1994-06-01,19.875778,69.0143,57.526073,37.8223,39.72142
1994-07-01,17.631657,67.702,65.619095,28.407309,37.930317
1994-08-01,19.664585,68.13245,69.07556,28.005882,36.277855
1994-09-01,19.677483,69.85584,60.548866,32.568283,46.221634
1994-10-01,17.95409,71.635666,48.143326,23.453154,61.757984
1994-11-01,24.704187,72.433685,40.64196,41.4158,65.686806
1994-12-01,21.34768,76.73814,32.577957,31.320475,65.50141
1995-01-01,18.382172,65.90346,28.449614,32.031906,55.464104
1995-02-01,14.543888,70.21831,32.027073,37.803818,48.85176
1995-03-01,23.299166,65.93083,32.7387,27.032797,51.071976
1995-04-01,14.753189,67.15122,45.2421,36.642994,62.30024
1995-05-01,23.59541,65.488075,46.79577,35.393623,45.548004
1995-06-01,20.839058,67.48128,54.06178,33.875374,48.71008
1995-07-01,22.610079,67.985214,63.76214,38.11777,45.013477
1995-08-01,22.220453,62.24872,65.65874,35.21652,34.0879
1995-09-01,21.473406,65.92922,57.230293,32.76446,37.335304
1995-10-01,21.87108,71.78003,49.924034,37.00364,46.03262
1995-11-01,17.110256,72.27591,40.63745,31.197914,55.836018
1995-12-01,18.155159,69.44228,29.982351,26.34854,50.626
1996-01-01,20.546612,63.746525,18.25401,29.259146,63.546608
1996-02-01,21.652609,64.25922,19.850124,37.75403,51.849823
1996-03-01,18.55711,68.08183,30.814955,23.722721,73.737564
1996-04-01,19.68084,65.01374,45.79748,22.466787,59.209686
1996-05-01,26.070139,66.171326,53.457222,32.4546,45.97805
1996-06-01,21.673567,69.61346,56.98802,33.913677,36.294952
1996-07-01,24.101597,67.232185,62.140736,31.351831,34.437653
1996-08-01,22.260422,60.29956,60.849335,34.029755,35.24216
1996-09-01,29.481634,67.58204,58.105305,40.577057,40.190117
1996-10-01,22.104034,70.86133,48.320633,29.628347,53.395958
1996-11-01,22.17981,72.620285,43.84345,40.34328,47.983677
1996-12-01,20.33702,70.24707,20.233837,33.74278,63.15483
1997-01-01,18.330334,66.24835,23.039013,30.803797,49.655003
1997-02-01,22.207779,64.424255,34.574036,36.22496,60.713387
1997-03-01,21.384792,68.37427,40.59059,30.338701,60.141087
1997-04-01,23.02417,68.443535,46.468605,36.074875,55.988213
1997-05-01,21.29903,66.23186,54.015682,33.84011,51.764423
1997-06-01,23.833963,66.49079,60.01904,43.379513,43.488365
1997-07-01,20.695396,67.854744,61.24775,28.255669,35.987465
1997-08-01,30.564651,63.055355,59.979458,40.6747,37.440475
1997-09-01,23.299599,66.21536,50.656113,30.439306,37.757137
1997-10-01,26.669065,68.99439,52.142105,25.687748,64.445694
1997-11-01,22.257256,73.18849,38.312943,35.713684,45.512024
1997-12-01,27.310635,75.24019,36.830246,26.52723,60.093258
1998-01-01,16.952148,71.5609,18.467037,36.202988,57.436234
1998-02-01,24.705017,67.681984,27.992512,29.647823,34.597237
1998-03-01,20.522137,69.05315,31.522852,28.088327,61.445656
1998-04-01,25.493025,65.70949,31.114805,33.43918,52.011044
1998-05-01,28.873032,66.27612,47.669567,33.80097,58.407616
1998-06-01,15.476906,66.2563,57.545265,29.211693,38.15731
1998-07-01,14.877228,68.674835,67.323494,38.53562,37.040554
