,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1973-04-01,1018.48706,1021.0934,1013.94696,1010.6403,1012.4255,1020.27344,1015.527,1015.2254,1009.47186,1016.0466,1013.85693,1019.8741
1973-05-01,1021.2355,1020.74414,1016.7572,1012.1329,1009.122,1018.43555,1014.43054,1014.2319,1010.7368,1009.35547,1016.4408,1017.5018
1973-06-01,1019.3667,1021.7981,1018.67413,1012.657,1020.78076,1020.07404,1016.7784,1018.25165,1010.70337,1021.60455,1016.5507,1015.3784
1973-07-01,1023.5325,1020.98016,1018.77765,1013.039,1018.54614,1019.5924,1021.6965,1015.7225,1011.24744,1014.2711,1016.4241,1021.28107
1973-08-01,1019.2567,1026.8842,1021.0695,1013.58813,1022.74084,1024.7555,1015.52057,1021.8805,1011.3181,1023.29834,1017.16425,1014.70703
1973-09-01,1018.5095,1026.7266,1021.1705,1014.10455,1020.18085,1028.5696,1015.6993,1025.133,1011.37213,1023.2141,1016.7346,1017.3732
1973-10-01,1016.2048,1023.52856,1021.28625,1012.93994,1022.0097,1027.0674,1021.2303,1025.5864,1009.9027,1024.0225,1018.36743,1020.40845
1973-11-01,1011.1599,1025.3961,1019.66125,1012.67755,1015.1277,1025.2515,1015.85626,1020.0715,1007.8938,1015.07874,1014.3161,1012.4473
1973-12-01,1011.7586,1023.83026,1020.2888,1012.91486,1016.8498,1025.0835,1015.5566,1020.5377,1007.4302,1019.50244,1011.1741,1016.69995
1974-01-01,1009.12915,1020.3206,1019.712,1011.91956,1016.3306,1022.0642,1015.66095,1023.47577,1007.0153,1020.9353,1011.3293,1018.6272
1974-02-01,1012.18243,1021.1174,1019.52856,1011.26276,1019.3914,1025.6711,1017.4562,1023.6687,1006.31226,1018.615,1011.834,1013.27875
1974-03-01,1014.2738,1021.2763,1019.1788,1012.0037,1019.0552,1021.7491,1017.319,1022.4799,1008.09875,1019.6264,1011.92975,1015.7213
1974-04-01,1015.31384,1022.4874,1016.70764,1010.6765,1015.77026,1019.0348,1016.48486,1018.5002,1008.68896,1018.5016,1012.1702,1016.91486
1974-05-01,1019.5334,1017.9684,1017.3971,1012.0941,1015.71594,1015.1929,1018.2067,1015.9632,1009.83826,1013.3107,1016.10175,1016.622
1974-06-01,1020.845,1021.04877,1020.40894,1012.3312,1013.6062,1022.1315,1015.27985,1019.55505,1010.3987,1013.60474,1015.69354,1012.8515
1974-07-01,1016.30414,1023.4628,1021.19415,1013.0559,1010.84705,1022.9432,1008.75555,1021.28174,1011.16693,1015.7397,1016.0923,1008.1504
1974-08-01,1016.7919,1026.1154,1015.178,1012.66064,1011.8197,1019.22565,1007.22046,1011.9392,1011.3632,1015.8382,1013.92206,1009.2644
1974-09-01,1018.5505,1025.7356,1020.5543,1013.1429,1020.87555,1022.0704,1013.16187,1023.3134,1011.0032,1023.8643,1016.6682,1014.6406
1974-10-01,1013.6965,1026.0651,1019.46,1012.5227,1018.4451,1026.2953,1015.4788,1020.5054,1009.3153,1019.0491,1015.7961,1013.7447
1974-11-01,1011.90125,1025.3274,1019.3798,1011.34625,1015.29,1030.0415,1016.5147,1023.36237,1007.6035,1015.87354,1012.2062,1011.0861
1974-12-01,1009.6509,1021.51337,1018.5845,1011.0094,1015.99915,1020.84296,1012.7244,1020.14197,1007.21295,1014.8404,1008.3908,1009.538
1975-01-01,1009.08545,1021.9545,1014.96063,1010.40704,1010.86304,1022.623,1008.2607,1017.07166,1006.8693,1014.2894,1007.1682,1012.2594
1975-02-01,1012.43506,1021.13257,1017.63763,1011.8525,1018.8035,1023.36127,1017.0938,1020.1127,1008.17975,1017.3837,1014.8748,1015.77844
1975-03-01,1012.88556,1021.5519,1018.41815,1011.0879,1019.8968,1023.52936,1019.4768,1020.3694,1008.1383,1018.7883,1014.55444,1014.9454
1975-04-01,1019.3052,1020.1085,1015.78125,1010.37384,1016.3265,1015.41656,1019.7238,1017.41626,1008.341,1016.9575,1015.1225,1020.1839
