,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11,ssta30_cluster12
1974-02-01,-3.5231323,0.31384277,1.179718,-0.46246338,2.317749,3.9697266,-4.9930115,-5.20105,1.8654785,-0.6900635,-3.819275,-0.82025146
1974-03-01,-3.4681091,0.5387268,1.0732117,0.042877197,1.8960266,3.8269958,-5.718231,-5.460266,1.9997864,0.5925598,-4.599762,-0.063812256
1974-04-01,-3.855957,-0.3718872,1.2923279,0.2296753,1.2169495,3.421051,-8.184387,-6.6121826,1.8488464,0.4925232,-5.2788696,0.9369507
1974-05-01,-4.1309204,-1.9522705,1.3306274,-0.61550903,0.28805542,3.3668518,-9.768677,-8.114258,2.173523,0.39230347,-6.564575,1.361969
1974-06-01,-5.7826233,-3.3102722,1.2804871,-1.808075,-0.68914795,3.7728882,-10.685181,-10.320038,2.9682007,-0.53497314,-8.306335,1.4620972
1974-07-01,-6.4523926,-3.3363953,0.9459839,-3.5894775,-1.129364,3.6929321,-10.59137,-10.355957,3.0404663,-1.4622192,-9.088196,1.0140381
1974-08-01,-6.436157,-3.1968079,0.81637573,-4.719574,-1.3828125,3.8868408,-10.929504,-10.343597,3.2754822,-2.36911,-9.307404,1.0253906
1974-09-01,-6.367401,-3.4310303,0.807312,-5.2562866,-1.100647,3.5395508,-11.2621155,-10.332123,2.711853,-2.9866028,-9.696777,0.9595337
1974-10-01,-6.104065,-2.84906,0.9213257,-5.2230225,-0.39486694,3.6966553,-11.195587,-9.790283,2.5620422,-2.910736,-8.691925,-0.3928833
1974-11-01,-6.1516113,-1.7698364,1.2507019,-4.6322937,0.4978943,3.9291077,-10.126129,-9.059082,2.4048767,-2.7208862,-7.6048584,-0.040527344
1974-12-01,-5.4444885,-1.0725098,1.3395996,-4.283478,1.5339355,4.0297546,-8.589355,-7.710266,2.4272156,-2.4024353,-6.1557007,-0.28448486
1975-01-01,-3.8755798,-0.60217285,1.7778015,-2.1575623,2.1497803,3.8432922,-7.1254272,-6.2385864,2.3317566,-1.8147888,-4.6223755,0.28652954
1975-02-01,-3.2139282,0.11935425,1.9642334,-0.9343567,2.348938,3.3206482,-6.0856323,-5.721649,1.8703918,-0.9423828,-4.2129517,0.7666931
1975-03-01,-3.1448975,-0.21331787,1.9460144,0.34347534,2.1275024,3.3726807,-6.8907166,-5.410309,1.493866,0.005432129,-4.0802917,1.025238
1975-04-01,-3.677887,-0.76986694,1.7897339,0.190979,1.2729797,3.3102112,-8.592957,-6.5821533,1.8901367,0.7067566,-4.9612427,1.5544434
1975-05-01,-4.468567,-1.9513855,1.4129944,-1.6425781,0.508728,3.4431458,-10.448212,-8.068237,2.0655212,0.0037841797,-7.0743713,0.8095093
1975-06-01,-5.063385,-3.4985657,1.3745117,-2.900299,-0.079956055,3.8030396,-11.037811,-9.7309265,2.6470032,-0.8621216,-8.685211,0.80215454
1975-07-01,-5.660797,-3.9008179,1.1985779,-3.4382935,-0.6938782,3.7775269,-11.556519,-10.69278,2.170288,-1.3756409,-9.454712,0.7690735
1975-08-01,-5.5939636,-3.9900208,0.8986206,-4.7538147,-1.2215576,3.7411194,-11.403381,-10.541077,2.2790833,-2.0673828,-9.509979,0.4894104
1975-09-01,-5.963806,-3.7441406,0.658905,-5.5606995,-1.2694092,3.2703857,-11.065552,-10.76004,2.2227783,-2.8954773,-9.274445,-0.4631958
1975-10-01,-5.8628845,-3.0543518,0.79989624,-5.4286804,-0.35424805,3.27182,-11.994812,-10.199921,2.2006226,-3.0916138,-9.005707,-0.94595337
1975-11-01,-5.796509,-1.3416138,0.9417114,-4.772003,0.42025757,3.52771,-10.348999,-8.750732,1.9954529,-2.8894348,-8.313202,-0.613678
1975-12-01,-4.9158936,-0.09466553,1.0849304,-3.891388,1.4093018,3.5724182,-7.680603,-7.472687,2.0099792,-2.6618042,-6.646179,-0.85232544
