,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,abs_vo850_cluster11
1971-08-01,-2.1524187e-05,-1.5296942e-05,-3.3202945e-05,-6.736355e-05,5.8365382e-05,-4.333896e-05,-8.0599246e-05,-2.5711617e-05,-8.3567764e-05,3.231167e-05,-5.389952e-05
1971-09-01,-1.5139392e-05,-1.7195796e-05,-4.044181e-05,-4.0763007e-05,4.9045244e-05,-4.7717105e-05,-8.2440056e-05,-2.5388234e-05,-8.467888e-05,2.5727868e-05,-5.7647474e-05
1971-10-01,-1.3937062e-05,-1.46087095e-05,-3.6411926e-05,-2.4127803e-06,-3.2232358e-05,-4.5038807e-05,-8.015148e-05,-2.1855865e-05,-8.140356e-05,-1.444821e-06,-4.475351e-05
1971-11-01,-1.4708212e-05,-1.7121167e-05,-2.8725297e-05,-4.212132e-06,6.850642e-05,-5.5552988e-05,-7.683471e-05,-2.2734812e-05,-9.120464e-05,-3.465404e-05,-5.433899e-05
1971-12-01,-1.0454447e-05,-1.9078065e-05,-2.7008866e-05,7.248003e-05,6.965901e-05,-5.23523e-05,-7.8874524e-05,-2.405323e-05,-8.545832e-05,-3.1395306e-05,-5.860934e-05
1972-01-01,-8.8211145e-06,-2.3008744e-05,-3.0189482e-05,0.00010940894,1.1057273e-07,-5.656434e-05,-7.26824e-05,-2.3472448e-05,-8.671843e-05,-4.0849518e-05,-6.0721286e-05
1972-02-01,-1.4135903e-05,-1.2468341e-05,-2.6533335e-05,7.386406e-05,-1.035849e-05,-4.71297e-05,-8.858217e-05,-2.2634214e-05,-8.83414e-05,-1.8805638e-05,-5.0965617e-05
1972-03-01,-3.360265e-05,-1.4653115e-05,-1.725921e-05,7.525518e-05,-1.9516687e-05,-4.637172e-05,-8.615663e-05,-2.2500453e-05,-8.22508e-05,-3.9886436e-05,-5.0814022e-05
1972-04-01,-1.6499018e-05,-2.4016414e-05,-1.9238882e-05,4.3999593e-05,-4.5680423e-05,-4.688001e-05,-8.0190875e-05,-2.3704304e-05,-8.868918e-05,-3.0496385e-05,-5.2222975e-05
1972-05-01,-1.4055649e-05,-1.8674871e-05,-1.6857926e-05,-4.9455062e-05,6.0321057e-05,-4.2251868e-05,-0.00010478514,-2.3267346e-05,-8.994654e-05,-3.2226366e-05,-5.352492e-05
1972-06-01,-1.21116445e-05,-1.772963e-05,-2.0398145e-05,-0.000104493425,3.6092395e-05,-4.0022507e-05,-8.2339975e-05,-2.3802399e-05,-9.433392e-05,-3.289309e-06,-5.8304664e-05
1972-07-01,-1.3636525e-05,-1.8014985e-05,-1.9443984e-05,-7.484298e-05,7.177103e-05,-4.674625e-05,-7.983418e-05,-2.5648302e-05,-9.1462505e-05,-8.648685e-06,-6.136334e-05
1972-08-01,-1.3886214e-05,-1.8068486e-05,-2.240457e-05,-7.658188e-05,2.3795263e-05,-3.9870913e-05,-9.401289e-05,-2.2001075e-05,-9.164977e-05,4.2280794e-06,-4.8745176e-05
1972-09-01,-1.2691276e-05,-2.2108083e-05,-2.2823688e-05,-0.00010045383,3.714466e-05,-4.771825e-05,-8.022654e-05,-2.2955237e-05,-9.041916e-05,-2.1008245e-05,-6.209457e-05
1972-10-01,-1.4929557e-05,-2.868023e-05,-3.6030404e-05,-6.901098e-05,3.972179e-05,-4.7218873e-05,-8.221513e-05,-2.6076339e-05,-8.59872e-05,-1.830626e-05,-6.0837214e-05
1972-11-01,-1.0007132e-05,-2.9643312e-05,-2.7157554e-05,-2.4985631e-05,6.2100953e-06,-4.6095276e-05,-8.41948e-05,-2.1929734e-05,-8.228647e-05,-5.661344e-06,-5.47912e-05
1972-12-01,-1.33957565e-05,-2.0574289e-05,-3.498706e-05,4.8021353e-05,7.529874e-06,-5.017054e-05,-7.961124e-05,-2.5505627e-05,-9.3228155e-05,-2.3344606e-05,-5.644092e-05
1973-01-01,-1.597453e-05,-3.052959e-05,-2.8934961e-05,3.6148274e-05,2.4357425e-05,-5.1207866e-05,-7.494437e-05,-2.4212071e-05,-8.443835e-05,4.1632165e-07,-5.967098e-05
1973-02-01,-1.1046157e-05,-5.5426626e-06,-2.4422448e-05,8.823682e-05,5.0863455e-06,-5.531336e-05,-7.451967e-05,-2.4875675e-05,-8.6809625e-05,-1.2112536e-05,-6.766963e-05
1973-03-01,-9.975543e-06,-1.2479542e-05,-2.8545646e-05,6.3550724e-05,-3.447334e-05,-4.92082e-05,-8.374819e-05,-2.391124e-05,-0.000100037476,-1.4660773e-05,-6.0591177e-05
1973-04-01,-1.4426119e-05,-1.4098738e-05,-2.8519104e-05,-1.1551529e-06,-2.4837798e-05,-5.039384e-05,-9.421545e-05,-2.307067e-05,-8.542048e-05,2.17313e-05,-6.369685e-05
1973-05-01,-1.9708406e-05,-1.3656334e-05,-3.4818928e-05,-5.1500625e-05,2.3047913e-05,-4.0837935e-05,-8.871196e-05,-2.1761158e-05,-8.817223e-05,2.718171e-05,-5.4379838e-05
1973-06-01,-1.4567688e-05,-1.7637967e-05,-2.6784886e-05,-5.0589275e-05,0.00010550299,-3.8466653e-05,-8.4579915e-05,-2.2911407e-05,-8.4341016e-05,2.4721949e-05,-6.023726e-05
1973-07-01,-1.577987e-05,-1.490391e-05,-2.870491e-05,-8.69902e-05,-2.3855668e-05,-4.3846274e-05,-9.199459e-05,-2.0849808e-05,-9.21627e-05,1.905034e-05,-5.588401e-05
1973-08-01,-1.0789563e-05,-1.628421e-05,-2.488255e-05,-0.00010268667,4.008042e-05,-4.6562633e-05,-7.5944205e-05,-2.3867002e-05,-8.2350205e-05,3.947167e-05,-5.2212064e-05
1973-09-01,-2.0920595e-05,-1.1099246e-05,-3.063379e-05,-6.7604095e-05,-2.2820444e-05,-4.8349935e-05,-7.645739e-05,-2.1858488e-05,-8.4411804e-05,3.389739e-05,-5.4937267e-05
1973-10-01,-1.9681864e-05,-1.7213255e-05,-3.953494e-05,-5.060697e-05,3.365674e-05,-4.390821e-05,-8.105839e-05,-2.5043793e-05,-8.1412305e-05,2.2350667e-05,-4.4310746e-05
1973-11-01,-7.728135e-06,-1.0692236e-05,-2.6360174e-05,2.3079687e-05,-1.7856677e-05,-5.05885e-05,-7.728026e-05,-2.1362996e-05,-8.133268e-05,-3.3100136e-05,-6.0219558e-05
1973-12-01,-8.161691e-06,-1.226719e-05,-3.3774857e-05,4.33506e-05,1.8553095e-05,-5.2305022e-05,-8.155388e-05,-2.3433442e-05,-9.5816955e-05,-2.5340387e-05,-4.5735283e-05
1974-01-01,-1.7265284e-06,-1.9486999e-05,-2.512986e-05,7.513176e-05,4.210807e-05,-5.631646e-05,-7.824959e-05,-2.291148e-05,-8.4387815e-05,-3.0072975e-05,-5.505156e-05
1974-02-01,-8.478573e-06,-7.5416883e-06,-2.3934523e-05,9.2165326e-05,-6.132909e-05,-6.0007475e-05,-7.493818e-05,-2.2758022e-05,-8.1342936e-05,-2.5760064e-05,-5.1077866e-05
1974-03-01,-2.5722138e-05,-1.22180445e-05,-2.5557927e-05,0.00010957042,1.6367914e-05,-5.291621e-05,-8.530855e-05,-2.2475344e-05,-8.658465e-05,-3.2075972e-05,-5.1707844e-05
1974-04-01,-2.0254278e-05,-1.0303889e-05,-2.2375736e-05,2.2698394e-05,-5.6741574e-05,-5.0678984e-05,-7.363784e-05,-2.2636877e-05,-9.6502736e-05,-2.782102e-06,-6.01156e-05
1974-05-01,-1.0925787e-05,-1.26784125e-05,-2.9685076e-05,-5.226871e-05,7.394796e-06,-4.023593e-05,-8.810306e-05,-2.2693412e-05,-8.055143e-05,8.444387e-06,-5.62469e-05
1974-06-01,-7.5659173e-06,-1.6175587e-05,-2.4952174e-05,-7.3857496e-05,7.709595e-05,-4.487998e-05,-8.1665996e-05,-2.2119972e-05,-9.735078e-05,9.462039e-06,-5.5067714e-05
1974-07-01,-1.6046359e-05,-1.421297e-05,-2.2351507e-05,-6.0724924e-05,1.0278141e-05,-5.1955092e-05,-9.090564e-05,-2.4090665e-05,-9.0235284e-05,1.9234738e-05,-5.0512506e-05
1974-08-01,-1.5690986e-05,-1.26784125e-05,-1.9242014e-05,-7.585242e-05,5.379493e-05,-4.639031e-05,-7.110179e-05,-2.3444538e-05,-8.561546e-05,2.597871e-05,-6.169054e-05
1974-09-01,-1.69994e-05,-1.5480995e-05,-2.8618959e-05,-7.909921e-05,-5.0013758e-05,-4.556649e-05,-7.283018e-05,-2.4534877e-05,-8.191637e-05,4.2850752e-05,-6.189245e-05
1974-10-01,-1.8558187e-05,-1.3897979e-05,-2.8756263e-05,-5.129144e-05,-1.4145524e-05,-5.243161e-05,-7.324209e-05,-2.2588412e-05,-8.666542e-05,1.15781095e-05,-6.220744e-05
1974-11-01,-1.24522685e-05,-1.6038282e-05,-3.7139784e-05,1.6729777e-05,3.7536716e-05,-4.7424113e-05,-7.774077e-05,-2.354953e-05,-8.246559e-05,-3.9021856e-05,-5.2588195e-05
1974-12-01,-1.22180445e-05,-1.595752e-05,-3.4684497e-05,6.0496932e-05,-2.2181754e-05,-5.3101972e-05,-8.24575e-05,-2.3452614e-05,-8.887841e-05,-4.532969e-05,-4.3833148e-05
