,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10,mgv250_cluster11
1974-12-01,1.5460608,0.14565356,0.49786013,0.655862,-0.61867684,-1.0634955,0.8705536,0.46446365,-0.5068408,0.53995657,-0.21946259
1975-01-01,-0.13556476,0.2156955,0.1492554,0.1724759,-0.67715234,-0.81218034,1.0583444,0.69648045,-0.7084263,0.60051143,-0.027918244
1975-02-01,0.3699171,0.19824667,0.6700387,0.43420976,-0.056507684,-0.8513733,0.630443,0.2947526,-1.0776722,0.5387691,0.20294437
1975-03-01,0.2857597,0.17153636,0.37005138,1.2357864,-0.042682838,-1.3971218,0.3772994,0.37072247,-0.34132776,0.33273745,-0.11167307
1975-04-01,0.30549037,0.19824655,-0.29099435,-0.512193,-0.37931278,-0.6230608,0.055433847,0.07060108,0.06630592,0.18120036,0.8678826
1975-05-01,0.72963345,0.12294781,0.3410593,-0.84076965,-0.7299019,-0.21274266,0.8218443,0.16992566,0.6658777,-0.6301745,0.49796543
1975-06-01,1.1796815,0.3472336,0.5833309,-1.0100242,-0.30616146,0.30226904,0.23354712,0.4841405,0.32334203,-0.5868206,0.7482904
1975-07-01,1.2486718,0.19113281,-0.029797364,-0.10187483,-0.29220232,-0.3799838,0.55004376,0.74359256,0.092479326,-0.71178186,-0.010469342
1975-08-01,0.5054819,-0.14858432,0.01664362,-0.43541774,-0.570714,-1.2798113,0.04576988,0.065769,-0.74372673,-0.15757719,0.5760829
1975-09-01,0.5540705,-0.16146967,0.2751561,0.17811318,-0.37058827,-0.35072345,-0.0034897805,0.91767913,0.25958624,-0.62668484,-0.44226313
1975-10-01,0.5253468,-0.032079197,-0.06362145,0.21623239,-0.5140721,-0.5748749,-0.36736688,0.27770624,-0.6582271,0.40978128,0.039461352
1975-11-01,0.23166808,0.069795705,1.0015682,-0.7123187,-0.74211615,-1.6283871,1.3755121,0.83781683,-0.38763458,-0.0032213212,0.22629909
1975-12-01,0.3163624,-0.27005565,0.28844413,-0.34173042,-0.44427642,-0.16844921,-0.12294769,0.6068199,-1.0017025,0.28911534,-0.8453333
1976-01-01,0.59164137,-0.112776615,0.21254572,-0.41731372,-0.82671565,-0.5103779,0.16494083,0.11224022,-0.72399634,0.40819493,-0.0028160096
1976-02-01,0.5361248,-0.036742926,0.5489982,-0.044922926,-0.56750375,-0.69006956,-0.77870846,0.27034205,-0.8334206,0.16172257,-0.50675726
1976-03-01,1.7259785,0.16185656,0.7871567,0.56509,-0.17030476,-1.1936085,0.13597564,-0.046397973,-1.0132463,0.48650837,0.040229462
1976-04-01,0.7681147,0.42080027,0.58547294,-0.12591825,-0.62449557,-0.4969681,0.8080759,0.6349552,-0.46223658,0.46934384,0.115726784
1976-05-01,0.83623666,0.24794765,0.26108924,-0.73271275,-0.46679598,-0.12430906,-0.008984566,-0.05484619,-0.04063177,-0.6254342,0.002950096
1976-06-01,0.5448411,0.38754386,0.2344038,-0.6973108,-0.12766154,-0.022662615,-0.0509573,0.07871567,-0.22380991,-0.55302113,0.054443933
1976-07-01,0.8048576,0.17003655,0.32545662,-0.81236714,-0.2262237,-0.34932595,0.72641015,-0.29380924,-0.58828896,0.29166356,-0.038083933
1976-08-01,0.5708562,0.11773825,0.18277597,-1.0894141,-0.49965006,-0.30601218,1.0764067,0.5262015,-0.52298313,-0.38285056,0.70763624
1976-09-01,0.3837892,0.16440439,0.100842,-0.6609702,-0.090784505,-0.954109,1.4682417,0.17674145,0.37695014,-0.9451245,0.12967296
1976-10-01,0.076436,0.19538113,0.06986523,-0.05632124,-0.015823592,-0.1326231,0.3560308,0.612963,-0.34262103,0.15153103,0.34664395
1976-11-01,1.1237433,0.20704767,0.19766083,0.10861957,-0.3495941,0.2751696,0.6718322,0.036340617,-0.088102534,-0.17151165,-0.087029755
1976-12-01,-0.45217925,0.15273789,0.07925205,0.53679526,-0.2239441,-0.6623112,-0.042375088,-0.15890642,0.4775239,0.45700675,-0.55449617
1977-01-01,-0.5099618,0.13882832,0.49900532,-0.4386753,0.13022956,-0.89011,0.6475419,0.37695837,0.4184266,0.49512202,-0.002080345
1977-02-01,1.2175564,0.2452033,0.85099965,0.15893832,-1.116313,-1.3982689,0.044658057,0.75821626,-0.24575806,0.34658545,-0.750727
1977-03-01,0.8038451,0.43867525,0.35546154,0.4345146,-0.75058824,-1.1974463,0.56835014,0.33216166,0.10554276,0.6883167,-0.3612865
1977-04-01,0.64393586,0.63339555,0.19042087,-0.031066466,0.051869918,-0.39443332,0.55018187,0.30165,0.6102344,-0.5840221,-0.07461505
1977-05-01,0.47598284,0.22481589,-0.0067957877,-0.20803452,0.021774292,0.45074135,-0.5191153,-0.36725014,0.7505884,-0.5003922,-0.19028218
1977-06-01,0.27141562,0.43770447,-0.0974988,-0.9333814,-0.5999714,0.009846973,0.8001005,0.4368723,-0.29818273,-0.2615687,1.0186754
1977-07-01,1.0276904,0.16282168,0.47945005,-1.3190771,-0.56016743,-1.9775753,1.5724633,-0.09472501,-1.2841275,-0.22675762,0.2542181
