,mgv200_cluster1,mgv200_cluster2,mgv200_cluster3,mgv200_cluster4,mgv200_cluster5
1982-06-01,0.58905905,-0.7472681,-0.22580376,-0.536101,0.023285676
1982-07-01,0.57881343,-0.43723693,-0.30430952,0.09234409,-0.30750299
1982-08-01,0.4437569,-0.8559785,-0.2693146,-0.31601882,-0.24722652
1982-09-01,0.3451591,-0.20464711,-0.42273337,0.6279129,-0.34209862
1982-10-01,0.20877199,-0.15301962,-0.1983933,0.15328574,0.06346989
1982-11-01,0.122947976,-0.47449398,-0.1591404,0.3343812,0.1496931
1982-12-01,0.09793262,0.020092154,0.47462702,0.10644837,0.11549654
1983-01-01,-0.31079882,-0.018511105,0.07283716,0.7150922,0.20724392
1983-02-01,0.06948376,0.37210006,0.5003365,0.8571447,0.39651337
1983-03-01,-0.13722366,0.32152987,0.1459426,0.11187148,0.57223475
1983-04-01,0.16405135,0.12743159,0.3730391,-0.035010148,0.37907535
1983-05-01,0.046814345,0.3629787,0.18752559,0.12300501,0.5577477
1983-06-01,0.77304,0.11509085,-0.115090825,0.24761963,0.5191159
1983-07-01,0.62924355,0.2059026,-0.16499034,0.038900185,0.12193203
1983-08-01,0.6348774,0.043460846,-0.6350115,-0.5798806,-0.029510593
1983-09-01,0.3945012,0.22629161,-0.61703694,0.55573577,-0.0944335
1983-10-01,0.054594327,0.14768645,-0.22575502,0.050570108,-0.095909
1983-11-01,0.03192496,-0.25526553,-0.40281782,0.41341478,0.21153638
1983-12-01,0.1484913,-0.09751873,-0.8740463,1.2539265,0.21730432
1984-01-01,-0.33985743,-0.040459253,-1.0721029,2.2801757,0.5900413
1984-02-01,0.41427588,0.26928595,-0.8453987,1.6923892,0.36174527
1984-03-01,0.39477593,-0.32035744,-0.3803166,2.2447572,0.34038812
1984-04-01,0.10837765,-0.080122516,-0.6071537,0.7314497,0.19698997
1984-05-01,0.116336845,0.21078606,-0.24275534,0.96200097,-0.16555119
1984-06-01,0.4896229,0.5965414,-0.708368,0.4636229,-0.31876564
1984-07-01,0.55846995,-0.21131654,-0.29594928,-0.1489695,-0.08197956
1984-08-01,0.5360516,-0.37010238,-0.26411253,0.19805118,-0.109571554
1984-09-01,0.39636773,0.20481655,-0.25177577,0.22750016,-0.20906143
1984-10-01,0.067785785,-0.21436748,-0.5774393,0.10957146,0.16157159
