,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1986-11-01,1023.144,1010.6189,1025.9126,1022.8161,1018.5538
1986-12-01,1019.2937,1012.8052,1022.8313,1027.4102,1020.9786
1987-01-01,1013.43225,1013.3864,1009.5477,1018.9535,1017.8024
1987-02-01,1009.06946,1012.927,1015.7357,1019.5554,1016.9847
1987-03-01,1011.93134,1011.23773,1018.0465,1018.38226,1015.21643
1987-04-01,1017.58167,1011.63586,1020.51447,1017.87946,1014.6354
1987-05-01,1021.4319,1011.4316,1020.35297,1016.0733,1016.6079
1987-06-01,1020.4074,1013.43225,1023.92126,1017.49475,1015.5277
1987-07-01,1019.5425,1012.105,1025.0797,1015.1174,1016.81396
1987-08-01,1017.0715,1012.1184,1020.1175,1014.77234,1015.3088
1987-09-01,1018.4856,1011.9894,1018.3021,1017.5296,1014.6482
1987-10-01,1020.79456,1010.2958,1023.01294,1016.56445,1020.2784
1987-11-01,1021.3744,1010.478,1020.3346,1018.71313,1019.8655
1987-12-01,1012.41876,1012.0561,1011.8102,1019.97125,1018.83
1988-01-01,1021.30994,1012.96735,1025.2139,1022.35266,1024.446
1988-02-01,1021.29486,1011.7887,1024.04,1019.5875,1021.345
1988-03-01,1016.9112,1013.3588,1022.22217,1021.0387,1018.88495
1988-04-01,1012.2647,1011.92755,1016.1711,1015.49506,1012.6399
1988-05-01,1021.2882,1012.64954,1020.20795,1014.92053,1015.12286
1988-06-01,1021.56726,1013.14734,1026.4801,1014.8172,1015.07275
1988-07-01,1025.4604,1013.8693,1025.9806,1016.4381,1017.25073
1988-08-01,1020.98737,1012.0539,1022.1225,1014.69275,1014.62024
1988-09-01,1018.47595,1011.7971,1021.62164,1017.5443,1015.7929
1988-10-01,1018.96344,1009.93146,1019.2788,1016.1638,1019.2764
1988-11-01,1018.42456,1011.20447,1014.4166,1017.087,1016.7994
1988-12-01,1018.4904,1011.96326,1019.9107,1025.2441,1023.46185
1989-01-01,1021.5675,1012.8137,1026.3811,1027.415,1022.17615
1989-02-01,1024.5505,1013.5692,1029.297,1024.1208,1023.37213
1989-03-01,1022.69055,1012.5167,1024.4467,1018.122,1017.59576
1989-04-01,1020.73914,1012.45807,1024.603,1015.47546,1016.9018
1989-05-01,1021.6144,1013.62286,1020.18695,1015.94305,1016.1768
1989-06-01,1019.8544,1013.7081,1020.34674,1016.4094,1015.1119
1989-07-01,1022.97797,1013.9933,1025.808,1016.6844,1016.3281
1989-08-01,1020.66125,1012.4614,1023.2089,1015.2135,1015.3349
1989-09-01,1020.55054,1010.7894,1020.3693,1015.7093,1014.95544
1989-10-01,1018.5878,1011.6607,1020.6132,1018.40656,1019.10565
1989-11-01,1017.5076,1010.2926,1018.8476,1014.7036,1018.4788
1989-12-01,1013.0148,1012.8064,1008.33264,1016.00116,1020.69116
1990-01-01,1023.81616,1012.3161,1026.441,1025.8662,1020.5335
1990-02-01,1021.1311,1013.38116,1020.83234,1024.7085,1020.8936
1990-03-01,1022.98975,1013.0263,1023.89374,1022.53516,1021.06866
1990-04-01,1019.4778,1011.7506,1027.1367,1015.5708,1018.03577
1990-05-01,1017.7714,1012.6149,1015.5801,1015.52234,1015.04846
1990-06-01,1024.2714,1013.62506,1026.4452,1016.4286,1016.12634
