,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1979-06-01,1016.10376,1019.3474,1012.11993,1019.37115,1017.23376
1979-07-01,1017.91736,1022.36383,1013.8739,1026.3975,1020.0159
1979-08-01,1016.18414,1027.8304,1012.45703,1025.2004,1018.7756
1979-09-01,1015.8158,1025.6544,1011.7157,1019.87427,1017.1216
1979-10-01,1014.91943,1019.64294,1011.9267,1018.4545,1016.8631
1979-11-01,1012.03204,1016.5329,1009.6205,1017.3731,1013.87445
1979-12-01,1011.76776,1020.175,1010.3474,1016.63,1016.50977
1980-01-01,1009.8577,1019.32983,1008.1462,1016.7826,1014.2411
1980-02-01,1010.8432,1024.0519,1009.3044,1022.20825,1015.7879
1980-03-01,1010.0368,1019.19037,1010.3645,1020.728,1017.89435
1980-04-01,1010.9511,1022.34265,1010.1774,1019.65356,1014.6273
1980-05-01,1013.3015,1018.09875,1011.3999,1021.3876,1016.69135
1980-06-01,1016.2258,1024.0117,1012.01404,1020.32794,1016.33435
1980-07-01,1017.5437,1017.81116,1012.3912,1025.7715,1016.96625
1980-08-01,1017.6906,1017.93915,1013.16205,1025.0431,1017.62805
1980-09-01,1016.21783,1020.8606,1012.71954,1022.8041,1016.1679
1980-10-01,1014.6693,1025.5017,1011.4992,1020.08575,1016.3183
1980-11-01,1012.59265,1018.07513,1010.209,1016.2035,1012.6552
1980-12-01,1011.4832,1019.812,1008.5066,1016.9606,1014.9046
1981-01-01,1011.95825,1022.26404,1008.5507,1017.3981,1016.0767
1981-02-01,1010.4419,1023.05096,1009.07654,1017.9406,1015.7445
1981-03-01,1010.6083,1023.3718,1011.6181,1017.6703,1018.9944
1981-04-01,1010.8619,1016.9009,1011.0057,1018.96173,1016.9255
1981-05-01,1013.4719,1019.20935,1010.46045,1021.4347,1016.36694
1981-06-01,1016.14197,1022.0118,1011.68665,1019.76056,1010.75073
1981-07-01,1016.4428,1020.3709,1011.5149,1021.0027,1015.69135
1981-08-01,1016.3144,1019.9356,1012.5647,1021.92596,1013.2184
1981-09-01,1015.5915,1016.6984,1011.2852,1023.52484,1015.7466
1981-10-01,1014.4179,1017.53455,1011.2706,1018.4292,1016.5207
1981-11-01,1012.68915,1023.29584,1009.3455,1019.83307,1014.97174
1981-12-01,1011.99884,1024.556,1009.7875,1018.9138,1015.54486
1982-01-01,1010.4869,1020.5243,1008.8529,1016.8057,1013.69165
1982-02-01,1009.6834,1024.9442,1009.1618,1019.9793,1015.777
1982-03-01,1010.68274,1026.464,1009.6275,1020.8915,1018.8477
1982-04-01,1011.8498,1021.7562,1011.00726,1022.50256,1021.1277
1982-05-01,1013.521,1020.305,1011.7026,1020.68115,1019.2125
1982-06-01,1016.22284,1022.4221,1013.092,1028.1707,1018.5058
1982-07-01,1016.5798,1021.1752,1013.2873,1024.7446,1020.2251
1982-08-01,1017.11884,1023.1961,1013.5739,1026.0752,1021.0736
1982-09-01,1016.10266,1024.4773,1013.68384,1024.9352,1020.14154
1982-10-01,1013.515,1021.26227,1012.3011,1019.60126,1019.7034
1982-11-01,1011.51624,1021.0237,1011.05115,1017.4649,1018.2035
1982-12-01,1010.7561,1015.9764,1010.33124,1016.2036,1014.2902
1983-01-01,1011.6293,1020.84814,1011.3594,1018.9305,1017.12335
1983-02-01,1010.75916,1019.3733,1011.8343,1017.4132,1015.6407
1983-03-01,1011.1325,1019.67596,1011.2347,1020.35846,1020.0301
1983-04-01,1012.0554,1018.7916,1010.50916,1020.2582,1018.5282
1983-05-01,1013.6665,1018.10596,1011.61255,1020.7961,1019.93365
1983-06-01,1015.1813,1016.8811,1012.405,1023.98627,1016.4023
1983-07-01,1016.13947,1026.2484,1012.9905,1024.7504,1020.8706
1983-08-01,1016.43634,1014.92096,1013.225,1022.9027,1015.4988
1983-09-01,1016.1323,1016.41125,1012.146,1022.4387,1013.20386
1983-10-01,1014.2545,1020.81537,1010.7605,1023.19196,1018.4446
1983-11-01,1014.18835,1024.3905,1010.5246,1020.1445,1017.4158
1983-12-01,1011.0361,1020.3688,1010.07404,1017.9035,1016.6985
1984-01-01,1008.3761,1017.96655,1008.22266,1017.03656,1014.31226
1984-02-01,1008.7644,1018.282,1007.58673,1018.8908,1016.87335
1984-03-01,1011.19904,1022.5083,1009.7054,1020.41675,1017.78076
