,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1976-04-01,0.86104476,-0.3128512,0.07066975,-0.0143485125,-0.016628182,-0.09319827,0.0060344217,0.59874856
1976-05-01,1.0098938,-0.14951953,-0.0974894,0.15260379,0.06758551,0.09722121,-0.27584004,0.69315374
1976-06-01,0.68202364,0.18237361,-0.06570814,0.19055359,-0.0034865378,-0.41168156,0.19511294,0.45110646
1976-07-01,0.33953673,0.30051413,0.22434637,0.21053424,-0.031513076,0.03486552,-0.3227744,0.22501683
1976-08-01,-0.014348531,-0.0009386778,0.17070706,0.41932517,-0.17245033,-0.136512,0.6527902,-0.38714162
1976-09-01,-0.34664398,0.24539976,0.019846559,0.037279315,0.14978771,0.048409462,-0.27369446,0.5441707
1976-10-01,0.6692843,-0.061819278,0.010191465,-0.07335174,-0.050823234,0.052968808,-0.36769736,0.91213626
1976-11-01,0.9743578,-0.2814722,-0.15796776,0.25921187,-0.004827547,0.16051559,-0.33806166,0.30936462
1976-12-01,0.980124,-0.0006705046,-0.12980708,-0.14361921,-0.15837002,-0.11773825,-0.121224806,0.61913157
1977-01-01,1.388838,-0.029540872,-0.17890958,-0.08709709,0.048264027,0.051315166,-0.53839314,0.8064801
1977-02-01,1.1777525,-0.22148733,-0.2726639,0.06976089,-0.0013869286,-0.24825445,0.017336225,0.7878958
1977-03-01,0.9152129,-0.10096605,-0.033840276,-0.047293164,0.25671452,0.085571505,0.07114782,0.8688906
1977-04-01,0.74725974,0.0045767576,0.051869918,0.0044380664,0.050344348,0.03411765,-0.15297465,0.086819716
1977-05-01,0.62022007,0.014423704,-0.10582018,0.3640603,-0.022329032,0.041052103,-0.13938308,0.6166141
1977-06-01,0.33965096,0.18653755,-0.059636544,0.039942615,0.3009565,-0.59816843,-0.22148724,0.21996173
1977-07-01,-0.009014797,-0.0059636594,0.10055001,0.18736972,0.09028697,-0.32384023,-0.22661877,0.17696801
1977-08-01,0.16795316,0.17516504,-0.05603062,0.138967,-0.083907224,-0.22939268,-0.16143471,0.35587758
1977-09-01,0.33174562,0.11400287,-0.21358204,0.20082259,-0.11747012,-0.43395987,0.04743185,0.0047154487
1977-10-01,0.5942851,-0.02579627,-0.07447634,0.07544716,0.4408943,0.20512196,-0.3662793,1.0881588
1977-11-01,0.87984705,-0.31940222,-0.03966532,0.2551889,0.22439985,-0.025518894,-0.011788619,0.41149217
1977-12-01,1.020201,0.19499764,-0.18196079,-0.15879963,0.008182669,0.044796754,-0.43326646,0.974156
1978-01-01,1.0268074,0.05558481,-0.43898052,0.014303207,0.1600099,-0.13058944,0.02430383,1.0423896
1978-02-01,0.9181961,-0.024768973,-0.1334966,0.051631086,0.10058761,-0.09256385,-0.19698885,0.5713142
1978-03-01,0.8912176,-0.09233127,-0.24431737,0.07139975,-0.020350123,-0.096517585,-0.072446324,0.7136486
