,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8
1988-05-01,-2.517398316677129e-06,5.33017270188107e-06,-1.9501163218852268e-05,0.0027053054509451613,0.014683781773783267,-1.6303229131153785e-05,-3.533482296729628e-05,0.010699928679969162
1988-06-01,4.023747065772579e-06,-2.331326285713146e-07,-7.767798341059722e-08,-4.371132149572077e-05,0.0053709311032434925,-1.76596843933415e-05,-1.564344529469963e-05,-0.0006556372682098299
1988-07-01,3.2246798265225872e-06,8.978081033108506e-07,4.126730215960249e-06,0.00013048293112660758,-0.0005365978722693399,-2.1065337326338827e-05,8.776966681650194e-06,-0.0011936954251723364
1988-08-01,8.217438306040327e-08,1.2209791075728428e-06,-6.5823548668829194e-06,0.0011391435691621155,0.0012220109056215733,-1.1146664746775059e-05,-1.801586717985442e-06,-0.00025169683794956654
1988-09-01,2.142169488823044e-06,1.073983217727931e-06,-2.3672018869547173e-05,0.002021225736825727,0.004823349081561901,-1.556803454150213e-05,-2.1090820668271194e-06,0.004432900823303498
1988-10-01,-2.5489532882327397e-06,2.6382227128135106e-06,-2.2394883022311012e-05,0.002480519287928473,0.013204517017584294,-1.2306690374922862e-05,-3.4937572005825736e-05,0.009703171963337809
1988-11-01,-9.464449333812131e-06,5.120226708090931e-06,1.413051385108182e-06,0.00228231874643825,0.008344535308424383,-5.226583349819218e-06,-4.834575333799689e-05,0.0073422233981546015
1988-12-01,-1.2547233445518433e-05,2.84904075953252e-06,-3.675363197024646e-05,0.005027764200349338,0.014040966925676912,8.189142590708798e-06,-3.710566512055289e-05,0.014574264059774578
1989-01-01,-2.4757325665505475e-05,8.489878164690747e-06,-6.295844546652267e-05,0.00958027594606392,0.027399291866458952,3.588091810039866e-05,-6.911343520280355e-05,0.04448663676157594
1989-02-01,-2.7311267162034245e-05,5.742519712708861e-06,-5.174135107413999e-05,0.011746514064725488,0.026593782240524888,3.678726595050345e-05,-5.952020169038755e-05,0.04531510639935732
1989-03-01,-1.50331891555377e-05,2.9582972143805295e-06,-3.0288951425713355e-05,0.00716225549695082,0.01579478703206405,1.7416867497862164e-05,-1.852728858536396e-05,0.02025552385021001
