,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8,r400_cluster9,r400_cluster10,r400_cluster11
1978-05-01,51.48487,25.129728,55.229523,53.715187,34.81292,53.596386,16.91652,70.722946,26.057972,44.256927,59.97529
1978-06-01,45.41961,56.92919,51.735146,45.387928,27.27451,56.751778,32.07096,58.98368,40.18438,65.53999,66.767624
1978-07-01,59.97212,62.748928,46.401707,38.262947,23.721523,47.716454,54.33138,48.698555,57.0971,67.64043,66.398544
1978-08-01,50.05132,75.15032,49.61413,57.74972,19.365433,49.329002,51.117374,65.394264,44.38365,85.010925,68.53381
1978-09-01,47.63567,54.318707,24.985582,58.7635,21.936317,50.764133,43.75637,61.507046,39.636303,71.112625,72.76636
1978-10-01,39.986374,54.77174,45.124977,65.191505,17.876442,61.97117,51.1348,46.680496,30.00855,64.95707,66.77396
1978-11-01,38.54332,35.132896,24.402657,80.14636,42.566765,50.757797,16.39537,18.259777,22.273718,47.510532,61.83494
1978-12-01,44.209404,17.45509,37.11452,50.3111,45.164577,28.375412,9.886578,15.349907,20.325356,33.74845,71.242516
1979-01-01,46.453316,10.512039,24.73549,44.332176,48.393246,22.886166,22.229277,15.495342,16.247692,13.840176,47.339954
1979-02-01,46.801174,8.65139,42.673767,36.480232,55.303535,20.121078,6.543194,29.105589,17.39806,13.623367,43.58468
1979-03-01,52.962353,9.970024,36.79088,63.980633,49.118088,16.77353,6.321533,14.236572,20.49321,25.094677,58.715805
1979-04-01,51.627537,14.312618,45.50034,55.3003,50.354206,51.925243,8.806713,40.90049,16.967682,22.730843,57.319508
1979-05-01,48.721687,26.529804,62.144253,71.10449,45.11203,44.372623,10.28067,51.76668,18.239395,47.576176,52.540066
1979-06-01,58.754635,45.843346,38.172615,63.000153,43.82899,41.811398,16.267109,56.615696,22.834393,73.74823,63.11341
1979-07-01,53.638657,58.913193,58.04597,71.889206,29.014984,52.355618,45.23176,41.157745,38.965416,74.56692,60.126663
1979-08-01,43.74,59.411526,53.49466,68.45267,32.744373,55.549465,55.452385,61.37896,38.467083,66.83471,55.32457
1979-09-01,45.252792,43.416412,37.413795,51.96084,32.697453,49.66172,67.31039,50.024143,40.9102,67.70517,66.80073
1979-10-01,41.72888,61.040806,46.5601,58.866272,48.966,61.29159,25.253237,32.98545,25.000835,64.249214,66.45449
1979-11-01,50.032234,22.05292,30.916082,49.629364,48.09554,47.472626,19.939869,14.110374,16.161942,29.887062,69.90397
1979-12-01,46.430664,24.52192,28.668741,60.082977,53.847374,50.268456,15.864239,12.042625,21.96555,28.667124,59.37593
1980-01-01,47.106735,17.681541,25.440367,66.37587,38.982864,28.526947,5.402031,9.311592,19.994034,32.315914,60.958866
1980-02-01,37.874695,21.926811,19.550766,70.81833,44.825203,42.561604,16.651596,9.645676,12.287357,35.518204,48.351795
1980-03-01,53.708496,14.691109,26.77506,62.78409,69.604225,27.338923,5.8192253,17.101383,9.3572235,23.650997,43.69422
1980-04-01,57.12753,9.303444,61.97252,51.151558,54.13384,56.570187,18.908676,35.263973,18.76038,15.088749,57.111233
1980-05-01,47.062733,29.607414,54.849262,45.729668,52.19617,70.56247,28.293905,50.395393,32.28495,38.90464,46.96332
1980-06-01,49.0884,28.266201,42.757164,66.55187,38.419,63.435955,25.702742,49.24811,36.55304,72.863556,65.01672
1980-07-01,48.485428,49.29211,37.912178,62.798756,38.581966,66.29927,31.673826,51.66327,38.0784,70.11431,44.683426
1980-08-01,53.516197,48.053566,42.641457,68.53843,59.514984,56.88797,40.768974,39.10346,53.970875,70.98129,63.450623
1980-09-01,42.175373,56.307808,42.72783,62.034447,33.334454,63.184986,53.89591,53.64168,30.586842,74.248764,60.94909
1980-10-01,44.623127,35.751244,27.280256,56.82767,38.785675,59.4938,36.029915,52.039722,45.635147,56.384403,64.263824
1980-11-01,46.741688,30.25439,35.055374,37.467278,37.304314,46.093082,20.139072,19.739807,16.627148,50.571396,61.838886
1980-12-01,52.452026,43.583405,32.54081,54.836224,39.67873,38.107735,7.6411896,16.66626,23.325064,61.43799,71.889015
1981-01-01,40.64179,45.116573,20.2776,76.82367,27.77616,38.2151,7.9840355,10.257286,20.352654,57.957188,51.375935
1981-02-01,45.808723,23.29637,23.840082,61.54135,26.411875,25.476223,8.467705,20.325966,17.210464,32.265953,57.226677
1981-03-01,46.422485,11.184597,33.58187,42.66987,55.338696,44.296,20.09414,35.428158,12.447144,20.567802,40.24318
1981-04-01,45.51352,11.616566,49.032635,43.670567,60.865883,44.61122,7.713848,39.124065,28.489988,18.798237,45.12825
1981-05-01,57.80375,29.587421,49.584686,41.092102,39.492657,42.0411,35.09459,62.376934,22.72097,40.84193,49.75814
1981-06-01,49.669746,52.66183,46.804417,64.2399,31.375334,55.638905,20.959743,49.462936,22.135563,76.67523,62.12509
1981-07-01,48.465576,67.59057,41.429005,55.383728,30.134468,57.541897,45.2033,61.7515,50.301853,72.095375,64.24824
1981-08-01,49.36787,70.06062,36.363808,61.072693,23.31138,51.91131,64.528435,52.513393,54.556484,68.7864,53.41569
1981-09-01,43.939087,44.524494,43.578835,51.42764,24.568924,54.658222,38.77382,54.31298,35.554913,66.486465,72.6541
1981-10-01,41.50906,39.816216,36.6857,63.41766,29.117092,48.19205,30.169493,37.60801,23.571562,58.30243,58.836132
1981-11-01,45.42679,25.20103,26.373514,52.99373,35.208004,53.17552,30.231203,39.507668,19.984062,46.87113,77.187256
1981-12-01,41.575775,21.043133,23.976845,61.492985,46.153965,41.282234,18.027699,22.812698,22.916107,26.663717,53.819305
1982-01-01,38.678776,29.829975,21.806376,65.92008,18.6423,16.953289,10.729691,12.558647,26.263752,26.44713,63.631073
1982-02-01,46.424088,39.1147,28.621931,56.728657,30.896463,30.68413,11.027279,16.78439,21.57635,43.935616,43.547947
1982-03-01,54.154926,13.555965,35.6466,47.086823,39.471806,33.909332,10.194035,21.275543,16.877686,21.071255,54.791924
1982-04-01,41.310413,26.73024,50.56779,43.186016,55.099163,32.85089,20.54203,40.280922,39.18226,24.225681,62.88952
