,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10,vo500_cluster11,vo500_cluster12
1995-04-01,-2.0548509452255086e-07,-5.527786650122306e-06,-5.636057696594637e-06,-6.5865486632039964e-06,-1.3141690639410324e-05,-3.3042579161701724e-05,2.114063646309305e-05,-4.615302682866278e-05,-1.063079253071919e-05,-2.791220822473406e-05,-1.5482562787383358e-05,4.6029242639633594e-05
1995-05-01,-3.1860248249935602e-06,-1.656471795286052e-05,-1.841795177934155e-06,-8.729497087762483e-06,-4.6108407332212664e-05,-2.3168526771163066e-05,3.709302712572602e-05,-2.773125241470427e-05,-1.1400603625588701e-05,2.780336217256263e-05,-2.5573132234057994e-05,-5.4956672101980075e-05
1995-06-01,-8.766552188784018e-07,-8.559106052332005e-06,-2.3721454075105912e-06,-9.09501163972125e-06,-7.434642005440159e-05,-1.8875158502851264e-05,6.54634432732298e-06,-5.358069129529056e-05,1.393599518451083e-05,-1.793023102436564e-05,-4.367270776128862e-05,-9.469185329180618e-05
1995-07-01,-3.8083565569406083e-06,-3.1862851375440506e-06,-2.725224956318723e-06,-5.337684390389385e-06,-0.00010644154826877639,-5.032866283727344e-05,-2.9460225937882348e-05,-5.301923669447143e-06,-1.7069016848836327e-05,6.165061222418444e-05,-1.1977886238412339e-06,-3.1318359106080607e-05
1995-08-01,-3.5119184048664644e-06,-4.3827264091813174e-07,-3.943478393214011e-06,-2.5882005310880855e-06,-8.18144811394935e-05,-5.92868824848362e-05,-3.0263844364970105e-05,1.6793493504619934e-05,-2.3679831429035403e-05,-6.2304781067723525e-06,1.5675050590857609e-06,-5.964523666079913e-05
1995-09-01,-4.753191228146756e-06,-6.166405804579818e-06,-8.314936341104451e-07,-2.9681287790146214e-06,-1.2692927953139588e-06,-5.9841056554432726e-05,-1.2392445391813499e-05,-4.068683822346241e-05,-7.244182143040234e-06,-2.247600150440121e-05,-1.8591717321214674e-05,-3.3235485830118705e-05
1995-10-01,2.9458450204934133e-06,-8.033099791561632e-06,-8.472492633397147e-07,-8.465807647888524e-06,-9.73878438041235e-05,-3.761714803355669e-05,-1.5916979153677482e-05,-5.1983584100902404e-05,-1.1382785487512592e-05,-5.675849024555646e-05,-1.7972188004478085e-05,-0.00014446244449572987
1995-11-01,-5.785655159298785e-06,-1.0601783033898968e-05,-1.0669768884057433e-06,1.4170664922187968e-06,-1.2571461714590745e-05,3.940412322360014e-05,-2.1243859675184758e-05,-6.4195491772963956e-06,1.3449904372464516e-05,-0.00010126802408194635,-4.259971149167541e-05,-7.123842351575149e-05
1995-12-01,-2.219952121533158e-05,-5.862600203748348e-06,-2.0060589581252886e-06,-4.688176228515467e-06,9.455512554268353e-05,8.969944550093109e-05,5.0642650355102224e-06,-2.6197060300358413e-05,5.9477633840288036e-06,-4.374552645458607e-05,-5.641193752126128e-05,-1.914513632073067e-05
1996-01-01,-1.2852907031362809e-05,-1.2107234714528395e-05,-2.9315530006804828e-06,-1.2383216884652364e-06,8.88659936511734e-05,5.970968762388414e-05,-1.8349276049820021e-06,-1.212637204750128e-05,2.3860400233388646e-05,-6.201316409715218e-05,-3.3902588825185376e-05,-2.2855068948501867e-05
