,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1973-04-01,1016.2941,1008.6867,1015.1321,1022.7756,1015.0582,1013.6884,1017.907,1014.3778,1018.6883,1013.3817,1017.39056
1973-05-01,1017.98096,1008.91565,1016.1295,1024.5884,1016.11346,1014.4029,1021.0206,1015.64594,1018.2645,1021.9917,1021.47656
1973-06-01,1020.067,1008.66425,1016.0884,1019.777,1016.4896,1019.4844,1019.52936,1014.5508,1020.9666,1025.2816,1020.0117
1973-07-01,1020.26636,1008.5401,1016.64655,1024.5138,1018.11597,1020.07404,1022.50226,1012.6364,1023.3312,1027.05,1021.82
1973-08-01,1023.3981,1009.01917,1016.10187,1021.8766,1017.27673,1019.4046,1019.4696,1015.02795,1024.7633,1023.23663,1020.82196
1973-09-01,1025.0457,1009.95807,1016.2896,1020.66437,1016.65814,1019.5442,1018.63556,1015.79706,1018.5667,1021.7358,1020.99304
1973-10-01,1024.8849,1008.2411,1014.4749,1018.96155,1016.80994,1021.3937,1015.4865,1016.0864,1021.1113,1019.2452,1019.0734
1973-11-01,1021.8097,1009.3047,1015.00867,1016.2774,1018.81494,1016.7276,1010.62616,1021.27985,1022.06116,1015.3527,1021.1036
1973-12-01,1023.5363,1009.1253,1016.0453,1017.18475,1018.99115,1014.39,1010.88403,1019.5011,1022.80133,1020.5499,1021.1615
1974-01-01,1022.35565,1008.7393,1015.83344,1004.15967,1017.8998,1014.4267,1007.08594,1022.14307,1020.73083,1022.62665,1019.8505
1974-02-01,1023.1103,1008.44995,1015.00885,1016.8415,1017.4025,1017.78357,1010.7098,1016.09155,1022.6715,1022.50507,1017.23883
1974-03-01,1022.0051,1009.5489,1015.7152,1011.67096,1016.4299,1016.0563,1012.99005,1013.4377,1022.9928,1022.1247,1017.78766
1974-04-01,1018.25635,1008.7223,1015.54474,1024.3887,1017.00995,1014.59375,1014.5211,1011.13165,1019.945,1022.55743,1016.49365
1974-05-01,1017.1872,1008.74536,1016.08203,1022.09686,1014.8105,1018.5104,1019.04224,1013.7671,1016.29803,1020.5597,1020.5183
1974-06-01,1022.84,1008.84393,1015.7275,1018.7576,1014.92114,1015.4327,1020.4578,1013.0539,1017.1037,1021.0773,1018.9152
1974-07-01,1022.7557,1009.2718,1016.9868,1021.6417,1018.5382,1012.5594,1017.53705,1013.9403,1021.4244,1025.428,1022.5669
1974-08-01,1014.8954,1008.64417,1015.8518,1017.06287,1017.6008,1012.23206,1017.3142,1013.7257,1021.60846,1023.367,1020.3233
1974-09-01,1022.8108,1009.1203,1015.76416,1017.6219,1015.7343,1016.73413,1018.6666,1014.50415,1022.1471,1023.75085,1023.7597
1974-10-01,1023.78284,1009.01776,1015.1012,1017.7014,1019.4023,1018.64624,1013.43976,1014.1475,1022.1512,1020.9428,1020.3166
1974-11-01,1025.4476,1008.9688,1014.0613,1021.8666,1018.06,1016.67975,1011.19885,1020.4911,1020.576,1017.69116,1020.5597
1974-12-01,1021.2308,1009.14545,1015.1657,1016.1146,1017.58185,1012.65717,1008.73315,1022.47656,1017.50305,1021.4319,1019.14417
1975-01-01,1019.2021,1009.78156,1015.5543,1014.113,1017.8307,1008.87305,1008.0504,1023.0706,1019.81445,1022.33167,1021.4141
1975-02-01,1020.7873,1009.78784,1015.91266,1017.3962,1016.8924,1018.30255,1011.5066,1017.0786,1019.7113,1017.51245,1017.61896
1975-03-01,1020.4496,1009.127,1015.4332,1020.92847,1014.95435,1019.5633,1012.1791,1014.5254,1016.98444,1017.95593,1019.6795
1975-04-01,1015.995,1008.0891,1015.2097,1023.50104,1015.2339,1018.021,1018.29987,1012.83984,1021.81476,1021.62244,1018.19745
1975-05-01,1018.19257,1008.4185,1015.5134,1019.75494,1015.2152,1017.2101,1019.3315,1011.9085,1018.351,1021.20654,1017.7525
1975-06-01,1019.9736,1008.7478,1016.716,1019.9978,1017.0239,1012.17975,1020.1023,1013.62866,1019.75903,1022.89,1020.835
1975-07-01,1021.7753,1009.2584,1016.8371,1021.0793,1017.78436,1016.8482,1019.50305,1013.2972,1025.3997,1023.69476,1023.6117
1975-08-01,1025.5824,1008.2261,1016.3514,1021.8535,1018.0563,1017.4674,1017.61414,1013.7304,1022.8153,1021.60236,1028.5126
1975-09-01,1024.3866,1008.882,1015.73694,1019.0595,1016.58936,1021.7131,1018.7759,1016.4191,1024.4545,1024.4192,1023.8857
1975-10-01,1026.0598,1008.889,1015.04016,1021.2647,1017.55255,1019.2166,1013.1803,1017.92413,1021.3463,1018.5399,1023.4014
1975-11-01,1019.6691,1009.6016,1014.6894,1017.9096,1017.7421,1015.2941,1011.9217,1018.13586,1023.0229,1019.7944,1021.79193
1975-12-01,1022.07916,1008.5486,1015.2761,1013.91376,1018.989,1015.6027,1009.6799,1020.09607,1021.9836,1013.4377,1022.54474
1976-01-01,1021.04407,1009.65936,1015.4066,1011.5242,1019.2132,1013.7996,1007.9494,1019.22064,1020.94904,1021.7304,1019.6282
1976-02-01,1022.1158,1009.36334,1016.29083,1018.3178,1018.76794,1014.96075,1011.20166,1017.8732,1021.24445,1023.943,1021.192
1976-03-01,1021.377,1008.6808,1015.1982,1023.8418,1015.1618,1018.8469,1011.9219,1013.2193,1020.5557,1024.2556,1021.562
1976-04-01,1017.74927,1009.6267,1015.4479,1025.0819,1015.998,1016.2434,1018.8253,1013.28284,1018.7082,1023.49713,1020.4558
1976-05-01,1016.6923,1009.41516,1016.23236,1020.8702,1016.3113,1015.24384,1022.18365,1012.7512,1023.8264,1024.4122,1021.14514
1976-06-01,1015.6841,1009.1457,1016.22797,1014.4983,1015.3184,1015.5657,1021.9271,1013.8292,1022.9495,1022.402,1021.5479
