,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6
1982-05-01,0.41638756,0.07732467,-0.07732429,-0.15917854,-0.28503305,-0.19282608
1982-06-01,0.4115345,0.10094223,-0.106442645,-0.19314957,-0.66842043,0.51538885
1982-07-01,0.10903092,-0.17729607,-0.049500655,0.020059204,-0.3222393,0.26659164
1982-08-01,0.45877036,-0.1342659,-0.24588509,0.0032356263,-0.09058952,-0.025235366
1982-09-01,0.041412354,-0.08670692,-0.07635422,-0.103530884,-0.5238007,0.046588898
1982-10-01,0.14688416,-0.052412413,0.02976494,0.27047405,-0.44097614,0.23779717
1982-11-01,0.059853744,-0.0951191,-0.047882844,0.17826691,-0.49759445,-0.14138412
1982-12-01,0.23909111,-0.065029904,-0.047882844,0.045618437,0.032029726,-0.022647476
1983-01-01,0.0855732,-0.170821,0.11225357,-0.40541497,0.2980419,-0.14999732
1983-02-01,0.37027436,-0.09338188,0.044576265,0.20563583,0.06897888,-0.57200587
1983-03-01,-0.07874031,-0.12494316,-0.15097313,0.42070732,0.2632267,-0.05433731
1983-04-01,-0.27331352,-0.31235808,-0.13210145,-0.06344757,0.35791054,0.13730736
1983-05-01,-0.28405055,0.15162392,-0.1275467,0.34489536,0.099889375,-0.07385979
1983-06-01,0.47894937,0.1037941,-0.058567047,-0.43697587,-0.46886253,0.1887165
1983-07-01,0.10639687,0.43632546,-0.16333771,0.011388207,-0.0019519806,-0.13275222
1983-08-01,0.47016412,0.047829438,-0.15910721,-0.27428952,-0.49749526,0.26940918
1983-09-01,0.0852478,0.11355515,-0.07971649,-0.12754612,-0.13210145,0.06637611
1983-10-01,0.22450753,0.47374344,-0.112904355,0.040346526,0.09045372,-0.22190437
1983-11-01,0.22288036,-0.18839112,-0.097612,0.040346146,0.01268959,-0.0032535554
1983-12-01,0.6286209,0.017895509,-0.21962662,-0.19197007,-0.4887104,0.001952362
1984-01-01,0.007265091,-0.08234024,-0.111401364,-0.015222549,-0.21069412,-0.020412445
1984-02-01,0.1823246,-0.09790878,-0.19304962,0.10517387,-0.11935844,0.07576676
1984-03-01,0.4078949,-0.15326309,-0.111055754,-0.281617,-0.1895897,-0.0051895143
1984-04-01,0.15395507,0.046705626,-0.17505875,0.076804735,0.10482788,0.040824126
1984-05-01,-0.10828762,0.07403717,0.051548768,0.21415368,0.06365776,0.26535684
1984-06-01,0.23318176,-0.25463182,-0.05639267,-0.24563637,-0.45979005,0.12558594
1984-07-01,-0.38540727,-0.0010379791,-0.1632965,0.25324744,-0.5542389,-0.07542076
1984-08-01,0.043938063,0.21830444,-0.026293945,-0.24390678,-0.21795921,0.020066071
1984-09-01,0.29476357,0.037364196,-0.10586624,-0.06780968,-0.13873252,0.14703599
1984-10-01,-0.0103790285,0.19477959,-0.17194557,-0.19650917,-0.4445675,0.44975662
1984-11-01,0.2615509,0.039094545,-0.04255409,-0.005535507,-0.37156868,-0.15776062
1984-12-01,0.25220984,-0.077150725,-0.0968708,-0.28957444,0.041516114,0.27988702
1985-01-01,0.24975434,0.14316902,-0.232518,-0.07527809,-0.123118594,-0.09075546
1985-02-01,0.50795096,-0.18925019,-0.14457627,-0.027789306,0.27261963,-0.095328525
1985-03-01,0.09462509,-0.1062336,0.084423825,0.32784653,0.20156212,-0.33875123
1985-04-01,-0.028844833,0.14246598,-0.18502884,0.30287093,-0.2124672,0.119952396
1985-05-01,0.34895247,0.18115997,-0.18643646,0.0038692474,-0.42071265,0.21105996
1985-06-01,0.5248356,-0.077740476,-0.06296615,-0.22724113,-0.44111556,0.13507843
1985-07-01,0.4305624,0.12522888,-0.07387085,-0.38694343,-0.17201404,0.11080704
1985-08-01,-0.040452957,0.28035814,-0.09990158,-0.14985237,-0.30885124,0.033066176
1985-09-01,0.2603073,0.28633803,-0.15020446,-0.3749836,-0.6968498,0.38131484
1985-10-01,-0.0045730593,0.022512818,-0.10482635,0.064021684,-0.040101625,0.0098491665
1985-11-01,0.115731046,0.13015366,-0.2736744,-0.14176178,-0.4333767,0.009497833
1985-12-01,0.021809768,0.2958355,-0.11573181,0.28633803,-0.27402648,0.12628403
1986-01-01,0.1515297,-0.062943265,-0.18882942,0.3906475,-0.32936972,0.040296935
1986-02-01,0.22979279,0.038964845,-0.17584153,-0.08825378,-0.21047668,0.11323128
1986-03-01,0.42228547,0.08459015,-0.18882981,0.47623673,-0.035634615,0.13920745
1986-04-01,0.032637022,0.067939,-0.03330345,0.071269035,-0.29673195,-0.15585938
1986-05-01,0.10723648,-0.011656189,-0.09591331,-0.15585938,-0.021980286,-0.30272675
1986-06-01,0.0985775,0.11955948,0.025976563,0.11889305,-0.1845003,-0.09424858
1986-07-01,-0.02997284,-0.19715539,-0.2271286,-0.33003578,0.021980286,0.08225937
1986-08-01,-0.010324096,0.23112449,-0.13754272,0.13754253,-0.19882087,-0.12621956
1986-09-01,0.23711929,-0.19815445,-0.31038627,-0.3460211,0.06960392,0.23412208
1986-10-01,0.08625565,-0.0119895935,-0.23312339,-0.26309603,0.047623444,0.025310516
1986-11-01,0.1312149,0.20548134,-0.06760559,0.048289873,-0.28807336,0.104572296
1986-12-01,0.05261917,-0.018982697,0.16118813,0.28873938,-0.8682167,0.26043168
1987-01-01,0.0903614,0.13837624,0.04001236,0.20439681,-0.33410376,0.17838898
1987-02-01,0.07302284,0.061685562,-0.0006668091,0.071689226,-0.03200989,-0.12870637
1987-03-01,0.21806793,0.07135544,-0.051015854,-0.1907259,-0.14837952,0.20172921
1987-04-01,0.13704261,-0.039678954,-0.053016663,-0.004001236,-0.30342788,-0.2957588
1987-05-01,-0.31409758,0.18572465,-0.20773086,0.03134308,-0.29809266,0.3487751
1987-06-01,0.108366966,-0.019005965,-0.25708008,-0.1453785,-0.18472442,-0.19506034
1987-07-01,0.23774071,-0.056684114,-0.21606712,-0.088027574,-0.56684303,0.17705497
1987-08-01,0.0543499,-0.17272034,-0.14904633,-0.05001564,-0.34410667,-0.23974113
1987-09-01,0.30242747,0.14771271,-0.26441574,-0.010003281,-0.2130661,0.25474587
1987-10-01,-0.092695236,-0.092028424,-0.09102821,-0.24374238,-0.49948844,-0.2337391
1987-11-01,0.11070099,-0.10770035,-0.033010103,-0.024007415,-0.065686986,0.10403252
1987-12-01,0.012670517,-0.16571808,0.072022244,-0.18872528,-0.27441865,-0.1803894
1988-01-01,0.32168198,0.18887138,0.018019486,-0.039042283,-0.15016289,-0.044715118
1988-02-01,0.35872155,-0.06640549,0.023692321,-0.08842888,0.10377922,0.013681412
1988-03-01,0.4888626,-0.006006622,-0.15983963,-0.14916153,-0.12380066,-0.19654617
1988-04-01,-0.091098405,0.048051834,0.18653527,0.05539322,-0.14148636,0.3530487
1988-05-01,-0.11145401,0.06406937,-0.032034684,0.19287547,0.15550193,0.00033340455
1988-06-01,0.29265022,0.04304657,-0.09843979,-0.08442478,-0.45682794,0.39876518
1988-07-01,-0.1534996,-0.011011886,0.037374116,-0.3290228,-0.26028174,0.3467087
1988-08-01,0.19254151,0.018019866,-0.15116349,0.5586052,-0.15683632,0.10911789
1988-09-01,0.020021629,0.060398865,-0.1428215,-0.05439224,-0.18319854,-0.09176598
1988-10-01,0.15883866,0.21756896,0.011011886,0.3457077,0.14782676,0.028030396
1988-11-01,-0.16117458,0.257946,0.08075409,0.13047485,-0.32735443,-0.18620186
1988-12-01,0.002335739,0.37173614,-0.036038972,0.30866775,0.097105026,-0.24226227
1989-01-01,0.19593677,-0.06058998,0.06601562,-0.035569765,-0.25471765,0.14499322
1989-02-01,-0.03436432,0.018689346,-0.070235826,-0.06390552,0.38403663,0.1950325
1989-03-01,0.04943657,-0.22668381,-0.09736557,0.22487526,-0.122686766,0.025622558
1989-04-01,-0.15825653,-0.06601562,-0.1570507,-0.13534717,0.31500626,-0.0865139
1989-05-01,-0.26285687,-0.017483521,0.050642014,-0.13504562,-0.14077339,-0.02773285
1989-06-01,0.04099617,-0.020196533,-0.07988205,-0.04762783,0.0859108,0.25562248
1989-07-01,0.018990707,0.38855782,-0.19533387,0.079279326,-0.4334728,-0.08982964
1989-08-01,0.41990775,0.19985542,-0.16850547,-0.15192643,-0.62398374,-0.14891204
