,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1980-11-01,0.033038486,-0.016424272,-0.30109736,0.46960086,-0.63820404,-0.19790684,-0.049364403,0.16121499,-0.028658552
1980-12-01,-0.09570666,0.09323966,-0.15218413,0.5283983,-0.88278806,-0.29788023,-0.030616151,0.17374337,-0.08520107
1981-01-01,-0.11175662,0.05699311,-0.07522069,0.45031905,-1.0113196,-0.28207463,-0.054573074,0.107658006,-0.04910928
1981-02-01,-0.04332175,0.063414566,0.003587631,0.33282182,-0.719115,-0.33962783,-0.059953686,0.11214338,-0.080977924
1981-03-01,-0.28335175,0.09708123,-0.1331169,0.4312313,-0.6609929,-0.14802144,-0.052717406,0.19776371,-0.021599779
1981-04-01,-0.13899186,0.07935473,-0.24414366,0.42357466,-0.14209937,-0.115708925,0.038514223,0.16402449,-0.026917772
1981-05-01,-0.10499246,0.07252943,-0.24469794,0.42126143,-0.2224356,0.033546686,0.15621603,0.1797056,-0.11602314
1981-06-01,0.031718906,0.03133258,-0.2676568,0.1750342,-0.35543358,-0.043095782,0.16194856,0.17998399,0.031392656
1981-07-01,-0.079600826,0.038211357,-0.34692904,0.48531827,-0.20353472,-0.011921476,0.19475651,0.22284852,-0.019446896
1981-08-01,0.061312113,0.045538902,-0.25979996,0.23221503,-0.31687552,-0.12832327,0.15654738,0.24807422,-0.051521566
1981-09-01,0.05891597,0.020754583,-0.33438784,0.576282,-0.3040914,-0.0974483,0.16813806,0.21668448,-0.08989427
1981-10-01,-0.060211457,0.10150987,-0.20038381,0.40784177,-0.58229357,-0.19837613,0.06675343,0.23950122,-0.06367953
1981-11-01,-0.011513216,0.011980285,-0.24042441,0.37552774,-0.8184056,-0.30297124,0.021351881,0.21805231,0.0077048847
1981-12-01,-0.20940393,0.11743618,-0.11422659,0.47875565,-0.81744725,-0.30940688,-0.004969784,0.17776157,0.0406231
1982-01-01,-0.010931443,0.092666335,-0.050543133,0.65513885,-0.90120953,-0.2905259,-0.03235292,0.17713213,-0.12975645
1982-02-01,-0.10583936,0.12546554,-0.038504466,0.48330796,-0.8896108,-0.26028484,-0.06327983,0.17564337,-0.07854777
1982-03-01,-0.021011628,0.14378327,-0.108566605,0.48043424,-0.7504544,-0.2242103,-0.058227904,0.14852503,-0.15885662
1982-04-01,-0.0053478796,0.04567053,-0.1353585,0.44396064,-0.34834853,-0.12144896,0.024949035,0.14559229,-0.09071292
1982-05-01,-0.032881256,0.04716474,-0.18932168,0.6187461,-0.2252713,-0.046661254,0.10823695,0.19606869,-0.099363536
1982-06-01,-0.1146538,0.14770237,-0.30540925,0.18307234,-0.38461998,0.030564874,0.10672273,0.19507985,-0.14108314
1982-07-01,-0.07818221,0.025746072,-0.37539017,0.21776862,-0.19255337,-0.008477838,0.15583442,0.19269036,-0.06633926
1982-08-01,-0.10099637,-0.024225,-0.39203206,0.60344535,-0.20083413,-0.056112353,0.17692856,0.25007457,-0.109732755
1982-09-01,-0.121069804,-0.022098387,-0.22990789,0.45882767,-0.23747444,-0.007139375,0.07683724,0.2147773,-0.0022467757
1982-10-01,0.013340399,0.0059482954,-0.27133304,0.4288923,-0.53760433,-0.110362954,0.04192102,0.19812337,-0.041145176
1982-11-01,-0.06727185,-0.011224214,-0.16315287,0.57263225,-0.7125046,-0.15873733,-0.023314944,0.124351844,0.07732689
