,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1986-01-01,1014.3572,1025.6948,1007.4085,1008.1941,1013.7964,1015.6339
1986-02-01,1012.2576,1024.8049,1009.15356,1001.62256,1012.8672,1014.7275
1986-03-01,1017.353,1018.098,1008.58453,1009.18463,1013.342,1015.33575
1986-04-01,1019.0848,1014.5325,1008.36615,1018.7139,1017.0625,1014.4914
1986-05-01,1018.88416,1008.3947,1009.0593,1020.7482,1010.6955,1009.8245
1986-06-01,1016.79346,1004.44116,1008.54596,1015.59784,1009.8625,1009.3226
1986-07-01,1014.9718,1005.58563,1009.71436,1015.91174,1010.90686,1009.58594
1986-08-01,1010.10815,1005.6932,1008.28076,1016.01556,1009.9904,1003.0107
1986-09-01,1015.7225,1012.8672,1009.4815,1014.6174,1011.4361,1008.2086
1986-10-01,1018.22845,1020.2266,1010.26196,1016.35547,1015.9744,1013.1742
1986-11-01,1019.25757,1024.6251,1008.3675,1018.1791,1018.8278,1013.80646
1986-12-01,1017.391,1025.7125,1008.91626,1008.71875,1017.0764,1014.3527
1987-01-01,1018.85626,1026.2565,1009.24133,1010.12024,1016.1461,1017.2623
1987-02-01,1017.548,1023.8393,1009.98444,1009.40826,1014.10815,1017.6954
1987-03-01,1018.71985,1017.4788,1010.61255,1011.56616,1014.05365,1017.07764
1987-04-01,1018.8722,1015.072,1009.6169,1017.49414,1017.3755,1014.3821
1987-05-01,1018.54315,1010.9068,1010.27435,1020.72546,1015.2843,1012.79065
1987-06-01,1017.2562,1006.49384,1009.84625,1017.2152,1010.4175,1009.7661
1987-07-01,1015.50757,1003.8638,1010.075,1012.4775,1009.35876,1010.56
1987-08-01,1015.15094,1006.785,1009.92883,1014.5736,1011.0199,1010.4701
1987-09-01,1013.52704,1013.47205,1010.28174,1021.7084,1013.0182,1006.467
1987-10-01,1018.1217,1016.95593,1009.8646,1018.98834,1016.7333,1010.09454
1987-11-01,1019.5529,1022.8044,1008.5196,1017.30695,1018.54553,1013.00287
1987-12-01,1020.21466,1027.5476,1008.86755,1018.104,1017.81647,1015.14484
1988-01-01,1018.24634,1025.3462,1008.455,1011.13745,1014.8136,1015.1839
1988-02-01,1014.59607,1026.05,1008.6984,1004.09607,1016.6387,1015.98016
1988-03-01,1018.62634,1019.8878,1008.3184,1013.97986,1014.5852,1013.9612
1988-04-01,1018.89514,1015.805,1009.4736,1020.68646,1015.776,1014.0662
1988-05-01,1017.76306,1009.07544,1009.1582,1016.14087,1011.58325,1010.7429
1988-06-01,1016.7686,1005.1775,1009.8264,1013.8627,1008.461,1010.8976
1988-07-01,1018.1817,1004.4393,1009.383,1019.19666,1008.2067,1007.7729
1988-08-01,1014.3551,1006.0789,1009.8989,1018.09106,1009.67896,1010.5786
1988-09-01,1016.1016,1012.3457,1008.6054,1020.0642,1010.62573,1008.90326
1988-10-01,1016.0298,1018.2651,1008.0025,1014.851,1013.6827,1009.1147
1988-11-01,1016.96674,1024.3983,1008.27435,1015.68964,1012.83923,1012.9921
1988-12-01,1016.9293,1026.0929,1008.0146,1011.5228,1017.1305,1013.6434
