,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1986-02-01,-2.0299813e-05,2.3026805e-06,5.241709e-06,-1.9241415e-05,2.6575875e-05,1.4347432e-05,0.00021793609,2.5825866e-06,-5.219823e-06,-6.9779853e-06,3.780944e-06,6.403969e-05
1986-03-01,-1.4631696e-05,9.851428e-06,2.1802261e-06,-2.4524663e-05,2.7240654e-05,5.8540027e-06,0.00020080929,3.0461888e-06,-5.9545782e-06,-4.003974e-06,4.559435e-06,5.416422e-05
1986-04-01,-1.6179933e-05,1.0883581e-05,2.8187642e-06,-2.5241927e-05,7.437229e-06,1.7778584e-06,0.00012976537,5.1367388e-06,-2.2442851e-05,-1.7559723e-06,-2.5519548e-06,6.0733284e-05
1986-05-01,-9.392184e-06,1.3813864e-05,6.6150023e-06,-1.4334291e-05,-2.5432091e-06,1.4338686e-05,8.1848775e-05,3.3348406e-06,-1.0205666e-05,-1.764718e-06,-9.191004e-06,2.9357452e-05
1986-06-01,-1.8871797e-06,1.2729222e-05,-8.637653e-07,-1.0538053e-05,8.679315e-06,-1.5635305e-06,4.5679535e-05,5.467882e-08,-1.6687263e-05,-6.4794003e-06,-1.5392696e-05,4.671169e-05
1986-07-01,2.5126137e-06,1.4662328e-05,-7.0632086e-07,-4.5987763e-06,1.0419986e-05,5.0755116e-06,1.6029153e-06,3.433306e-07,-3.899011e-06,-4.8786824e-06,-4.1001913e-06,3.1071882e-05
1986-08-01,8.419156e-07,1.9814368e-05,-2.9193325e-06,-1.2252487e-05,3.870664e-07,9.352843e-06,6.0114544e-06,3.632238e-06,-1.12815615e-05,3.632238e-06,-7.96641e-06,4.002891e-05
1986-09-01,1.4279722e-06,1.9123348e-05,-3.5491248e-06,-4.7037393e-06,-1.3756988e-05,3.5797566e-06,4.0492505e-05,2.040273e-06,-2.0708685e-06,1.9688741e-08,-4.8524453e-06,3.8270744e-05
1986-10-01,-5.788381e-06,1.0332515e-05,-1.2398887e-06,-1.5427679e-05,-1.5023033e-06,1.1058524e-05,0.00013612451,1.2180462e-06,-4.1964086e-06,-1.7209823e-06,-2.298293e-06,4.831241e-05
1986-11-01,-1.14127615e-05,1.2125674e-05,3.710964e-06,-1.8226754e-05,-2.8493596e-06,5.775277e-06,0.00015039102,3.606001e-06,-6.024551e-06,-3.7153222e-06,-1.983397e-06,4.1813317e-05
1986-12-01,-1.9031482e-05,2.2676977e-06,7.4634663e-06,-1.8226754e-05,1.5379592e-05,1.1670825e-05,0.0001619197,7.157323e-06,-7.3278716e-06,-4.0214654e-06,6.4575506e-06,4.440246e-05
