,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1988-04-01,101513.62,101101.35,101580.5,101651.73,101865.9,100981.49,101523.53,101911.63,100920.234,102190.38,101237.23,101064.26
1988-05-01,101570.95,101194.94,100907.55,101631.305,102000.44,100653.32,101649.8,102106.586,100884.41,102351.32,101563.945,101075.555
1988-06-01,101680.6,101287.01,100517.75,101638.98,102198.234,100146.87,101827.77,102208.266,100969.35,101967.39,101675.23,100955.39
1988-07-01,101913.08,101384.82,100443.93,101538.21,102235.33,100128.56,102050.16,102137.22,100975.21,102396.21,101689.06,100721.59
1988-08-01,101662.12,101245.74,100607.89,101413.39,102253.27,100329.984,101885.89,101853.875,100986.266,102084.234,101631.49,100805.99
1988-09-01,101599.164,101233.96,101234.57,101374.55,102473.42,100546.086,101871.21,101881.06,100909.84,102050.34,101525.34,101104.07
1988-10-01,101854.36,101063.77,101826.51,101374.61,102339.84,101104.734,101725.01,101855.14,100909.36,101951.14,101341.016,101503.77
1988-11-01,101766.09,101090.664,102439.83,101526.305,102235.086,101458.586,101654.57,101803.43,100919.2,102022.19,101352.195,101813.58
1988-12-01,102002.67,101050.18,102609.29,101590.83,102063.81,101558.445,101461.18,101883.055,101064.805,101372.07,101171.914,101747.79
1989-01-01,101850.484,101106.73,102578.6,101588.766,101811.63,101477.37,101422.26,102340.15,100865.23,101828.74,100933.72,102325.63
1989-02-01,101986.45,101166.07,102374.53,101598.54,101828.07,101579.96,101390.69,102452.57,101018.08,101707.18,101048.68,102152.8
1989-03-01,101661.836,101085.05,101980.07,101604.3,101893.45,101262.57,101335.19,102158.33,100926.21,101625.92,101014.805,101424.45
1989-04-01,101603.96,101086.8,101239.53,101471.83,101957.43,101057.32,101448.79,102262.56,100884.82,102634.836,101330.16,101075.336
1989-05-01,101661.836,101249.586,101078.33,101617.28,102018.07,100658.96,101717.79,102030.664,100847.664,102120.445,101585.945,101159.92
1989-06-01,101643.54,101295.04,100676.805,101627.67,101989.95,100208.94,101914.18,102055.45,100994.305,102216.94,101806.555,101069.69
1989-07-01,101872.336,101369.46,100555.914,101537.78,102090.69,100320.68,102027.78,102153.93,100939.086,102578.71,101841.45,100971.33
1989-08-01,101748.51,101320.39,100559.98,101442.47,102299.266,100411.02,101995.88,101842.63,100964.72,102060.37,101804.24,100902.89
1989-09-01,101617.055,101173.81,101072.17,101338.06,102250.086,100746.43,101687.08,101868.664,100997.07,101785.83,101517.68,101066.414
