,mgu500GLB_cluster1,mgu500GLB_cluster2,mgu500GLB_cluster3,mgu500GLB_cluster4,mgu500GLB_cluster5,mgu500GLB_cluster6,mgu500GLB_cluster7,mgu500GLB_cluster8,mgu500GLB_cluster9,mgu500GLB_cluster10,mgu500GLB_cluster11,mgu500GLB_cluster12
1972-07-01,-2.1260557,1.0119565,-0.031560898,-0.41947287,0.45591125,0.7815622,-0.33052844,-0.77553713,-0.550594,0.052793123,0.4455822,0.9476875
1972-08-01,-2.229346,1.1123775,-0.40197104,-0.48976746,0.5678089,1.2876842,-0.65044117,-0.5262062,-0.7904568,-0.059391785,-0.048776247,0.3861904
1972-09-01,-1.142504,1.5195134,-0.16411667,-0.17415848,0.61457634,0.3024107,-0.64958036,-0.8306252,0.07402458,0.45533752,-0.124522015,0.61371577
1972-10-01,-1.18755,0.3962326,0.45189437,0.1431717,1.4497921,0.47140503,-1.1037703,-0.7330734,1.1996006,0.2593731,0.31733018,0.18362693
1972-11-01,-0.9152657,0.2625292,1.250098,0.16755943,1.7111737,-0.81886137,-0.94711363,-0.5442818,2.0089936,-0.23957558,-0.6794197,-0.2763012
1972-12-01,-0.18735695,-0.5201805,1.7849118,0.44672966,1.2205454,-1.0673317,-1.0386398,-0.10415077,2.7214093,-0.2516262,-1.2466549,-0.4754219
1973-01-01,-0.14398651,-0.8397087,1.60615,0.32046548,1.2879145,-1.2066829,-1.0413536,-0.41794282,3.0125663,-0.7858734,-0.684573,-1.1012417
1973-02-01,0.36410752,0.22649193,1.1761017,0.010193634,1.1264073,-1.0241512,-1.1397865,-0.10958252,2.458919,-0.37907943,-1.2445908,-0.63519704
1973-03-01,-0.5288002,0.2666298,1.3888962,0.4325966,0.6969967,-1.9485958,-0.79638517,-0.19877777,2.0572226,0.32524377,-0.56989324,-0.9406902
1973-04-01,-0.52179146,0.52656996,0.9304966,0.12678452,1.2391758,0.028033067,-0.809446,-0.77408636,2.0008385,-0.0019115448,-0.16023254,-0.059888076
1973-05-01,-0.56320345,1.0977376,0.22840309,-0.068488695,1.3102131,-1.195534,-0.65462875,-0.48452073,1.2480949,0.019750595,0.030899812,0.5412235
1973-06-01,-1.1506176,1.6338642,0.03663368,-0.16341782,0.5603367,-2.0189962,-0.5555584,-0.41889876,0.57084924,0.14207534,0.22458076,0.64825785
1973-07-01,-1.5354307,1.1213105,0.0015930176,-0.31282043,0.7699455,1.2898254,-0.3367117,-0.40488243,-0.099070355,-0.20100784,-0.07868309,0.22489929
1973-08-01,-1.6102909,0.27586785,-0.17393073,-0.039182283,0.7769535,2.136224,-0.15386161,-0.853088,-0.54249763,0.29912224,0.07167435,0.89768565
1973-09-01,-1.7364388,1.0996491,-0.085372545,-0.11213074,0.9072422,-0.21661682,-0.86105174,-0.7791832,-0.010512161,0.023573304,0.13188133,0.1783905
1973-10-01,-0.92094004,1.1761017,0.2717266,-0.24496803,0.88494337,-0.33161467,-0.8843063,-0.3590103,0.55014306,0.05606575,0.12232475,0.38927308
1973-11-01,-0.7559292,0.92348844,0.6574955,0.32046548,1.3063908,-0.751469,-1.2688011,0.042049028,1.7682937,-0.06371079,-0.43323365,0.1955925
1973-12-01,-0.2841503,-1.2748537,0.7234367,0.1930439,1.4070537,-1.9202439,-0.9782799,0.14940186,2.6554673,0.083142474,-0.9798729,-0.37525672
1974-01-01,-0.89344865,-0.042404555,1.7786796,0.24587937,1.7582992,-2.423619,-0.94341356,0.22779961,2.5929077,-0.0447052,-0.52002794,-1.4802063
1974-02-01,0.4365341,-0.48091048,1.6938713,0.44015008,1.8746645,-0.90100896,-1.190279,-0.15712586,3.034044,-0.37276345,-0.8053528,-0.31162223
1974-03-01,-0.52758825,0.2705328,1.437144,0.093026735,1.1603655,-1.3658127,-0.41418153,0.1383892,2.1363218,0.118666455,-0.25376892,0.22319755
1974-04-01,-0.73270684,0.3763794,1.0564919,0.24587898,1.2990835,-0.24949494,-0.70542336,-0.5381073,1.2021122,0.484198,0.16632995,0.48091087
1974-05-01,-1.7744061,0.823761,0.12491226,-0.02892685,0.42601508,0.7244892,-0.31622428,-0.94341356,0.6663063,0.67846906,0.17257576,0.08908196
1974-06-01,-2.0682778,1.3766606,-0.24817963,-0.07659073,0.53153306,-0.72777617,-0.12787037,-1.081474,-0.42568666,-0.09565582,0.09795685,-0.10025825
1974-07-01,-1.7467945,0.60779494,0.16600113,0.24226303,-0.036816023,-0.7547306,-0.78694475,-1.4308983,-0.07067375,0.3168823,0.22319794,0.049636077
1974-08-01,-2.1964767,1.344775,-0.2521248,-0.14233398,0.72448885,2.1323776,-0.46809062,-0.90363884,-0.553228,0.25804138,0.12787095,-0.49373055
