,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7,zgu200_cluster8,zgu200_cluster9
1977-06-01,0.18257752,-0.36940154,0.23919067,0.26325148,-0.026891327,-0.24485245,0.07430496,-0.24379043,0.048121642
1977-07-01,0.28448105,-0.45892105,0.009553527,0.22149925,0.15002441,-0.625576,0.22751465,-0.23848267,0.36515504
1977-08-01,0.08279648,-0.17939301,-0.35807878,0.1160572,0.37577057,-0.62982255,-0.027952576,0.11853409,0.27032852
1977-09-01,-0.7009422,0.11464157,-0.15851745,0.28518945,-0.11428833,-0.14400978,-0.12242584,-0.44193688,0.7802013
1977-10-01,-0.30854225,0.14011803,0.2897888,-0.20380764,-0.059444048,-0.44724464,0.16736297,-0.36833993,0.117472455
1977-11-01,-0.22326812,0.065813065,0.1270256,0.07642784,0.13127175,-0.3704628,-0.13551788,-0.12419548,-0.09305801
1977-12-01,0.01627655,0.1645321,0.050951768,-0.054843903,0.32340354,0.19248466,-0.28625068,-0.2402523,0.83221436
1978-01-01,0.18738174,0.22343025,0.23669319,0.3611618,-0.037068177,-0.24009399,0.12276764,-0.060873795,0.4642044
1978-02-01,-0.0037410737,-0.14147186,1.0518566,0.5743893,-0.5526245,-0.22343063,-0.19486389,0.06631508,0.18398133
1978-03-01,0.25403708,-0.22309037,-0.12854882,-0.16051598,0.43325728,0.14147186,-0.28940505,-0.30232772,0.60057485
1978-04-01,-0.4420994,-0.00102005,0.76381147,-0.30742913,-0.11154518,0.42645568,0.039108656,-0.32239264,0.31014976
1978-05-01,-0.21458817,-0.16391678,0.44958115,0.20540619,-0.080258176,-0.5471832,-0.0071414947,-0.21526833,0.39414826
1978-06-01,0.41795427,0.48120803,0.04148941,0.059853364,0.017343903,-0.83080673,0.034687806,1.1263329,-0.09113999
1978-07-01,-0.031967163,0.19724426,-0.15405425,0.23363228,-0.01632309,-0.018704224,0.039108276,-0.5005924,0.3550392
1978-08-01,0.06733475,0.102703094,-0.27342147,0.24417457,0.050671387,-0.63934404,0.13501053,-0.35503998,0.022785187
1978-09-01,-0.6213196,-0.011902618,-0.18806228,0.06597481,0.2193493,0.4091118,0.040129088,-0.34007645,0.5424221
1978-10-01,-0.18160096,0.15541458,0.3043682,0.10916443,-0.0870594,-0.3791855,0.057813264,-0.24009399,0.34041673
1978-11-01,-0.37680474,0.18534164,-0.06971588,0.048630904,0.13432999,-0.3128704,-0.0697155,-0.22581062,-0.02856636
1978-12-01,-0.15779534,0.113925554,-0.20438614,-0.049311064,0.12242775,-0.09114037,-0.16833802,-0.049991228,-0.01326294
1979-01-01,0.45875853,-0.6145523,0.96895295,0.25242156,-0.1120884,-0.40910682,-0.32466888,-0.62049866,-0.5999836
1979-02-01,-0.008919144,-0.59522665,1.3405975,0.31158715,-0.082653806,-0.32496604,0.41832352,-0.2271492,0.51673526
1979-03-01,0.067193225,-0.55241317,0.610984,0.37432098,-0.5687653,-0.21525688,-0.07373428,-0.7688591,0.20039082
1979-04-01,-0.66182554,-0.09841156,-0.1016819,0.037759207,-0.049354173,-0.11892643,-0.29909974,0.13379212,0.1394413
1979-05-01,-0.31485787,0.72366714,-0.25539437,-0.3579685,-0.034785844,-0.01843357,-0.15579338,-0.14360352,0.40613365
1979-06-01,0.15668564,-0.2949379,-0.15103607,0.27293605,0.15073928,-0.47362405,0.043408204,-0.33566895,0.31723556
1979-07-01,-0.07492371,-0.44716263,0.20990448,0.22001381,0.115953065,-0.7837246,-0.108817674,0.063031,-0.20693207
1979-08-01,-0.46648866,0.70344925,0.07224808,-0.16857834,-0.30147856,-0.6680689,0.24320488,-0.346373,0.66896135
1979-09-01,-0.3862133,0.50841063,0.043705367,-0.29285622,-0.102574155,-0.33329123,0.39840317,-0.027947236,0.32080382
1979-10-01,-0.91543597,-0.38978118,0.004459381,-0.02705574,0.16352387,0.15817222,0.028542329,-0.9787647,0.69007033
1979-11-01,-0.6552845,0.29731598,0.3083168,0.18225479,0.047273256,-0.13795471,0.20960808,-0.06600418,0.7792652
1979-12-01,0.11089859,0.2515293,-0.00327034,0.19682312,0.17333527,0.08830299,0.1450901,0.11714248,-0.23428497
1980-01-01,0.5435959,0.019920731,-0.010466767,0.17962304,-0.24782562,-0.12830201,-0.03511429,0.26538277,0.2849657
1980-02-01,0.12965241,0.18097381,0.5007156,0.05064545,-0.46290055,-0.17354545,0.10196648,-0.31974238,0.4767433
1980-03-01,0.105680086,-0.6951946,0.30319825,0.16949387,-0.13843079,-0.56182826,0.3278454,0.40415192,0.2221653
1980-04-01,0.17219505,-0.34135133,0.4699909,0.13336678,0.110069655,0.24174805,-0.04287987,-0.20494556,-0.100953296
1980-05-01,0.14754753,-0.58276176,-0.25424117,0.25727957,0.38153,-0.34337693,-0.17692184,-0.17861024,0.16442871
1980-06-01,-0.06448822,0.14619675,0.64623755,-0.12526341,0.0006755829,-0.25018921,0.14214477,0.063137814,0.54933625
1980-07-01,-0.25829238,0.26234436,-0.49767762,0.03511429,-0.06550179,-1.1044114,0.18333665,0.64725035,0.26166838
1980-08-01,0.073604584,-0.18738861,-0.34405288,0.23634605,0.27551192,-0.7654236,-0.03511429,0.109732054,0.51590955
1980-09-01,-0.7394253,-0.16645508,0.5067932,0.2187889,-0.09892769,-0.6144997,-0.15193634,0.22993088,0.19853058
1980-10-01,-0.48923606,0.6975578,0.2809143,-0.43048745,-0.21338654,-0.23634568,0.0975769,-0.43251306,0.34337693
1980-11-01,-0.23195687,-0.003376007,-0.20899734,-0.08778572,0.080020145,-0.26133117,0.110070035,-0.36903763,0.40347633
1980-12-01,-0.10669327,-0.895076,0.3524929,0.37140083,0.19549179,-0.07900734,0.010804748,-0.1593647,0.26504517
1981-01-01,0.31089324,-0.53185844,0.15416184,0.44376603,-0.10864715,-0.010277557,0.051020812,-0.34539565,-0.17691879
1981-02-01,-0.25363237,-0.557552,0.5091011,0.3865059,0.04734955,0.041477203,-0.5469078,0.57480353,-0.04037552
1981-03-01,0.4033905,0.013947678,0.33438414,0.034502793,-0.15012398,-0.21178894,-0.061297607,-0.33805484,-0.67317355
1981-04-01,0.17141342,-0.50212705,-0.02275734,-0.22280045,-0.02716217,-0.6071041,-0.031199645,0.1890316,0.20151138
