,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9
1981-04-01,3.2639465,-5.9110107,-2.5690308,-11.566071,-0.103149414,-8.377899,2.180725,2.8097534,-4.8482666
1981-05-01,2.368164,-7.8454285,-3.3182068,-11.749817,-0.96203613,-9.865295,1.1367493,3.4324036,-5.950165
1981-06-01,1.5358582,-8.799744,-4.313507,-11.857727,-2.0429688,-9.64563,0.5059509,3.147644,-7.2033386
1981-07-01,0.88427734,-9.693817,-4.9205017,-11.625488,-2.7191772,-10.782684,-0.5275574,3.059967,-7.825714
1981-08-01,0.39889526,-9.607056,-5.7483215,-12.440002,-3.2291565,-11.10965,-1.2328796,2.6304626,-8.373627
1981-09-01,0.10391235,-10.395233,-5.151306,-13.26712,-3.6676636,-11.537933,-1.5652771,2.949646,-8.334869
1981-10-01,0.9716797,-10.688599,-4.7802734,-13.307739,-2.8224487,-11.384796,-0.85284424,3.0458984,-8.242218
1981-11-01,1.9045105,-9.31543,-4.471863,-12.438507,-1.9783325,-11.089722,-0.043060303,2.7431946,-7.5918884
1981-12-01,2.9535522,-7.587097,-3.717102,-11.325378,-0.99746704,-9.683868,1.2407837,2.707489,-6.2173157
1982-01-01,3.3676147,-5.0709534,-3.0562134,-9.930145,0.25836182,-6.8844604,2.3842773,2.7572632,-4.2153015
1982-02-01,3.1344604,-4.2757263,-3.108612,-8.275696,0.14035034,-5.755249,2.1150513,2.671814,-3.5226746
1982-03-01,3.2273254,-4.650482,-3.4328308,-8.8177185,-0.22192383,-6.4819946,2.1157837,2.6970825,-4.4396973
1982-04-01,3.4205322,-5.9342957,-3.979126,-10.909637,-0.4993286,-7.953583,1.6686401,3.307373,-5.94281
1982-05-01,3.1227417,-7.4357605,-4.1202087,-11.686584,-1.1436157,-9.143585,0.77401733,4.0329895,-6.079376
1982-06-01,1.9177246,-8.46402,-5.1905212,-12.257233,-2.272522,-10.228943,-0.37142944,3.3171387,-6.1468506
1982-07-01,0.9866638,-8.815277,-5.6178894,-12.717621,-2.592743,-10.623749,-0.8338318,3.3909607,-7.169525
1982-08-01,0.4689026,-9.135773,-5.724579,-12.96402,-2.9893188,-11.269684,-1.3065186,3.0108948,-7.6857605
1982-09-01,1.0882568,-9.517792,-5.902832,-13.01709,-3.0073547,-11.588135,-0.7347412,2.5863037,-7.8880615
1982-10-01,1.5760803,-9.86911,-5.8496094,-13.830048,-3.2009888,-11.760712,-0.56036377,2.680603,-7.4568176
