,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10
1995-06-01,-4.999349048872445e-05,3.6585311713240814e-05,8.760758481168357e-05,-0.00010553355604507528,-1.0994879717785011e-05,0.00011287309192724663,-2.721192502117247e-05,-6.31137183637427e-05,1.3223446835014927e-05,6.075346296593794e-05
1995-07-01,-4.8261637871351846e-05,3.925595503334309e-05,8.457474409211002e-05,-0.00010535327159235698,-9.159518832291269e-06,0.00011041010212567117,-2.7448484403229976e-05,-6.279906301642768e-05,9.925315921693244e-06,6.339420908075528e-05
1995-08-01,-4.8871666626880216e-05,3.9539090429126185e-05,8.393001156615685e-05,-0.00010297655635853197,-9.281877799693916e-06,0.00011162860944211758,-2.7721627497640177e-05,-6.280375362352895e-05,8.524061053350879e-06,6.38274923566799e-05
1995-09-01,-5.0714661209605524e-05,3.9724963138040704e-05,8.352738652981563e-05,-0.00010149174149899469,-9.595921635074944e-06,0.00010928495073501295,-2.7680652387904894e-05,-6.539590745500183e-05,1.0984433599190653e-05,6.145863780518575e-05
1995-10-01,-5.1663888668993986e-05,3.845833433552073e-05,8.392299357431263e-05,-0.00010303155944087493,-8.249141991711895e-06,0.00010237928277261003,-2.8921420756306515e-05,-6.546708734321492e-05,1.4528912129147727e-05,5.9206430439517914e-05
1995-11-01,-5.3326450464782254e-05,3.5287419376601727e-05,8.53664989170449e-05,-9.986760711969708e-05,-6.282565817583574e-06,0.00010409031043915698,-3.0387232291180688e-05,-6.534805386942682e-05,1.689348412411774e-05,5.825619298765767e-05
1995-12-01,-5.43785511953195e-05,3.2682937410165276e-05,8.719762263353913e-05,-9.898887235392068e-05,-4.27488149323807e-06,0.0001072376687295252,-2.9470918467754425e-05,-6.886395090450456e-05,1.7130232349857047e-05,5.583601354377234e-05
1996-01-01,-5.537995727353058e-05,3.224142251468095e-05,8.780134852382946e-05,-9.80295481057415e-05,-5.438826433667998e-06,0.00010676964140859328,-2.9047139126652878e-05,-6.671166300323228e-05,1.7852959057809637e-05,5.6184496644038296e-05
1996-02-01,-5.501314624201282e-05,3.203364283304627e-05,8.781154147899625e-05,-9.770001037022432e-05,-5.2253722016004645e-06,0.00010889173373235044,-3.0031684799569936e-05,-6.623272831169088e-05,1.720603161651409e-05,5.786799778911006e-05
1996-03-01,-5.5161853250302027e-05,3.211548504494083e-05,8.98958271797958e-05,-9.816406721559663e-05,-4.933731170830846e-06,0.00011128675800541208,-2.940012560270256e-05,-6.663901450472205e-05,1.6533143288256422e-05,5.67106012837239e-05
1996-04-01,-5.246881580176692e-05,3.34545327093438e-05,8.711138930679722e-05,-9.935746490413459e-05,-7.602903005776707e-06,0.00011063412616581275,-2.989080350064441e-05,-6.486494519359424e-05,1.713740408951071e-05,5.778142107801956e-05
1996-05-01,-5.27064532362514e-05,3.50813392651001e-05,8.806360380152579e-05,-9.898507794920039e-05,-8.885079605391866e-06,0.00011434244731423892,-2.7385559901527065e-05,-6.590003216783249e-05,1.5548995596769547e-05,5.950259849014466e-05
1996-06-01,-4.902901777426718e-05,3.7207181408667274e-05,8.699390408847565e-05,-0.0001033141148686262,-1.025914211361112e-05,0.00011057700989854141,-2.6377468379136635e-05,-6.452606150381398e-05,1.2261418440667615e-05,6.11226916893367e-05
1996-07-01,-4.936815344723268e-05,3.9283730478306475e-05,8.479304101042956e-05,-0.00010677976111277085,-1.0295648644742528e-05,0.00011193307593068176,-2.6080120953494034e-05,-6.533713471459332e-05,9.77240495375016e-06,6.423537248220542e-05
1996-08-01,-4.987426344090424e-05,3.829490290822732e-05,8.584794737874869e-05,-0.00010420065227376123,-9.047654581095799e-06,0.00011054801924964757,-2.66461137469298e-05,-6.457997888439243e-05,1.0095604329883486e-05,6.409612737380342e-05
1996-09-01,-5.037112570615054e-05,3.9500602644705885e-05,8.391783756616694e-05,-0.00010273568628399946,-8.597655432041051e-06,0.00011042981727600648,-2.8006127693530926e-05,-6.489174248584829e-05,1.0570057922006469e-05,6.0615585528563245e-05
1996-10-01,-5.227712994479099e-05,3.764129261716305e-05,8.536083689911968e-05,-9.94073733810475e-05,-7.513946087556178e-06,0.00010303162087910567,-2.9263041016941265e-05,-6.645616655883029e-05,1.5055636577113637e-05,5.880929051569865e-05
