,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1988-12-01,4.95597161823495,8.644558978334283,4.081761763804648,3.0473474597559846,2.638030020211951,8.090327209505976,3.2646127623830488,7.065301934735193,5.711727761198486,7.556851803922981
1989-01-01,4.080995134288476,8.463729722897781,5.252864407356062,2.4925936510151714,3.776027907441821,8.031368094983035,5.002891980221041,7.761104540693932,5.428791176107619,7.198564615030632
1989-02-01,5.5176404815143085,8.408598437295572,3.677870245742699,3.2192398222509535,3.671254654997984,8.312781325161462,7.618174465492684,7.888711617237208,4.3007663195431745,6.896375108507342
1989-03-01,4.915239655122922,8.660293581273862,3.5184557991193626,1.948005063037514,3.893454895117229,8.150498674203183,8.217442483873599,7.708597476989579,5.031582699613017,6.746319865449606
1989-04-01,5.936061817031867,8.60143939594175,4.072407732572774,0.0,3.506909570273084,8.204442871690961,7.476125237861847,6.972882280359385,4.680162483224516,6.716910796383053
1989-05-01,5.969795077330882,8.58284081949686,4.2097352802678065,2.7469735886645053,4.10140889768635,8.12400269241062,6.522665143218148,6.960025044093061,5.896553410586315,7.230984362992597
1989-06-01,5.305400277499572,8.578968208872173,3.9371641449253394,0.0,3.778301168013204,7.683040366474143,4.4237375235747285,6.341256726695962,6.128560488983959,7.7952942780458185
1989-07-01,5.544964354015199,8.679760075878004,4.562808915199475,0.0,3.7699938992780977,7.106380070932965,3.383883819133856,6.102154544205102,6.876948969095898,7.853549569205943
1989-08-01,5.226981890731455,8.40470437585793,5.362156836616116,0.0,3.635008174789402,6.733164563054388,3.2125582077607406,5.384862795687139,7.312842790932324,7.953920814583268
1989-09-01,4.897988710697432,8.629555344504146,5.401120894236618,0.0,3.2898704869956554,6.875698130172509,3.1722357910672363,5.1481805645073075,7.264545836913937,8.042119262958781
1989-10-01,3.2557390845570513,8.462832626090979,4.946851326931884,2.6584600416695348,3.353876433143576,7.4403658824935315,3.1482411571081297,5.051860366624094,6.6989610228285175,8.105862971091373
1989-11-01,4.486675265793082,8.53229035499248,5.3393675273157895,0.0,3.2465156449410175,7.57400805383709,3.215501910597538,6.391807547331039,6.429376568780774,7.935468826152079
1989-12-01,5.136485312544336,8.516462495229483,4.5492354868025355,0.0,2.8518813437565127,8.078263490024604,3.3125565716000396,6.659992479957796,5.126550173167514,6.839184318907903
1990-01-01,4.705240252191484,8.212031467026865,4.043440205113198,3.149148900178818,3.0972116833016683,8.242700414605181,5.281220466319147,7.171353906613813,5.207505832500415,7.385221103253689
1990-02-01,4.634062023601736,8.309917690789629,2.8018807886120944,3.2088370713505032,3.609017815331445,8.22596911877589,6.887866668157723,7.590812095090486,4.8299116547756675,6.868298675967113
1990-03-01,5.465024307355451,8.175770873863515,3.0818018188718357,2.518074430491031,3.5420208735720466,8.260475329416282,7.48501726040677,7.107203955604067,5.223700225244215,6.621753869017845
1990-04-01,6.122437910059971,8.501121427814391,4.078085356400819,2.3513580623337464,3.828911487275011,8.597767580283366,7.018753766002882,7.7721764405490115,5.601652097536433,6.795291888929475
1990-05-01,5.500184475946561,8.693082238755117,3.2180356425013867,2.308195012083799,4.425351065741192,8.222063993179528,5.888896724655869,6.784911000315086,4.3428161674998735,6.889662419070779
1990-06-01,5.339820396140051,8.658271088595672,3.57319568112952,0.0,3.3710564896695696,6.809868129589317,3.557294398375876,6.202597376850785,5.726445720668707,7.5634075777590155
1990-07-01,5.662178073374022,8.573860079494933,3.2432674631149823,0.0,4.377388881920392,6.745061897911907,3.343725175753064,6.416256221263604,7.176920962218671,7.716535772430871
1990-08-01,4.7706389222931955,8.399835574663935,5.856299950158963,0.0,3.8675164973826583,6.598639888280416,3.135404411517224,5.652898587048439,7.28544865876946,7.896769294492705
1990-09-01,5.629939211617817,8.428622116955706,6.216155600027146,2.5175294241559083,3.240394421390562,6.563780425599234,3.0911603337510876,5.071349550946684,7.78433687310344,8.491537779390693
1990-10-01,4.967344597379463,8.406677962743464,4.893703263177263,0.0,3.3943027306952622,7.254285974846623,3.2017953172370293,5.511112751670947,6.911476392713298,8.216127207899952
1990-11-01,3.859616863739399,8.27493711690805,3.6998638290405435,2.8826755038400935,3.153100963887806,7.727021960082193,3.196282451797424,6.200977458295794,6.097250931592945,7.969595997819798
1990-12-01,4.952835065002995,8.425517997386475,4.415364942777251,3.3421165182926256,3.176365872428676,8.042949339132115,3.1813656974525637,7.271134263200459,5.664816438050954,7.93733188428034
1991-01-01,5.2118822851367,8.607019990995195,4.033532112287765,2.396303313275672,3.651371911106488,8.114471127861934,4.819178326241019,7.870746535024815,5.5707545023723535,7.156533714907433
1991-02-01,4.698412906096211,8.25436376112206,4.000409230625163,0.0,3.712088238866825,8.413977258646536,6.068236813758679,7.5736541514825175,4.556297914142558,6.932913619336682
1991-03-01,5.566327078014293,8.281866204012488,3.556678650903106,4.254935116956356,3.4622781821401314,8.333828643855584,7.170373529073836,8.030361137704196,4.042467434629267,6.845759218812356
1991-04-01,6.158610028671147,8.406501579894934,3.183394944778781,2.9110330063874765,4.087885838679248,8.332574104733503,7.280831143041176,7.743354756386613,5.04533414368533,7.013209030538341
1991-05-01,6.313360280517217,8.443339807863365,2.4076930896038404,2.4570715210572462,4.104131538596794,8.473368033119218,6.5510264648790555,6.9594228951115475,5.4596656376125425,7.244609323256699
1991-06-01,5.9203906001935,8.546455559439607,2.625827578282703,0.0,4.354315754869608,7.7799217967485195,5.306636314449454,6.045896752848297,6.4632854620580265,7.638606887708711
1991-07-01,5.2715870900282376,8.528769526402433,3.2835521434678108,0.0,4.4555600491460225,7.167064332198274,3.404858590924173,5.291519585068104,7.203346531387673,7.976201216352696
1991-08-01,4.8132392076225825,8.385415057113144,4.520928544410658,0.0,3.540645176612328,6.734760867974382,3.266343440123024,4.837747514450193,8.024381557380401,8.131442671575433
1991-09-01,4.666436940457187,8.06638084168459,5.629016953124209,0.0,3.0604994937053425,5.980126952781763,3.124432223554503,5.5480982764674325,7.393607023670535,8.271060394593674
1991-10-01,4.69456341293733,8.204823362160187,5.123815866205805,0.0,3.348567632186221,6.841644857388472,3.170466533871204,5.424545182252943,7.4754807396566845,8.45429370199106
1991-11-01,4.163354362342044,8.249482013265041,4.612738599039812,0.0,2.956177295846051,7.786533919220969,3.244731387434246,5.8855322527882725,6.540268937642667,7.938632788879744
1991-12-01,4.562129882535722,8.174866419310172,4.452315473494294,2.653402844603087,2.941700598213331,7.805730079484188,3.17080342427084,6.876312435249701,5.742301808414031,7.405636054909621
1992-01-01,4.486780831813523,8.22300756940086,4.766384622442326,2.4498401957660545,3.1548741345461737,7.7036603698056405,4.476260978352696,7.8210476359227625,5.757338782364692,6.629488487395676
1992-02-01,5.1293867783304306,8.092805181697344,4.914805187501787,2.1484761144473215,4.2854971769330525,7.874930795582369,6.283336570372148,7.0788224063949485,4.807724876648143,6.362353511634153
1992-03-01,5.020567786165485,8.169950939152603,3.1845905965917347,4.318259455751846,3.968075521241852,7.913685272796194,7.32580523635995,6.8447456251156,5.1203680726957845,6.311305874102569
1992-04-01,5.883875503174656,8.07589041200309,3.1099634824344986,2.2622085510916468,3.559888309634727,8.138093403332812,7.3658517522958755,7.081621943496743,5.184157094038389,6.506440152398448
1992-05-01,5.58688894233371,8.488064439403699,3.7849572522806985,0.0,3.5169485641321687,8.212712901755777,6.954598330527834,6.868133632650543,5.190191673514758,6.614640020454295
1992-06-01,4.879418223676279,8.43554101744475,3.365652070508268,0.0,4.091329648926187,7.495302230167647,4.908107608424287,5.9696646370795134,6.1680958875754355,7.629958489949278
1992-07-01,4.31498952682777,8.392750276567261,2.9170388384003916,0.0,3.6771750040426787,6.920972218541575,3.38931838192785,5.133253027483749,6.573888062959771,8.27961922968303
1992-08-01,4.526643123339114,8.331172012277401,4.661200134105366,0.0,3.89769068405864,6.834858830947408,3.3214355810402227,5.331651579030637,7.621896773060172,8.024331433597162
1992-09-01,4.283300698893912,8.025398442994387,5.7667406002373305,0.0,3.2946739180183986,6.708556286619923,3.2886446583730606,5.051097620259373,7.656070241892018,8.091360435085681
1992-10-01,4.4931838209629875,8.256961922524903,5.279396882229934,0.0,2.9945210292545923,7.210205008638498,3.1878329230733,5.031710329297099,6.349262220146209,8.097756987842729
1992-11-01,4.4474379006273335,8.206199732250719,3.0788656542231614,2.886774965144208,2.9832463432190335,7.690089249077954,3.2398948074505394,6.853208499061308,5.875737493484803,7.873387354778116
1992-12-01,4.822537528043024,8.296349137644082,4.820226412984789,3.836880887554775,3.048652067573172,7.936020076293471,3.24348576524295,7.261378720695943,5.853273040006702,7.365076951939629
1993-01-01,5.1023744155269055,8.25660893096405,4.049489277819988,3.3239127638246235,2.74098141112462,8.340727866637582,5.676865751670441,7.7653335213204215,5.7229815908878905,7.019926009195366
