,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1973-08-01,-0.148627,0.027287578,-0.46555024,0.36609617,0.07078137,-0.17910032,0.17633009,0.077291586,0.4331376,-0.10527172,0.21552995
1973-09-01,0.23630722,0.112335965,-0.7177868,0.22647265,-0.36291033,0.03476734,-0.38548833,0.25500685,0.043355275,0.2908823,0.30293316
1973-10-01,-0.44588104,0.22273271,-0.32163277,0.44878983,0.27550715,-0.34601146,0.19059715,0.08477135,0.04307828,-0.1187077,-0.105548725
1973-11-01,-0.06551776,0.07064283,-0.15527573,0.39213705,0.2665036,-0.9051981,0.27065903,0.11967726,0.48812827,-0.39573845,-0.3971236
1973-12-01,-0.09335937,-0.013158942,-0.020500278,0.26871985,-0.5904911,-0.432722,0.33728498,-0.22896595,0.108873054,0.35058245,-0.4201172
1974-01-01,-0.21539326,-0.035080336,-0.03311584,0.21258688,-0.11688769,0.19209993,-0.17147271,-0.28597492,0.18957405,0.23265278,-0.12797308
1974-02-01,-0.7508596,-0.070301056,-0.09569921,0.17287588,0.32344067,0.2952361,-0.036483575,-0.2545429,-0.21384974,0.38897076,-0.07366876
1974-03-01,-0.60787207,0.12642956,0.20599174,0.2793798,-0.48495063,0.5078229,-0.77246904,0.13456813,0.015435314,1.0435698,0.061601065
1974-04-01,-0.055426978,0.0018241763,-0.3115134,0.14467129,-0.22675928,-0.75520945,-0.047147978,0.2695573,0.40117875,-0.37942886,-0.253701
1974-05-01,-0.45393953,-0.06833649,0.23714304,0.9962815,-0.22339173,0.44972992,-0.048691463,-0.6301831,0.22577706,0.21314815,0.07745733
1974-06-01,-0.12895527,0.09541855,-0.27573147,0.10580232,0.020065974,0.016557883,-0.08503475,-0.5371501,0.3853224,0.47695225,0.06917846
1974-07-01,-0.055707645,-0.28695717,-0.6011368,0.067494586,0.44103003,-1.1370239,0.31909075,0.73163545,-0.3005683,-0.4878973,-0.39486417
1974-08-01,0.49252787,0.15224858,-1.0705116,0.42615587,0.29958606,-0.1018733,0.11548452,0.68224245,-0.7839753,0.05205927,-0.22156735
1974-09-01,-0.3255455,-0.20655303,-0.16038732,0.3548726,-0.33312282,0.13569069,-0.12839404,-0.4775135,0.7821512,0.16642113,0.0112257
1974-10-01,0.3930401,0.33185998,-1.3414721,0.4310673,0.710868,-0.6443558,0.0070160627,0.370308,-0.2444398,0.18283871,-0.35529366
1974-11-01,0.3231601,-0.029888462,-0.9221919,0.28036204,0.54963875,-0.21384974,-0.17259529,0.11604576,-0.08152666,0.2765734,0.14565353
1974-12-01,-0.18171614,0.07633481,0.31403914,0.234056,0.48677477,0.1734372,0.04083352,-0.28513297,0.0075773476,0.269417,0.21819969
1975-01-01,-0.29206818,0.08174145,0.36213237,0.22254086,-0.41541862,-0.5999745,0.3695145,0.16495943,0.18630083,-0.23314443,-0.52038056
1975-02-01,0.048185825,0.100666806,0.09637175,0.55970776,0.039058685,0.15489283,-0.078788616,0.41273418,0.20576306,0.15355054,-0.71124494
1975-03-01,0.03006587,-0.11261263,0.36535364,-0.14214163,0.08603664,-0.40065414,-0.2973028,0.44454488,-0.38843986,-0.26884764,0.2940815
