,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5
1992-09-01,0.16340497,-0.38877264,-0.038542677,0.10626006,0.044832647
1992-10-01,-0.026631933,-0.32399952,0.09140507,-0.14533807,-0.09729352
1992-11-01,0.31650507,-0.18749413,0.03693675,0.061159752,-0.3820812
1992-12-01,0.4912855,-0.74596167,0.5116275,0.1710332,-0.042825222
1993-01-01,0.6104194,-0.21461591,0.16667852,-0.29424098,-0.37920517
1993-02-01,0.4691605,-0.24003562,0.054089285,-0.27323204,-0.4214552
1993-03-01,0.53949976,-0.49469623,0.025419641,-0.30491954,-0.040276766
1993-04-01,0.19070525,-0.56503546,0.17654458,-0.25791064,0.086008884
1993-05-01,-0.038883924,-0.6908569,-0.031339288,0.11746426,-0.40265164
1993-06-01,0.38001776,-0.6473301,-0.028437495,0.030294608,0.17654458
1993-07-01,0.50711584,-0.16203566,0.20045528,0.1751517,0.10562496
1993-08-01,0.08763389,-0.5555176,0.17573206,0.06627677,-0.07683925
1993-09-01,0.13557139,-0.68493724,0.13870533,0.12999992,-0.21542847
1993-10-01,0.0017410755,-0.67913365,0.15193744,-0.09889283,-0.2193749
1993-11-01,0.24189277,-0.4714819,0.1748035,-0.11189282,0.062214233
