,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11,zgv50_cluster12
1973-11-01,0.15693793,-0.05859201,-0.05859201,-0.023409104,0.023963165,0.021469885,0.018145517,0.06704144,0.052497327,-0.06524075,-0.053189922,-0.045156013
1973-12-01,0.05928458,0.17799227,-0.13394436,0.10042367,0.012604833,-0.19710743,0.36443394,0.006648737,-0.031443022,0.055821657,0.009557557,0.11427517
1974-01-01,0.045604445,0.0665123,0.016557908,-0.1703501,-0.0021048188,-0.05626886,-0.0858767,0.021890128,-0.07044132,-0.021609496,0.021749819,0.07282679
1974-02-01,-0.111134514,0.10636358,-0.047568895,-0.06426716,-0.13639233,0.10945065,0.37381607,0.016417598,-0.19336282,0.15014385,0.006595111,0.11366029
1974-03-01,0.016417598,-0.09303305,0.07647514,-0.022591734,-0.14312777,0.07928155,0.19041607,0.016277278,-0.06398656,0.016698241,-0.02076757,0.023293352
1974-04-01,0.01136601,-0.034799695,-0.049393117,0.11492318,-0.020346593,0.07745738,0.115624785,-0.040131915,-0.032975517,-0.0749316,0.018101454,0.0035080432
1974-05-01,-0.0019645214,-0.10397811,0.038869012,-0.008278954,-0.01978531,0.022030454,0.093173385,-0.030309414,-0.014172459,-0.029888446,-0.0072967173,-0.010103142
1974-06-01,0.022311091,0.045604445,0.020907879,0.06454782,-0.020767558,-0.018522417,-0.011927319,-0.009401524,0.02539816,0.008840239,0.003788662,0.0074370382
1974-07-01,0.04307865,-0.025257837,0.008419275,-0.0096821785,-0.029467463,0.06735425,0.00042095184,0.019224023,-0.013190198,0.02455623,0.034519054,0.027923966
1974-08-01,0.03199327,0.00449028,0.011506343,0.040272236,-0.015014386,0.020907879,0.02076757,0.034799695,-0.016417598,0.021328831,0.019224023,0.080123484
1974-09-01,-0.006033802,0.0051918984,-0.029467488,0.07282677,-0.030169088,-0.042657685,0.0822283,0.01978531,-0.020907879,0.03143196,-0.019083703,0.05079632
1974-10-01,-0.015435362,-0.034519054,-0.104118444,0.12320218,-0.112818375,-0.008559609,0.26324284,0.02455623,-0.010664416,0.08461378,0.015856314,0.050094724
1974-11-01,-0.00042095184,0.03101101,-0.033396482,0.047849584,0.2452817,-0.046867322,0.0026661158,0.0074370145,-0.036623873,-0.039289974,0.0026661158,-0.003928995
1974-12-01,-0.0068757534,-0.000561285,-0.03564162,-0.088823415,-0.04195609,0.007016075,-0.04265771,0.0070160865,-0.08784117,-0.04532379,-0.03185294,-0.039149653
1975-01-01,0.0076506613,0.018791104,0.033689857,-0.19583063,-0.14724207,-0.031139612,-0.12522957,0.0115431305,0.10227756,-0.08751307,-0.03301873,0.054360103
1975-02-01,-0.010603595,0.051944066,0.011408901,-0.15207407,-0.17717369,-0.019193793,0.031810712,0.00899291,-0.01597247,-0.08227839,-0.011408901,0.089392185
1975-03-01,-0.009395552,0.012214279,-0.021609832,0.0033555985,-0.15489273,0.07503037,0.23663425,0.01905961,-0.079996586,0.028455162,0.00026843548,0.110599324
1975-04-01,-0.012482691,-0.15650344,0.023891592,0.26925033,0.06321881,0.2178431,0.044024944,0.009127093,-0.18643503,-0.037448097,-0.00630846,-0.00456357
1975-05-01,-0.0099324705,-0.024965381,0.08670773,0.13730964,0.0555681,-0.0033555508,0.00832181,0.044024967,-0.026307583,-0.040400982,-0.013288021,0.04134054
1975-06-01,0.034092523,-0.040266752,0.027649831,0.005905771,0.008456039,0.07234593,-0.02536807,0.03771653,-0.0322134,-0.01650939,0.022415113,0.00818758
1975-07-01,-0.07368815,0.0010737895,-0.033824064,0.0161067,0.0375823,0.04563565,-0.00630846,0.07677527,-0.0042951107,0.0555681,0.03744807,-0.02979741
1975-08-01,-0.006442666,-0.008858681,0.0076506613,-0.006040001,-0.020133352,0.02322049,0.01597247,0.027381396,-0.009395599,0.03328719,0.009798241,0.03140807
1975-09-01,-0.016643595,0.044830322,-0.050064992,0.05087032,0.0046977997,-0.026173402,0.040132523,0.06778233,0.0045635463,0.01114049,0.014630246,0.015167141
1975-10-01,-0.06979573,-0.015167141,-0.013959122,-0.14522874,-0.059192132,-0.024831152,0.039327193,0.044561863,0.052883625,-0.017180491,0.007919121,0.01879115
1975-11-01,-0.02295208,0.11502864,-0.0030871152,-0.006979561,-0.15234251,-0.040937852,0.24911694,0.040803622,0.02711296,-0.099995755,-0.009664011,0.1319407
1975-12-01,0.066977024,0.08684196,-0.115162924,-0.048991203,-0.02778405,-0.043488074,0.16321453,-0.02053604,0.03597162,-0.007784939,-0.09583485,0.01731472
1976-01-01,0.007375407,0.16869558,-0.15783362,-0.26752597,-0.0459957,0.029501628,0.033926867,0.054443885,-0.00040230752,0.20275655,0.002279669,-0.030842591
1976-02-01,-0.08072714,-0.050018646,0.026819635,-0.1220294,-0.024003584,0.11304482,0.0379498,-0.06342846,-0.041838646,0.048409462,-0.016628182,0.043716032
1976-03-01,-0.014482612,-0.030038005,0.0012068808,-0.32733378,0.008716392,0.055382572,0.17191395,-0.10969236,-0.0096550705,-0.06369666,0.06999928,0.03365866
1976-04-01,0.13986447,-0.09695303,-0.015957695,0.13195267,0.010593772,0.12015202,0.1728526,0.024539977,-0.013812113,0.029903913,-0.05752814,-0.026015062
1976-05-01,0.1517992,0.011398351,-0.034060955,0.08662746,0.07898386,-0.035938334,0.026417375,0.017030478,-0.074290425,0.036877014,-0.26229614,0.016896378
1976-06-01,0.056187164,-0.0223944,0.01408031,-0.084481895,0.012337041,0.009252787,-0.06771961,0.016628176,0.027892435,0.022260308,0.028831124,-0.011666542
1976-07-01,0.06959698,-0.020382922,-0.026283259,0.0044252397,0.01193474,0.030976694,0.0032183647,-0.015287196,-0.016225886,0.06812191,0.020517033,0.026953751
1976-08-01,0.029501606,-0.0013409853,-0.030306201,-0.015287196,0.030976694,0.014616704,-0.022260308,-0.018371457,0.008716392,0.031915385,-0.0049616336,-0.0024137616
1976-09-01,0.019712437,0.014750814,-0.031244889,0.1373166,-0.02869702,-0.021992106,0.020114738,0.049214054,-0.011130154,0.05591896,-0.007777703,-0.017030478
1976-10-01,0.0012068867,-0.0049616336,-0.08635926,-0.0134098055,0.033524536,-0.0701334,0.1669523,0.0112642525,-0.01756687,-0.04438653,-0.0026819587,0.05055504
1976-11-01,-0.014482605,0.15877232,-0.08247042,-0.18894443,-0.06839011,0.029769849,0.26363713,-0.019578343,-0.092259586,0.083006814,0.0013409853,0.04197275
1976-12-01,0.004291141,0.0608806,-0.14254646,-0.038486194,0.110362865,0.019310141,0.07871566,-0.0021455765,-0.25961417,0.20020866,0.057930432,-0.08542057
1977-01-01,-0.039665233,0.08349116,-0.2323051,0.1642085,0.01927786,0.082936384,0.18626018,0.0031898736,-0.27682453,0.18126735,-0.0062410356,0.07516979
1977-02-01,-0.044935443,0.18945006,-0.107900575,-0.21094695,-0.011372554,0.047986604,0.063797235,-0.0024964213,-0.18667628,0.13244863,0.031205168,0.023577238
1977-03-01,-0.029124808,-0.057278823,0.18764707,-0.19208515,-0.06393592,0.027876616,0.0378623,0.030927777,0.009846973,-0.18639886,-0.052008618,0.039249163
1977-04-01,-0.018861782,0.041468203,-0.03855572,-0.021219516,-0.0038833083,0.028708791,0.06629364,0.027321864,-0.09736012,0.062826395,-0.011372542,-0.027321856
1977-05-01,0.010263031,-0.07711144,0.03564323,0.11747012,-0.07128647,0.03661406,0.04826399,-0.00859875,-0.053811587,0.026073646,-0.016087998,0.015394544
1977-06-01,0.0048541366,-0.01747489,-0.02011,0.11927308,0.008460069,0.03522717,0.021912957,-0.008737445,-0.0173362,0.03605931,-0.023993308,0.00013871193
1977-07-01,-0.053811572,-0.02718317,-0.0033285618,0.028708756,-0.028431375,0.050621726,0.04673841,0.014007652,-0.035504542,0.04715448,0.02746055,0.06615497
1977-08-01,-0.013730263,0.005686277,-0.05408895,0.028847445,-0.0059636533,0.038416993,0.045351505,0.03162124,-0.03536586,0.05159255,-0.013452893,0.005547583
1977-09-01,-0.005824971,-0.00083214045,-0.012482071,-0.063797235,-0.050483037,0.07586323,0.0024964153,0.011511242,-0.029402208,0.015533239,0.00416069,0.015255863
1977-10-01,-0.022329038,0.034533717,-0.07419896,-0.0008321285,0.15727405,-0.06837398,-0.042577695,0.035643242,-0.001802969,-0.0269058,0.010956478,-0.0022190332
1977-11-01,-0.0004160881,0.018307019,-0.083213784,-0.18071258,-0.14645624,-0.13425158,0.12731707,0.03328551,0.30844575,-0.06629367,-0.030927777,0.030650413
1977-12-01,-0.05492109,0.042300344,-0.24395509,-0.14812054,0.09846964,-0.11053562,-0.2678097,0.05256338,0.12676235,0.0644907,-0.007073164,-0.11580585
