,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1974-09-01,0.19394226,0.1922985,0.17323303,-0.070344925,0.3316738,-0.54763985,-0.09006806,0.22615585,0.15844116,-0.25179595,-0.2458786,0.12556991
1974-10-01,-0.18966866,0.29452896,-0.67090875,0.0,-0.13641682,-0.11932373,0.097299576,0.23864746,0.14167634,-0.26034316,0.14989433,-0.12162475
1974-11-01,-0.21169281,0.013477325,-0.68800163,0.4404789,0.10551758,0.22023925,0.016436005,0.1676445,0.07461853,-0.39018518,0.019394303,-0.21432266
1974-12-01,-0.06968765,-0.0059165955,-0.7300774,0.7958199,0.6649914,-0.5916878,0.6889874,-0.34646645,0.4953743,-0.30570525,-0.31260872,-0.03714447
1975-01-01,-0.02090149,0.02026825,-1.1321697,0.5602261,0.4490673,-0.4763031,0.09089031,-0.4202488,0.6349651,0.19064789,-0.39713058,-0.16942939
1975-02-01,-0.15359497,0.31954116,-1.4409431,0.6685341,0.26538697,-0.18336372,0.5713102,0.09754105,0.5320408,0.119709015,-0.33600885,-0.30117264
1975-03-01,-0.30782357,0.20331573,-1.1514877,0.16119576,0.2311844,0.24353524,-0.40156403,-0.16626243,0.82814634,0.17259674,-0.016151046,-0.18241425
1975-04-01,-0.2584198,0.036102675,-0.20901604,-0.017101288,-0.2907219,0.6412989,-0.08772354,0.08550682,0.4626854,-0.4554016,0.48707047,0.04116974
1975-05-01,-0.09595718,0.14377785,0.04972,0.054787446,0.6533333,-0.5067053,-0.2543026,-0.02280121,0.050987244,0.052253723,-0.14219436,-0.031985473
1975-06-01,-0.027235413,0.08518982,-0.030718993,-0.1871643,0.35025978,0.3065567,-0.016468048,-0.09374084,0.5098721,-0.12889329,-0.2704544,0.24226837
1975-07-01,0.07315521,0.17639694,-0.42626572,-0.4398838,-0.37306175,0.24480209,-0.0009502411,0.2156662,0.36102754,-0.2451187,0.037686158,0.006967163
1975-08-01,0.24765244,0.35247725,-0.3645111,-0.091839984,-0.36071092,1.1068344,0.11084213,0.19128112,0.0731556,0.0459198,-0.355011,0.3679947
1975-09-01,-0.13427734,0.47091904,0.16499558,-0.16404572,0.25145262,0.28185502,-0.091207124,0.1330101,0.025335312,-0.12699279,-0.09754105,0.0427536
1975-10-01,-0.42214888,0.26823694,-0.32144126,0.20679931,0.4180317,0.2742544,-0.012350845,0.063021086,0.31764108,-0.24955292,-0.37844545,0.06428833
1975-11-01,-0.13997726,0.07442208,-1.2430118,0.24131851,0.18083039,-0.42341575,0.3898464,0.078222655,0.18146363,-0.432283,-0.2216835,-0.076955795
1975-12-01,-0.12604293,0.34170952,-0.87881696,0.30370635,0.6454159,-1.0324119,0.2752041,-0.16562882,0.51810646,-0.23023453,-0.19888191,-0.08772278
1976-01-01,-0.04810486,0.006728363,-1.1837829,0.6886055,-0.21024856,-1.2261689,0.4100685,-0.37340125,0.7171997,-0.077035144,-0.23312339,-0.14431381
1976-02-01,-0.28526497,0.13758698,-1.8700339,0.35691795,0.29199332,-0.23615113,0.23917846,-0.4258793,0.74983025,0.041713335,-0.1507061,-0.24523392
1976-03-01,-0.123457715,0.24691543,-0.69230616,0.18333665,0.13489532,0.2882927,-0.24254265,-0.13792267,0.60787046,0.06795235,0.075689696,-0.22336808
1976-04-01,-0.23346023,-0.2586891,-0.4184784,0.17425422,0.18165436,0.32058716,-0.0097553255,-0.13725014,0.5197338,-0.27719155,0.35220832,0.030612182
1976-05-01,-0.13926849,0.1301857,-0.110674284,-0.13455887,0.517379,-0.10562877,-0.33067855,-0.0074005127,0.45245475,0.095537186,0.29098397,0.28694686
1976-06-01,0.07737122,0.14465103,-0.028930664,0.015810777,-0.21058503,0.528817,-0.46624678,0.10327377,0.123794176,-0.1268219,-0.1836731,0.19376525
1976-07-01,0.08443604,0.29569322,-0.15642472,0.11841202,-0.79759824,0.462883,0.13792267,-0.047768403,-0.02758484,-0.0050460817,-0.34514388,0.11740265
1976-08-01,-0.025902558,-0.17492676,0.024893189,0.071652606,-1.1094389,0.71619034,-0.35288087,-0.10327454,0.005718994,0.04675903,-0.18400955,0.034648895
1976-09-01,-0.13624115,0.17862701,-0.12581253,-0.0010093689,0.10932922,0.28728333,-0.040703963,-0.16685334,-0.07501678,-0.1614708,-0.22269516,0.07501678
1976-10-01,-0.07636223,0.16550751,-0.07804489,0.19914742,0.61796224,-0.80970895,0.15642472,0.08645401,0.0494503,-0.42352447,-0.20251122,-0.10932922
1976-11-01,-0.4884491,0.04675903,0.074343875,0.26339912,-0.15978889,-0.7478115,0.08746338,0.10327377,0.020856475,-0.19443741,-0.112356946,0.0891449
1976-12-01,-0.21933098,0.0989006,-0.18300018,0.40064964,-0.24254265,-0.8763153,0.2223589,-0.13994141,0.6048428,-0.09721909,0.10865669,0.018165588
