,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8,mgu250_cluster9,mgu250_cluster10,mgu250_cluster11,mgu250_cluster12
1974-05-01,0.62521666,-1.4647563,-1.1524765,-1.5469353,-2.2510438,3.1569839,0.07922058,3.1254272,1.0492599,-4.0629234,0.9743126,-0.21235009
1974-06-01,-0.25606957,-2.5215764,-0.7093689,-0.49077302,-2.7243938,3.7072532,0.8494007,2.353274,1.426954,-3.942614,1.4989426,-0.23010102
1974-07-01,0.11307831,-2.5501747,-3.4810967,-3.5659058,-2.3983083,3.1559975,-0.21136399,2.8917098,4.146088,-4.305187,1.7878834,-0.31162184
1974-08-01,0.018079376,-2.003521,-2.721435,-2.721765,-2.0285034,0.4454094,-0.8602482,1.5212952,2.370039,-4.1950674,1.2096726,-0.7455269
1974-09-01,0.117680356,-1.4161062,-2.1721523,-1.9016193,-1.6481793,2.832213,-2.2569606,1.4769195,1.9285736,-3.684243,1.5400318,-0.6571026
1974-10-01,-2.1636055,-0.88555944,-0.78267175,-3.1839378,-1.6524532,0.71364135,-0.30932122,1.4013145,1.31782,-3.8620784,-0.2156372,-0.0966423
1974-11-01,-2.3992946,0.06672935,0.59267426,0.53153265,-1.8095787,-1.7214829,-1.5692877,0.19591446,-0.33529013,-2.5343964,-2.8473332,-0.08612327
1974-12-01,-1.800375,-1.7559979,0.14101887,1.1810749,-1.0068554,-1.2642399,-0.9697105,-1.2911946,-2.365108,-2.6349835,-2.7976978,-0.6091099
1975-01-01,-3.1339722,-0.91777,0.20489883,-1.5834544,0.045286942,-0.24480209,-1.0552142,-0.32112426,-0.95767325,-1.9219967,-2.3650475,-0.8230797
1975-02-01,-0.69893646,-1.0938499,-1.1505378,-1.1818901,-0.10292435,-0.62609786,-0.78571,-1.5812374,-0.42056543,-1.1761898,-2.059124,-0.36261138
1975-03-01,-0.08835678,-1.4181416,-1.4865468,-2.4074838,-0.43545,0.3299919,-0.80091095,-0.0465538,0.8696331,-2.0030696,0.25746956,-0.3679947
1975-04-01,-0.19223137,-1.1936079,0.08993988,-1.3320014,-1.4726124,-0.062071227,0.33252564,1.225277,0.27710456,-2.8106313,-0.6726513,-0.6900692
1975-05-01,-0.55040896,-1.7845529,-0.31890756,0.42404938,-2.1025102,-0.46426886,-0.5960121,-0.27678794,0.08202324,-2.0603905,-0.9820579,-0.1871643
1975-06-01,-0.71793824,-2.3821485,-4.3177633,-2.1538148,-1.8548588,3.0883698,1.0808659,2.4923568,2.0442395,-4.0153227,1.9539826,-0.17449646
1975-07-01,-0.54439163,-2.7200572,-1.565086,-2.8169656,-2.2396374,0.92125356,1.0045433,2.339396,1.9948353,-3.7765381,-0.25588608,-0.34930953
1975-08-01,-0.37179488,-2.479056,-2.9905117,-4.110964,-1.7848698,2.2846084,-2.26434,2.7539437,2.8803031,-3.8237252,2.6864884,-0.6200806
1975-09-01,-1.5201164,-2.735892,-2.6703377,-2.7818122,-2.146214,1.0634483,0.28597182,2.5743797,1.9834347,-3.4709313,1.1036675,-0.67581785
1975-10-01,0.58714485,-0.4915041,-2.7013729,-0.98965836,-2.1189785,1.8760769,-1.0308285,3.1998444,1.3009659,-3.5159016,1.1989914,-0.5744774
1975-11-01,-2.4774728,-1.0498301,0.31130695,-1.9872348,-1.2654965,-0.5709938,-1.2173595,0.8978184,-0.06682167,-3.2311966,-1.7551006,0.22421722
1975-12-01,-2.033472,-1.1017673,1.1920242,-1.6600933,-0.47693634,-0.7882435,-0.87881696,0.076955795,-1.8127384,-2.4717722,-2.8958206,-0.43228263
1976-01-01,-2.2568905,-0.6112343,-0.759922,-2.8805718,0.42655182,-0.91802883,-0.7817879,-1.765414,0.78279686,-1.8256295,-1.2530804,-0.7155182
1976-02-01,-1.9228481,-0.73839223,-0.76395875,-2.764178,0.26709977,0.72089976,-1.1524979,-0.8187912,-0.65025634,-2.2908669,-1.5911604,-0.26138076
1976-03-01,-2.1310782,0.09183655,0.38315678,-2.675033,-0.41545066,0.8436848,-1.2096856,0.023884201,-0.13926849,-2.0459697,-0.8961628,-0.29703903
1976-04-01,-1.1117939,-0.4315979,-0.68288726,-0.92273825,-1.3745201,0.18602791,-0.94527704,0.9372036,0.2815647,-2.1041665,1.4246433,0.020183945
1976-05-01,-1.1817642,-1.5343088,0.08376312,-1.251062,-1.5302722,0.3326973,1.2914299,1.4468457,-0.16752586,-2.9774544,-1.552811,-0.039022066
1976-06-01,-0.36364594,-2.3783302,-0.43428916,-1.1464424,-2.3776577,0.35994568,-0.574567,2.6720054,1.3045495,-2.5522475,-0.37441063,-0.36095428
1976-07-01,-0.30040282,-2.2525177,-2.6905072,-0.30275726,-2.1277142,0.28930205,-0.5456368,2.3739572,0.364991,-2.664605,0.15036926,-0.6966797
1976-08-01,-1.079499,-2.610445,-2.8499599,-2.6538398,-2.0271313,1.3899949,0.34043425,2.0674987,1.4922596,-2.9996567,1.3583733,-0.47566605
1976-09-01,-0.9577236,0.25229797,-1.0202942,-0.84032136,-2.5657039,1.0774815,-0.3623001,2.1418433,1.7307651,-3.5570672,-0.16113433,-0.635791
1976-10-01,-2.0897012,-0.5671663,1.23727,1.0815178,-2.7450035,1.2053121,-0.17492676,2.9582798,0.69937056,-3.023877,-1.161917,-0.32731438
1976-11-01,-1.0287037,-1.3408802,1.2779744,0.033639528,-2.2632823,-0.013455963,-1.6217724,1.7590225,1.0552791,-3.068282,-1.1824372,-0.17761803
1976-12-01,-2.0685081,-1.6547394,-1.0949739,-0.044740677,-1.0529244,-2.6888251,-0.39022064,-2.6400476,-1.6295097,-1.4552555,-2.7685516,-0.7182091
1977-01-01,-3.02527,-0.7699402,0.26608238,-1.8105621,-0.2260994,-2.2627606,-0.99533117,-1.3622563,0.23352966,-2.4340153,-2.3367114,-0.8187691
1977-02-01,-2.6158853,-1.4376224,-1.8303769,-2.1693482,0.16240922,-1.2048004,-1.2292153,-0.4157532,-1.5076813,-1.9160042,-2.69479,-0.8509674
1977-03-01,-0.46564406,-0.18859291,0.43026048,-3.126466,-0.6464523,0.045998383,-0.9886087,-1.453545,1.29892,-2.0621371,-1.3887933,0.013445282
1977-04-01,-1.6697369,-1.1658789,0.9928547,0.86193657,-2.1735945,-0.31420365,0.0958889,1.5972011,-0.7518948,-0.967025,-1.7447491,-0.49501228
1977-05-01,-0.77878606,-2.760603,0.09270439,-0.9404869,-2.3360038,1.7121967,1.8894669,2.0607219,1.0848515,-2.66436,0.018045425,-0.20133133
1977-06-01,-0.84742963,-3.0150084,0.12808685,-2.4931061,-1.946434,0.3824932,0.5852394,2.194117,1.8576218,-3.3621185,0.103673175,0.101903535
1977-07-01,-1.0257614,-2.290713,-1.8738979,-2.6335769,-2.4948745,0.637606,-0.5311028,1.3976387,1.9874786,-3.4983444,0.58948517,-0.43769073
1977-08-01,-0.023706818,-2.826062,-3.8532383,-2.8731213,-1.7688099,-0.27846605,0.036444474,0.45538253,1.048053,-3.505067,1.1319107,-0.43839875
1977-09-01,-1.6757519,-0.5643635,-1.2837051,-1.9655403,-1.9163582,1.1170498,0.3042961,2.865691,1.3445644,-3.5995407,0.6892662,-0.55516356
1977-10-01,-0.62486875,-1.5929546,0.9380104,0.004599762,-2.01437,0.972332,-0.53817976,0.9521637,0.9362415,-2.6509147,-0.2717434,-0.1588707
1977-11-01,-1.7454567,-0.9089962,0.016983796,-0.5127037,-1.9598796,-0.08527374,0.1878849,0.6747589,0.45679778,-2.4435687,-0.9921467,-0.37577057
