,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1971-09-01,9.339527827655224e-06,1.4630557521688416e-05,8.34982281296768e-06,8.540315371954446e-07,-1.7017289841252273e-06,2.7850143030774212e-05,8.074680662617733e-06,4.837074260594267e-05,3.8701048243656634e-06,-1.1384781828382984e-05
1971-10-01,6.910660330403414e-06,6.822992345669132e-06,7.125890988390893e-06,-8.566074247425258e-07,-3.491996781518757e-06,2.7776358609383064e-05,9.945272908119928e-06,5.538361923148234e-05,1.0515478439926056e-05,-2.8870480420272203e-06
1971-11-01,1.2119453963855953e-05,4.159955610900753e-06,5.804926709592487e-06,-5.447374322512318e-06,-2.3919996781219592e-06,1.646927313874873e-05,2.495301639533616e-06,4.826482230176528e-05,8.947644142163158e-06,6.683080309634462e-06
1971-12-01,1.918686360079812e-05,1.1132625081370572e-05,4.805322934369943e-06,1.6091020447226622e-06,-2.2823311741645103e-06,3.164203052420351e-05,-3.2353527874044975e-06,2.411194200800365e-05,9.253967526055188e-06,1.2586712959911857e-05
1972-01-01,2.374986757382026e-05,6.513968453847169e-06,2.1807490416644474e-06,6.659520679509307e-06,-1.905583370740263e-06,2.1447389061483215e-05,-5.623618545162139e-06,1.2305942866739562e-05,3.508969025368023e-05,2.0489653038299258e-05
1972-02-01,1.9277600855545e-05,-1.7412325494502592e-07,-2.1037563287377865e-06,1.0499948523791087e-05,-2.9912380402596768e-06,1.92111257070437e-05,-3.7464205976982502e-06,3.76879411719115e-06,2.993277919405064e-05,1.679170821387065e-05
1972-03-01,1.283209695867737e-05,2.120288027599336e-06,2.382316838461579e-06,1.529422943221248e-05,-4.829142186806331e-07,2.1991098303881633e-05,-4.078093558207699e-06,-2.5746113820015594e-05,2.2484685786719415e-05,7.893813923218141e-06
1972-04-01,1.765784805616864e-05,6.607541618522838e-06,3.617065744179712e-06,7.175907432585365e-06,-1.8763951812164446e-06,2.375012095066401e-05,4.142775187839345e-06,1.134585890020279e-05,1.725046025299258e-05,1.273045948918854e-05
1972-05-01,1.3370938884488875e-05,4.653860003969201e-06,4.729340853137055e-06,7.763069526179247e-06,2.502618115723458e-07,1.0005955695438699e-05,9.104504328012269e-06,-4.161969365778725e-06,1.3323921050367952e-05,1.0418293016960424e-05
1972-06-01,5.558112442721957e-06,-3.0107359002020373e-06,1.0454595088628014e-06,7.626804802730732e-07,7.561859410082697e-07,8.106840917806527e-06,1.3547411884432115e-05,1.9113100058871858e-05,9.06967605780145e-07,3.101875148893348e-06
1972-07-01,1.9515016026195587e-05,8.213792961728558e-06,4.597417465482941e-06,8.128106113052665e-07,3.6524940983723573e-07,7.623447672591372e-08,4.106078535649881e-06,3.350217715099764e-05,1.603848617452634e-05,6.511561200479228e-06
1972-08-01,1.826158411320109e-05,4.716939393024338e-06,-1.0606221586421235e-07,-2.7450999970798723e-06,2.136087478115067e-06,7.610585670612991e-06,1.1930862314930159e-05,5.385539252804874e-05,3.1658250732942512e-06,-9.793282907933234e-06
