,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12,sstGLB_cluster13,sstGLB_cluster14,sstGLB_cluster15,sstGLB_cluster16,sstGLB_cluster17,sstGLB_cluster18
1990-01-01,298.65994,288.91666,296.7097,290.6815,298.3902,300.75464,293.26535,292.68842,287.21838,297.75754,296.01343,301.39716,295.07504,283.063,299.71072,288.8338,299.5564,288.7988
1990-02-01,297.5243,288.59958,297.29895,291.99313,299.86902,301.32614,292.2244,294.61893,285.39737,298.3049,295.07703,301.85278,295.76736,281.46582,299.7482,289.62427,300.31134,288.284
1990-03-01,297.45428,288.7697,296.66235,291.93546,299.9627,301.96375,291.8738,294.44043,285.30762,298.43262,294.5637,301.64273,295.2861,282.03537,300.21667,289.64645,300.8222,288.57147
1990-04-01,297.90448,288.6553,296.40347,290.8225,300.03815,302.20486,292.252,293.11987,285.91708,297.92865,294.70325,302.3163,294.9434,282.6261,300.5056,289.29684,300.88187,289.8018
1990-05-01,298.9765,290.1884,295.008,289.4551,298.7551,301.79904,293.02817,291.66522,287.0966,296.55783,295.70032,302.40506,293.6983,285.84164,301.20337,288.2919,299.82712,291.99905
1990-06-01,299.66537,292.27963,293.62137,288.22778,297.93655,300.57565,295.80484,290.5079,288.19672,295.54697,297.68652,302.27487,292.49365,291.3097,301.54214,286.65182,299.14465,294.472
1990-07-01,300.13925,294.91577,292.28506,287.15677,297.07016,299.29654,298.50064,289.39053,290.9655,294.53116,299.07907,302.14423,290.98523,296.23877,301.41293,285.34656,298.67966,297.62982
1990-08-01,301.24332,296.44836,291.94284,286.67892,296.2462,298.5549,299.26495,288.73962,293.10263,294.05087,300.19547,302.0589,290.3713,300.59686,301.40555,284.8145,298.22205,298.16336
1990-09-01,301.6718,296.16678,291.62973,286.7332,295.59033,299.0702,299.5327,288.74603,292.6179,294.06223,300.49377,302.2818,290.5153,297.3394,301.31827,284.79282,298.0184,297.41287
1990-10-01,300.76056,293.91626,292.3975,287.07837,295.92368,300.0791,297.51248,288.85355,291.75693,294.47345,299.3281,302.41592,290.89548,292.8319,300.78323,285.41806,298.6816,295.78906
1990-11-01,300.33994,292.1105,293.1056,288.40137,297.331,300.584,295.8709,290.08087,289.43243,294.55383,297.9607,302.58997,291.66226,289.23914,300.79013,286.18634,299.584,293.69437
1990-12-01,299.3266,290.31412,295.2575,289.75443,298.227,301.3513,294.43106,291.83435,287.65182,296.04547,296.94687,301.83554,293.29642,284.72525,300.6989,287.2026,299.84537,291.32645
1991-01-01,298.07812,288.85043,296.40546,290.62125,298.56134,301.5988,293.24603,293.28986,286.44724,297.26086,295.9256,301.72937,294.84766,282.51962,300.39648,288.88666,299.92184,289.41132
1991-02-01,297.817,288.50446,297.14505,290.7947,299.19894,301.95477,292.83572,294.1033,286.0222,297.84558,295.90414,301.81418,295.05164,281.00278,300.10724,288.98718,300.44604,288.54974
