,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8,ssta20GLB_cluster9,ssta20GLB_cluster10,ssta20GLB_cluster11,ssta20GLB_cluster12,ssta20GLB_cluster13,ssta20GLB_cluster14,ssta20GLB_cluster15,ssta20GLB_cluster16,ssta20GLB_cluster17,ssta20GLB_cluster18
1987-07-01,0.5909424,-5.1188965,-6.865906,-13.255341,-2.8268738,0.20150757,-2.2409363,-11.501648,-11.473511,-5.796417,-0.006225586,1.8656616,-8.557159,-3.9204407,1.4752197,-15.003387,-0.82962036,-2.8268738
1987-08-01,1.4312439,-3.964386,-7.682068,-13.463562,-3.5314636,-0.09933472,-1.1887817,-11.531799,-9.67218,-5.989807,1.1364746,1.8355103,-9.370758,-2.0090942,2.0355835,-15.026886,-1.2614441,-1.3090515
1987-09-01,1.7958679,-4.0956116,-7.6163025,-13.355286,-3.7184753,-0.21777344,-1.3983154,-12.01355,-8.484192,-6.154297,1.4484253,1.7938232,-9.883759,-3.3218994,1.4668274,-15.246124,-1.4402771,-2.242157
1987-10-01,1.0767517,-6.532593,-7.2162476,-13.711578,-3.1654358,0.018005371,-3.1393433,-11.527039,-9.472473,-5.9262085,-0.7848816,2.6917725,-9.600891,-7.0944824,1.3899536,-15.753387,-0.99368286,-4.463684
1987-11-01,0.023101807,-8.519104,-6.4885864,-12.471161,-2.5493164,0.7927551,-5.344879,-10.609528,-11.708191,-4.8331604,-2.4613037,2.0152588,-8.477142,-11.218994,1.0327454,-14.849152,-0.552063,-7.425049
1987-12-01,-1.1737671,-9.649475,-4.886841,-11.519318,-1.524292,1.2901917,-6.477295,-9.338867,-13.962799,-4.0235596,-3.390564,1.9590149,-6.814514,-15.87973,0.6034546,-13.121033,-0.2546997,-9.240112
1988-01-01,-2.1479797,-10.811249,-4.1531982,-10.082825,-0.51052856,1.1749573,-7.77005,-7.7351685,-15.286041,-2.5531921,-4.509308,2.2433167,-5.444153,-17.332733,0.32058716,-12.176544,0.049957275,-10.968567
1988-02-01,-2.796051,-12.11438,-2.367096,-9.381775,0.038757324,1.6124878,-8.096893,-6.877289,-15.75705,-1.9795837,-5.3010254,1.461731,-4.3596497,-19.345581,-0.0047302246,-11.919128,0.56433105,-12.011688
1988-03-01,-3.2231445,-12.20459,-3.1760864,-10.610138,-0.05142212,1.536438,-8.775909,-7.916443,-16.200836,-1.9691162,-6.0690613,1.2131958,-5.4094543,-19.982086,-0.24569702,-11.9653015,0.56417847,-12.29361
1988-04-01,-3.339386,-10.961609,-5.1968994,-11.564087,-0.5718689,1.6888123,-8.395905,-9.138519,-16.115753,-2.787506,-5.9187317,1.6488342,-6.7690735,-18.26715,0.012908936,-12.299591,0.29263306,-11.507416
1988-05-01,-1.7270508,-10.073639,-5.6423645,-12.509338,-1.5434265,1.5023193,-6.779022,-9.825775,-15.332489,-3.9002075,-4.4546204,1.3824463,-7.437134,-13.596405,0.5442505,-12.997467,-0.26916504,-8.908661
1988-06-01,-0.30441284,-8.121887,-6.74292,-12.5789795,-2.0673218,1.1575012,-4.290558,-10.341583,-13.744965,-4.2495728,-2.5731812,2.1469421,-8.308563,-7.2917786,1.4964294,-13.274017,-0.5897217,-5.372589
1988-07-01,0.5592041,-6.2718506,-7.325531,-12.447327,-2.811798,0.42059326,-2.1289062,-10.457275,-10.1927185,-5.254059,-0.8420105,2.452118,-8.760132,-2.7617188,1.6463013,-13.561707,-0.96694946,-1.5891418
1988-08-01,1.0482788,-3.9945679,-7.509247,-12.32196,-3.4204407,-0.03878784,-0.15310669,-10.743683,-7.9978943,-5.528839,0.68304443,2.3432617,-8.860901,-0.31500244,1.1418762,-14.081818,-1.6423645,-0.45361328
1988-09-01,1.6090698,-3.96344,-7.945526,-12.529572,-3.843048,-0.13815308,-0.5074463,-10.851135,-6.979828,-5.870514,0.40612793,2.6890564,-9.357849,-2.3148499,1.189209,-14.436127,-1.5677185,-1.8459167
