,zgu200GLB_cluster1,zgu200GLB_cluster2,zgu200GLB_cluster3,zgu200GLB_cluster4,zgu200GLB_cluster5,zgu200GLB_cluster6,zgu200GLB_cluster7,zgu200GLB_cluster8,zgu200GLB_cluster9,zgu200GLB_cluster10,zgu200GLB_cluster11,zgu200GLB_cluster12,zgu200GLB_cluster13,zgu200GLB_cluster14,zgu200GLB_cluster15,zgu200GLB_cluster16,zgu200GLB_cluster17,zgu200GLB_cluster18
1986-05-01,-0.35101622,0.10790253,0.2857422,0.008658981,-0.04396057,-0.034968186,0.38698405,-0.0059944154,0.0079925535,1.3521134,-0.28207892,-0.25576934,0.15685844,0.19815484,-0.6783878,0.31671447,-0.29240304,0.21613808
1986-06-01,-0.14586791,0.07360077,0.12954941,-0.23945084,-0.31438294,0.07160225,-0.30239373,0.15985565,0.1795044,-0.76997185,-0.35734445,-0.15452728,-0.01065712,0.13487855,-0.215139,0.2577675,-0.2980644,-0.07160225
1986-07-01,-0.011656189,0.215139,-0.14054032,-0.22612914,-0.20914459,-0.14486961,-0.1501976,0.19182701,0.056282043,-0.58347356,0.1428711,-0.12455444,0.31937847,-0.1605217,-0.15086403,0.4316101,-0.4522583,0.5874699
1986-08-01,0.15119705,0.16185455,-0.079927824,-0.3623398,-0.16118774,0.05328522,-0.16285248,0.117227554,-0.12255631,-0.6011244,-0.22479706,0.119558714,0.34502202,0.08359108,-0.044293214,0.13887481,-0.4276146,-1.0157503
1986-09-01,0.07060318,0.32170945,-0.27741623,0.30638963,-0.72234803,0.012655258,-0.19915351,0.49022406,0.12755203,-0.42395097,0.8475685,0.09025192,0.2977314,0.09591369,-0.079594806,0.37532806,-0.16152115,0.45758706
1986-10-01,-0.24111596,0.10324021,-0.29107094,0.22846031,-0.598127,-0.040296935,-0.1548603,-0.0093250275,0.012988281,0.5967949,-0.56582296,0.120557785,0.16118774,0.21380691,0.025310516,0.16185379,-0.13654327,0.9108448
1986-11-01,-0.39198,-0.14786606,-0.32903653,0.030639267,-0.6194412,0.1781723,0.002331543,-0.112565234,0.14420395,0.25143966,-0.954805,-0.16684952,0.34135896,0.7246796,0.051953126,0.21214142,0.033636093,0.3903145
1986-12-01,-0.8135994,-0.52119637,-1.0453899,-0.19782181,0.13687667,-0.02364502,0.51953125,-0.27175522,-0.045292664,0.55050355,-0.5148689,-0.5361832,0.28241196,0.8802055,-0.16918068,-0.33802873,-0.22080079,0.0059947968
1987-01-01,-1.1570259,-0.10269852,-0.3367714,-0.09302902,-0.05801773,-0.005334854,0.53216517,0.495154,-0.076690294,0.23640671,-0.37511674,-0.42213136,0.26674956,0.76623803,-0.8069172,0.04001236,-0.09603004,-0.11703606
1987-02-01,-0.91261655,-0.51115876,-0.099364474,0.25107804,-0.13104077,0.3737831,0.7559017,0.3010935,-0.063352965,0.34610748,-0.062352754,-0.4481392,0.68087804,0.83759344,-0.71955717,0.119371034,0.13270798,-0.3607788
1987-03-01,-0.4941532,-0.62152636,-0.22006798,-0.1113678,-0.06368675,-0.3717823,0.35410994,-0.16838531,0.005334854,-0.14837952,-0.43380126,-0.20339641,0.3257679,0.562508,-0.35310975,-0.090028,-0.21640053,0.6148575
1987-04-01,-0.59218407,-0.30009308,-0.18672486,0.006002045,-0.060351945,0.3697815,0.6271946,-0.40045777,0.19272652,1.0229843,-0.4501396,-0.14904633,0.6418659,0.42413178,-0.602187,0.3614456,-0.3484417,-0.26808318
1987-05-01,-0.36177903,-0.12203789,-1.1323516,-0.08769417,0.3451069,0.13670883,0.27808648,0.24040833,0.21773453,0.08402596,0.17672157,0.21139908,-0.07435646,0.34444007,-0.23207207,0.041012954,-0.35410994,-0.18138961
1987-06-01,-0.25474548,-0.007002258,0.12670593,-0.111701205,-0.46781158,0.075690076,-0.21473351,0.22140197,0.28842315,0.10769997,-0.1240385,-0.13604203,-0.13637581,-0.15204735,-0.014671326,0.134375,-0.23640671,0.094696045
1987-07-01,0.3044277,0.43213424,-0.3271019,-0.37911758,-0.24174118,0.20506363,-0.11503563,-0.08769379,-0.02734146,-0.30642873,0.82325554,-0.2590805,0.20773125,0.2827545,0.120370485,0.04768143,-0.33043593,-0.13337478
1987-08-01,-0.06568756,0.5931839,-0.092695616,-0.32910234,-0.29942626,0.22173576,-0.2897564,-0.03367729,0.2690834,-0.70555246,-0.32143325,0.09736328,0.15504837,-0.12103768,-0.19739456,-0.008002472,-0.2650818,-0.625861
1987-09-01,-0.15037994,0.33343658,-0.35611075,-0.04934845,-0.4027916,0.05768471,-0.05801811,-0.111701205,0.25441208,0.2587471,0.25207824,-0.02500763,0.3454407,0.34410667,-0.24207535,0.0,-0.36177903,0.30509454
