,r900GLB_cluster1,r900GLB_cluster2,r900GLB_cluster3,r900GLB_cluster4,r900GLB_cluster5,r900GLB_cluster6,r900GLB_cluster7,r900GLB_cluster8,r900GLB_cluster9,r900GLB_cluster10,r900GLB_cluster11,r900GLB_cluster12,r900GLB_cluster13,r900GLB_cluster14,r900GLB_cluster15,r900GLB_cluster16,r900GLB_cluster17,r900GLB_cluster18
1989-01-01,85.62337,63.90888,79.183235,75.99165,18.15905,67.0614,39.88493,58.67963,21.529663,47.981884,30.59988,45.28995,40.89888,83.83146,83.42132,23.611273,74.70265,61.591278
1989-02-01,84.12767,47.159985,78.65755,78.73404,20.76147,55.13162,22.358074,50.30925,17.480373,46.25833,21.515015,32.829594,42.448288,67.559425,86.163704,24.200438,80.13534,69.35133
1989-03-01,82.548965,37.93678,77.765656,74.56919,16.503853,71.06187,34.608482,45.28995,18.647308,48.78914,15.865864,33.95259,58.674747,84.545944,75.63359,65.80983,66.79286,67.46666
1989-04-01,85.216484,16.502228,79.60151,79.69753,17.4999,73.949104,18.73357,55.522224,48.278095,40.57663,11.881672,28.256239,68.2853,77.87796,63.443405,53.447124,65.15556,56.28879
1989-05-01,89.811,22.302738,81.456894,78.48828,13.23415,80.84657,26.879349,53.52199,67.28112,70.511765,31.714737,18.046753,76.0356,74.12813,57.44759,58.01397,50.351566,70.11953
1989-06-01,87.79123,21.252983,78.35483,77.65498,18.704273,83.094185,72.53641,47.093254,71.67382,79.97096,38.06047,16.188114,74.17207,71.319016,60.248566,52.73915,48.447357,74.58872
1989-07-01,87.119064,28.987,82.74101,77.349014,26.500135,85.102554,85.2767,44.266235,77.682655,75.81262,50.563145,17.128826,71.966774,63.668007,51.315063,47.1551,42.277397,74.290886
1989-08-01,84.497116,32.90446,79.31018,75.15185,41.136497,88.05978,89.321106,43.211597,81.351105,80.25903,57.952126,22.1172,69.11209,64.50781,51.546173,34.383884,37.850517,76.02746
1989-09-01,82.2495,33.21369,79.92702,75.69056,21.622433,86.78705,77.72171,66.460846,78.1758,87.13208,56.505253,18.040241,54.68242,70.477585,56.31646,23.155563,30.1458,78.37761
1989-10-01,84.70707,46.16882,83.36924,81.627785,18.533382,82.090004,43.219734,52.91004,66.34366,71.55989,33.472466,25.447124,50.12534,66.024666,61.24787,25.705902,40.534313,66.717995
1989-11-01,85.182304,51.085583,80.20044,82.942825,28.33436,73.03117,42.257866,60.717297,36.07977,67.42434,31.57477,46.75473,51.455032,74.88818,66.130455,41.553146,47.568493,66.184166
1989-12-01,84.3132,52.60244,80.11581,78.26042,26.264143,60.608253,54.081863,61.207184,25.168818,67.37552,31.148357,44.23206,42.000717,80.29972,76.46689,30.668236,54.56361,73.95236
1990-01-01,85.54112,53.06702,74.84314,78.50526,33.47999,63.38487,37.56813,62.192017,21.300766,45.410152,29.060863,47.546803,44.941532,77.763,76.58981,35.234856,77.079735,68.275894
1990-02-01,85.66893,56.132717,80.6927,79.683365,16.14758,63.815804,38.248123,50.961506,16.281937,50.74522,18.641426,46.22942,57.166634,83.3586,82.07562,29.013346,72.472176,63.13581
1990-03-01,86.64386,40.137352,78.51509,78.08088,14.155121,74.37943,33.45541,49.019844,13.393204,50.369995,14.528706,31.10903,47.042133,78.33321,71.008965,32.631226,57.502533,61.956066
1990-04-01,87.22881,24.554895,78.07924,77.415634,24.464775,68.41189,21.518692,57.40422,51.48256,58.81008,11.433517,27.9483,58.01867,80.74186,68.40042,46.883194,56.873337,61.385857
1990-05-01,88.6658,26.15902,78.13167,78.708435,16.84068,81.62011,60.797623,55.54776,66.737305,72.118256,13.624237,17.994205,64.027176,70.02257,55.724724,57.258392,46.403107,68.03503
1990-06-01,90.40756,26.101671,80.414154,75.61652,15.936207,84.73005,75.81806,43.851906,70.51741,79.62274,21.104141,17.047134,73.147255,56.0639,46.01805,60.673096,40.016098,67.32882
1990-07-01,87.5811,30.991056,82.044495,75.937675,25.89194,84.45805,83.11773,43.765064,78.857544,75.73286,50.71409,21.716953,69.05747,59.23774,46.952015,39.283676,37.420662,73.66011
1990-08-01,85.21833,33.958443,84.07136,75.74433,26.822626,86.26044,88.16113,49.249237,79.41137,76.781525,34.45819,22.506727,69.23935,58.842854,50.36672,34.207497,33.458687,74.007484
