,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12,mslGLB_cluster13,mslGLB_cluster14,mslGLB_cluster15,mslGLB_cluster16,mslGLB_cluster17,mslGLB_cluster18
1989-11-01,100882.51,101618.13,101297.125,100884.766,101753.37,102101.87,101496.23,101211.75,101083.86,101826.6,101502.09,101406.62,101421.63,102525.24,102271.15,101939.76,101677.02,101875.1
1989-12-01,100937.11,101666.016,101356.36,100969.63,102008.13,101952.12,101644.27,101247.89,101166.52,101976.516,101510.4,101572.62,101229.766,102477.98,101700.625,102080.24,100917.34,102195.59
1990-01-01,100690.4,101351.89,101414.74,100856.14,102087.02,101822.25,101670.99,101277.13,101166.016,102356.34,101520.77,101752.516,101263.48,102634.484,101845.016,102177.89,102000.016,102278.62
1990-02-01,100916.89,101604.34,101246.49,101117.64,101836.375,101604.87,101381.24,101242.875,101131.35,102110.77,101786.48,101490.9,101177.516,102405.13,101606.27,102259.24,102138.49,101996.86
1990-03-01,100707.62,101525.85,101289.85,100977.23,101954.14,101898.99,101328.484,101299.77,101137.6,101964.125,101882.59,101466.62,101474.734,101973.23,101903.26,102274.65,102053.12,101980.52
1990-04-01,101054.79,101601.31,101029.46,100934.57,101241.07,101749.305,100849.54,101214.92,101085.66,102047.69,101693.58,101495.336,101396.94,101323.06,101710.03,101440.19,101744.58,101700.81
1990-05-01,101239.9,101695.62,100672.77,100930.484,101150.26,101997.266,100391.49,101374.766,101217.14,102016.99,101876.875,101515.99,101778.484,101056.016,101997.38,101395.016,102570.34,101940.484
1990-06-01,101444.09,101743.766,100774.73,100968.125,101076.15,102386.63,100025.76,101598.39,101353.52,102278.15,101843.38,101574.35,102002.34,100454.516,101142.734,101432.89,102489.516,101541.26
1990-07-01,101500.12,101929.11,100827.25,101034.24,100799.234,102307.266,99942.016,101632.88,101346.34,102104.766,101724.734,101401.9,102088.6,100393.36,101041.484,101401.02,102363.0,102026.27
1990-08-01,101487.336,101829.55,100843.53,101042.53,100980.086,102490.57,100240.055,101745.05,101396.06,102065.55,101673.91,101382.94,102104.414,100383.32,101276.55,101575.164,102407.06,101744.055
