,mgu850GLB_cluster1,mgu850GLB_cluster2,mgu850GLB_cluster3,mgu850GLB_cluster4,mgu850GLB_cluster5,mgu850GLB_cluster6,mgu850GLB_cluster7,mgu850GLB_cluster8,mgu850GLB_cluster9,mgu850GLB_cluster10,mgu850GLB_cluster11,mgu850GLB_cluster12,mgu850GLB_cluster13,mgu850GLB_cluster14,mgu850GLB_cluster15,mgu850GLB_cluster16,mgu850GLB_cluster17,mgu850GLB_cluster18
1985-08-01,-0.063669585,0.09110756,-0.5568466,0.32679138,-0.5146347,1.3761113,-0.34191704,-0.79815865,-0.044322588,-1.3514874,0.86147654,0.28106156,-1.3490254,1.581543,0.807304,-0.07738838,-0.36618918,0.73167497
1985-09-01,-0.022864914,-0.06613235,-0.4414673,0.24869919,-0.5135792,0.98389167,-0.5800632,-0.8853966,0.19698945,-0.8547928,1.2055047,0.4562416,-1.139724,0.65323067,0.8758987,-0.0696495,-0.657452,0.74257964
1985-10-01,0.22829628,-0.2856346,-0.4949356,0.14211388,-0.379908,0.92444265,0.024975587,-0.7116238,0.3602093,0.1283947,0.52694666,0.38412935,-1.3064617,0.13085708,0.9205734,-0.19452706,-0.15442543,0.72323227
1985-11-01,0.46116638,-0.40347633,-0.47769928,-0.077740476,-0.25608635,0.6870003,0.11467628,-0.64971274,0.50373,0.3250324,1.1154518,0.11010285,-0.8822304,-0.78690183,0.6180542,-0.11115837,0.54347956,0.7140862
1985-12-01,0.47980958,-0.66378367,-0.78725356,-0.3352337,-0.010201263,-0.32538414,0.07211228,-0.20226593,0.68418616,0.39784774,1.8847656,-0.005276489,-1.1488698,-0.93745804,0.46644288,-0.13050537,0.61735076,0.71690065
1986-01-01,0.3436901,-0.7796299,-0.7679737,-0.40296975,-0.011656189,-1.287838,-0.0073265075,-0.45525628,0.80860364,0.3789913,1.1852639,0.13987389,-1.1816006,-0.58280754,0.18017082,-0.15319519,0.6943733,1.0890175
1986-02-01,0.24444619,-0.7370018,-0.5331856,-0.19349213,-0.040962983,-0.7220154,0.12588616,-0.5401791,0.8688828,0.26576003,1.1769383,0.2784153,-0.87754136,-0.3849861,0.30272713,-0.19648933,1.0080903,0.9807819
1986-03-01,0.1961567,-0.83424723,-0.3959755,-0.0079925535,-0.07459946,-0.71735305,0.122889325,-0.54051244,0.93782043,0.3726639,1.2512043,0.273753,-0.9178387,-0.95314026,0.48656082,-0.1368763,0.70403135,0.98910713
1986-04-01,0.047956467,-0.3386944,-0.26942366,0.06460838,-0.23212394,0.5604946,-0.1798378,-0.5295223,0.54284364,0.30738944,0.840242,0.063942336,-1.1889274,-0.52519304,0.69071007,-0.028307725,0.8019432,0.99043924
1986-05-01,-0.052286148,-0.21747056,-0.37366256,-0.07060318,-0.40296975,0.97944945,-0.20181808,-0.8502327,0.2697567,-0.37832528,1.0687023,-0.13887481,-0.68837893,0.24977455,0.88953054,-0.0039962768,-0.415625,0.89086264
1986-06-01,-0.023645401,-0.2254631,-0.43727225,0.11689453,-0.6400894,1.2755153,-0.27341995,-0.55316734,0.34102553,-1.1609523,1.2102413,0.57980996,-0.8172623,1.4600159,0.7033653,-0.01698494,-0.035634615,0.7646431
1986-07-01,-0.016318511,0.17017975,-0.4066326,0.28774032,-0.6557415,1.1253182,-0.31038666,-0.7160206,-0.14120598,-1.2611954,0.9188377,0.53152007,-0.77629966,1.2721851,0.74832535,0.04262848,-0.120558165,0.73766786
1986-08-01,-0.0009990692,0.06427536,-0.4069664,0.28307763,-0.5451748,0.95647013,-0.31438294,-0.7889549,-0.0069934847,-1.2288914,0.14187165,0.3496849,-0.780629,1.0560471,0.7859577,-0.07792969,-0.8625549,0.7666416
1986-09-01,0.0049957274,-0.118226625,-0.38232192,0.24910851,-0.39963952,0.9254986,-0.5688198,-0.60778505,0.1695137,-0.72767675,1.097676,0.62743413,-1.113995,0.74366224,0.88786584,-0.048955917,-0.15319519,0.7106918
1986-10-01,0.21713753,-0.09591331,-0.3846527,0.08692169,-0.4009716,0.50354576,-0.16918068,-0.72867584,0.1871643,0.20581436,1.2232296,0.51053923,-1.0297375,-0.40530092,0.795282,-0.12122383,0.19116096,0.6357597
1986-11-01,0.3110527,-0.5335186,-0.52452695,-0.12122383,-0.37166482,0.20248374,-0.15552635,-0.6873795,0.5881359,0.34169158,1.5945613,0.24544525,-1.015084,-0.13321304,0.74133146,-0.16451797,0.4785679,0.81259996
1986-12-01,0.3666691,-0.6201073,-0.7096928,-0.39231262,-0.23512116,-0.89552534,0.2727539,-0.7646435,0.58480567,0.3690006,1.4273784,0.18783073,-1.1552906,-0.9661282,0.22080079,-0.13954087,0.94581336,1.0084236
1987-01-01,0.36511344,-0.66020507,-0.88227385,-0.34343988,-0.03000908,-0.76557124,0.49281996,-0.73722875,0.6398655,0.4821499,1.4794594,0.09903069,-1.3157421,-0.6638729,0.12537232,-0.113702014,0.9069481,1.1666954
1987-02-01,0.20006219,-0.72189105,-0.6705414,-0.1780552,0.022340393,-0.6538696,0.5148266,-0.47248,0.80258256,0.4041252,1.5558163,0.20506363,-1.3207436,-0.23940773,0.31843224,-0.12737313,0.924287,1.194704
1987-03-01,0.28808975,-0.59151685,-0.40279198,-0.10736656,-0.03234329,-0.6411991,0.336771,-0.44247094,0.7542343,0.2927578,1.3564212,0.31643143,-1.1750317,-0.12937355,0.28808936,-0.16071662,0.76723826,0.89227676
1987-04-01,0.0786911,-0.47814828,-0.37444955,-0.02567482,-0.19339332,-0.38878745,-0.24674301,-0.62019235,0.6308624,0.39612275,1.0790017,0.2914238,-1.3774277,-0.93695754,0.5475033,-0.034010313,0.73322755,0.97830355
1987-05-01,0.09069481,-0.4851509,-0.38378602,0.036677934,-0.47681466,0.6411991,-0.17538758,-0.79558027,0.52349627,-0.225737,0.68287885,0.017338563,-1.0883381,-0.27208441,0.78924525,0.038345337,0.36611366,0.68754655
1987-06-01,-0.06435356,-0.403125,-0.25974733,0.09702988,-0.65486985,1.4494499,-0.26508218,-0.83492625,0.4834835,-0.98297197,0.55817336,0.50048906,-0.7705723,1.6018308,0.6171917,0.06235237,-0.3704483,0.7238911
1987-07-01,-0.07535668,-0.04368019,-0.4591423,0.13904305,-0.39745674,1.056995,-0.43246764,-0.80224913,0.052682877,-1.0826695,1.1563591,0.27575225,-0.8882759,1.1460228,0.7519001,-0.027341843,0.14871292,0.94829404
1987-08-01,-0.0,0.13637581,-0.55417174,0.20739785,-0.41179428,1.1940377,-0.2360733,-0.84859693,-0.0783577,-1.2303822,1.058662,0.16571808,-0.84859693,0.99130785,0.920953,-0.050349046,-0.0783577,0.6368645
1987-09-01,0.0013336182,-0.112034604,-0.42713243,0.29675865,-0.43413505,0.95729715,-0.2337391,-0.83759344,0.16171685,-0.59051704,-0.19239311,0.59985274,-0.6705414,0.42179757,0.9066151,-0.1016983,-0.3371044,0.6418663
1987-10-01,0.1457119,-0.2810875,-0.40079117,0.088027574,-0.42413178,0.9436264,-0.41712952,-0.7949135,0.4134617,0.07969169,0.7272259,0.54150164,-1.1450222,-0.045013808,0.9516285,-0.120370865,0.35210952,0.6898807
1987-11-01,0.34043923,-0.63319665,-0.37678376,-0.11536904,-0.39745674,0.3694481,0.05001526,-0.6505356,0.6735424,0.5855152,1.1036758,0.07068863,-1.6718528,-0.7512333,0.64653397,-0.13304138,0.3697815,0.79224586
1987-12-01,0.33343658,-0.6341969,-0.5968517,-0.36678046,-0.25708008,-0.27608603,0.4584759,-0.47614783,0.6822117,0.37178192,1.8929211,0.2227356,-1.1330185,-0.90528107,0.5318321,-0.097363666,0.36811447,0.97630346
1988-01-01,0.3393677,-0.71043587,-0.5502628,-0.2762993,-0.09143219,-1.0404602,0.23658943,-0.64102745,0.79319227,0.17085151,1.648452,0.19754715,-1.4382241,-0.5319096,0.20755807,-0.1428215,0.8626007,1.1021938
1988-02-01,0.19821472,-0.7574871,-0.5208977,-0.2582798,0.124801636,-0.727121,0.011345672,-0.5035454,0.97639084,0.42712936,1.605739,0.09944077,-1.145908,-0.6360222,0.4401436,-0.13881683,1.097522,0.9079834
