,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8,zgv250GLB_cluster9,zgv250GLB_cluster10,zgv250GLB_cluster11,zgv250GLB_cluster12,zgv250GLB_cluster13,zgv250GLB_cluster14,zgv250GLB_cluster15,zgv250GLB_cluster16,zgv250GLB_cluster17,zgv250GLB_cluster18
1987-03-01,-0.0025240898,-0.15530594,0.13451925,-0.042909574,-0.2586452,0.80473995,-0.054490756,-0.41662368,0.66576636,-0.5472826,-0.08670999,0.066071846,0.025092458,0.72679013,-0.058202602,-0.14506106,-0.06518097,-0.36911145
1987-04-01,0.19420663,-0.031476904,-0.31046328,0.4930888,0.056123875,-0.45686072,-0.6850683,-0.14461556,0.18811913,0.012026573,0.66190606,0.2795803,0.43414384,0.22909851,-0.070674576,-0.25894216,0.94772243,0.10393324
1987-05-01,-0.15872082,0.08819475,-0.26384187,-0.18262549,0.27067178,-0.21217218,-1.2023587,-0.39999428,-0.10838737,-0.81691504,0.8869957,0.009947872,-0.076168254,1.0323538,-0.07408953,0.17935902,1.1174304,-0.079879954
1987-06-01,-0.017371679,0.069189884,-0.21113281,0.13184671,0.0028210164,-0.47230214,-0.44156766,-0.3183325,0.40251845,0.99805576,0.39895505,0.33822837,0.5590122,-0.60607916,0.010096359,0.11744456,0.5114999,0.08388893
1987-07-01,-0.1708959,-0.020935059,-0.16109638,-0.33897072,0.3132844,-0.22731666,-0.22761373,-0.84646165,2.1129622,0.45374268,-0.03221922,-0.24216437,0.29546723,-0.9723694,-0.08552208,0.031031419,-0.26220855,0.23993723
1987-08-01,-0.3588665,0.032961655,0.17371693,-0.072604775,0.05434222,-0.69605553,-0.07438649,-0.103487775,0.92129344,0.79390126,-0.0984396,0.23563156,0.30170327,-0.47957745,-0.24186745,0.24914269,-0.009650898,0.09309445
1987-09-01,-0.46472988,0.2837376,-0.1627297,-0.08121637,-0.027913475,0.0748319,-0.1775773,-0.51387537,0.7490614,0.42300814,-0.009799433,0.20415454,0.8795719,-0.06562643,0.30897856,0.004602718,-0.28002587,0.20949964
1987-10-01,0.08864007,0.058351062,0.0054935934,-0.22479267,0.10036979,0.075871326,-0.38915557,0.42597762,-0.5364438,1.6795604,-0.16852036,0.259833,1.5815665,-1.024039,-0.014699126,0.102893874,0.8495797,-0.22835612
1987-11-01,-0.005493617,0.036673594,-0.17653795,0.10645731,0.056569338,0.66561794,-0.28848886,-0.19955178,0.39420375,-0.78573495,-0.75782156,0.091906644,-0.41202098,0.78989244,0.17431083,0.023459196,0.091609575,0.5254566
1987-12-01,-0.30793923,-0.32545942,0.16406599,-0.122195795,0.017668653,-0.30586058,0.7640576,2.5509663,-0.23206797,-0.18529816,-0.17772579,-0.16777787,0.29724902,1.012161,-0.3686659,0.16198735,0.15664215,-0.45463356
1988-01-01,-0.23022756,-0.12826571,-0.507775,0.41598225,-0.17585693,0.5748908,0.15728143,0.59590673,0.9674164,-0.77189934,0.25287062,0.28324217,0.7131901,0.3434431,-0.18792418,0.020338107,-0.26168376,-0.1503664
1988-02-01,-0.44486237,0.2062285,0.00067791936,0.036473036,-0.31713906,0.3923901,-0.24365065,-0.13951941,0.29354677,0.05355705,-1.5069189,0.447303,0.58505976,-0.21056733,0.2126011,-0.085420094,0.37774667,-0.501538
1988-03-01,-0.27036142,0.009762287,0.04121858,0.076606944,-0.009762335,1.086869,-0.08325072,-0.027931023,0.54140073,-0.8322357,1.5912542,-0.011660481,-0.25870085,1.1953388,-0.070505485,-0.10006352,-0.39510188,-0.23917627
1988-04-01,-0.16487432,0.20894027,-0.1202661,-0.50940204,0.118774615,0.47821695,0.103588805,-0.45245534,-0.38547507,0.50208026,0.70586824,0.115113735,0.0831151,-0.27578488,0.10169059,-0.082165994,0.22710904,-0.29612297
1988-05-01,0.023185443,0.004609966,0.048947047,0.2086691,0.07308163,-0.19551711,-0.6901401,-0.25992113,-0.38872927,0.15118003,-0.20473704,0.0039320467,0.17639925,0.42371073,-0.036473036,0.016270494,1.0718187,0.42899856
1988-06-01,-0.23388834,-0.03376131,-0.60838085,0.03077836,0.08053894,-0.12433372,-0.5033006,-0.44350654,0.03877802,-0.27185288,0.17151813,0.34805298,1.6507771,-1.5790515,0.040811826,-0.002304983,0.9230793,-0.116334006
1988-07-01,-0.24595566,0.14087538,-0.10779202,0.051929988,0.30615646,0.5696029,-0.19321212,-0.25734502,0.21544847,-0.15999317,0.102639675,-0.10304646,-0.15863729,-0.23239689,-0.073081635,0.1330113,0.0435236,0.02901572
