,mgv600GLB_cluster1,mgv600GLB_cluster2,mgv600GLB_cluster3,mgv600GLB_cluster4,mgv600GLB_cluster5,mgv600GLB_cluster6,mgv600GLB_cluster7,mgv600GLB_cluster8,mgv600GLB_cluster9,mgv600GLB_cluster10,mgv600GLB_cluster11,mgv600GLB_cluster12,mgv600GLB_cluster13,mgv600GLB_cluster14,mgv600GLB_cluster15,mgv600GLB_cluster16,mgv600GLB_cluster17,mgv600GLB_cluster18
1984-08-01,-0.33203092,-0.013000011,0.08781643,0.21741855,-0.12416337,-0.25946963,-0.08330619,0.11593888,0.40658203,0.06606128,-0.25562268,-0.3845616,0.20693898,0.6778578,0.09511234,-0.17589816,-0.23824516,-0.27485743
1984-09-01,0.16502059,-0.34861255,0.019500017,0.042714335,0.0058367252,-0.47622496,0.06539802,0.11660214,0.2663676,-0.0022551059,-0.24673493,-0.17364304,0.16754098,0.54944944,-0.32752076,-0.0,-0.26902068,-1.0471643
1984-10-01,0.38376564,-0.3808473,-0.02215309,0.06672456,-0.12615319,-0.52066374,0.0078265425,0.30563298,0.061285757,-0.03303065,-0.18544915,0.09232662,0.14432666,0.5005005,-0.23479612,-0.5177454,-0.32871458,-1.1814092
1984-11-01,-0.28321454,-0.4352351,0.09272458,0.21834715,-0.0013265132,-0.1175307,-0.038071465,0.57067406,0.04855106,-0.11394906,-0.20693898,0.15825525,-0.16289811,0.5279597,0.01684699,-0.41003102,-0.24726553,-0.96810305
1984-12-01,0.22458187,-0.3909289,0.084500074,0.11248992,0.17735732,-0.05398984,0.07030618,0.6442965,0.039397992,-0.23293898,-0.4049902,-0.028520416,-0.16608179,0.495327,-0.18505116,-0.24209204,-0.2590717,-1.0350928
1985-01-01,0.7856285,-0.75127304,0.0410393,0.2852699,0.13421318,-0.0025398731,0.0540061,0.4725534,-0.07071593,-0.027537774,-0.20559749,0.124320984,-0.21442032,0.24556737,-0.023928452,-0.19650733,-0.3589267,-1.2015022
1985-02-01,0.34168214,-0.23647726,-0.09718426,0.095580116,0.42737007,-0.032350205,-0.041841365,0.5943345,0.0925055,-0.2347394,-0.3117382,0.06202681,-0.14798212,0.61077696,0.123919964,0.088094115,-0.3460936,-0.7416482
1985-03-01,-0.1080122,-0.31655067,0.13996139,0.2321995,0.32163042,-0.27096626,0.0776672,0.74699533,-0.0454507,0.047322176,-0.030746032,0.45637837,-0.45651203,0.47054824,-0.07232008,0.5688019,-0.46386433,-0.77333003
1985-04-01,-0.16937068,-0.44207472,-0.046787478,0.17511882,0.18808563,-0.12552409,-0.04718851,0.30224705,0.09210448,-0.08475218,-0.1645582,0.2665549,-0.2193664,0.37042308,-0.004678726,-0.3468957,-0.2803238,-0.86997956
1985-05-01,-0.21254878,-0.25358805,-0.06429937,0.041574,0.06871071,-0.30104396,0.07606304,0.1565375,0.169638,0.009491158,-0.12311788,-0.14637795,-0.13327746,0.58404124,-0.056412317,-0.6932567,-0.32403666,-0.45330372
1985-06-01,0.18888769,-0.22925857,0.101328276,0.25011244,-0.13448057,-0.5633211,-0.07953869,0.060288977,0.7908419,-0.14798208,0.0026735782,-0.37978053,0.27831852,0.7456585,-0.06510141,-0.17538619,-0.32443768,-0.43525714
