,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1973-10-01,-15.840684175491333,0.7590486268912042,-16.323940842239946,-5.864835903048515,-7.336073854695195,-1.890110153041474,0.4042758359465488
1973-11-01,-19.676717519760132,-0.6848031788000039,-20.178658873946578,-7.975565642118454,-7.557090469028639,-3.346209330101536,-0.09628410256186197
1973-12-01,-22.559456825256348,-2.4047024548053737,-23.133101286711515,-9.786464273929596,-7.349185839943264,-4.614830996892223,-0.7890599203664204
1974-01-01,-25.46102285385132,-3.0729522662503377,-24.89530598675763,-11.559200286865234,-6.467719181724217,-5.514059328053095,-1.0160350695598959
1974-02-01,-27.66014575958252,-3.8433641195297237,-26.25422124509458,-12.71887868642807,-3.9805788060893184,-6.194178045612492,-0.9576856258303621
1974-03-01,-28.4824538230896,-3.934593285833086,-27.246178521050346,-13.367652893066406,-2.6671728362207827,-6.630489924182631,-1.009872514148091
1974-04-01,-28.901848793029785,-3.8329858865056714,-27.478917439778645,-13.428162038326263,-1.716182802034461,-6.600669965352098,-0.4456016248048738
1974-05-01,-26.36564016342163,-2.7477164353643144,-25.774505403306748,-11.766621470451355,-2.1369138489598813,-5.659767699568239,0.13548231402108837
1974-06-01,-21.78722620010376,-0.9253305249980517,-21.63781589931912,-8.893786370754242,-2.1376246991364853,-3.975232986554708,0.8674523026444192
1974-07-01,-15.791467428207397,0.6633209796356303,-16.17032686869303,-5.823397636413574,-3.791677951812744,-2.2877425363619035,1.2439407165660414
1974-08-01,-12.052081823348999,2.134799425091062,-12.400875268159089,-3.701043128967285,-4.268278505491174,-0.8521288225095566,1.8664316798365395
1974-09-01,-11.111706495285034,2.2292728934969217,-12.253460177668819,-3.4731898456811905,-4.233214388722959,-0.17407093554326933,1.3427471560101176
1974-10-01,-14.029241800308228,0.8551699109375476,-15.436852419817889,-5.1449596881866455,-5.838593711023745,-1.3508964891303077,0.7701710109100786
1974-11-01,-19.076356887817383,-0.9020612974252019,-20.26894180862992,-7.6319195330142975,-6.412008016005806,-3.0548112033164667,0.38717781388482386
1974-12-01,-22.39542245864868,-2.3124754428863525,-23.022437978673864,-9.821442514657974,-6.749732598014499,-4.724306929601382,0.042456696892893594
1975-01-01,-25.576725006103516,-3.958132224423544,-25.63539257755986,-11.479189246892929,-4.561790176059889,-5.934331188463185,-0.1986363287581954
1975-02-01,-27.744016647338867,-4.386235560689653,-27.09541497407136,-12.858441472053528,-2.331708047700965,-6.802576535368619,-0.3460820850937866
1975-03-01,-28.991262912750244,-4.876209369727543,-27.62219287731029,-13.243955373764038,-1.3384133577346802,-7.312205719621215,-0.6199482291243797
1975-04-01,-28.721282482147217,-4.535465581076485,-27.229485688386138,-13.092763721942902,-1.1436107365981392,-7.063996955139997,-0.3482414643431819
1975-05-01,-26.15447759628296,-3.155403797115598,-24.90766136734574,-11.775973439216614,-3.3913622731747832,-6.093097712895641,-0.07128827793653622
1975-06-01,-22.0621395111084,-1.1634784883686473,-20.877949396769203,-9.177114814519882,-3.768818533938864,-4.192055414800775,0.5939731625623481
1975-07-01,-15.625958442687988,0.4319646262696811,-15.470082671554,-5.863773450255394,-4.084016447481901,-2.3683592064739907,0.9430633935817453
1975-08-01,-11.172384023666382,1.8198759960276738,-11.779317149409541,-3.581079840660095,-4.942803797514542,-0.9887683881472236,1.130485751254614
1975-09-01,-12.02011227607727,1.7925900540181567,-12.036554018656412,-3.9116404950618744,-6.3557033953459365,-0.7497122842971593,0.778088555779568
1975-10-01,-14.505045413970947,0.700560790885772,-15.094320862381545,-5.0801146775484085,-7.173650161079738,-1.457967660198473,0.3675540657930596
1975-11-01,-19.403661489486694,-0.8075374577726636,-19.583394792344833,-7.310622185468674,-6.695699691772461,-2.972797498311082,-0.07253620551552536
1975-12-01,-22.6011323928833,-2.435991700206484,-22.798206188060618,-9.386619925498962,-6.921512147654657,-4.499131359466134,-0.3808052872502527
1976-01-01,-25.000629425048828,-3.572074962513787,-24.79554635507089,-10.95220372080803,-6.021318228348441,-5.5446755396176695,-0.9295437225075656
1976-02-01,-26.454017162322998,-4.220495053700038,-25.75620721887659,-12.369365990161896,-3.649003868517668,-6.533019183433219,-0.8226411841636481
1976-03-01,-27.94337034225464,-4.539982548781803,-26.808300724735965,-12.981873750686646,-2.0931693522826484,-6.861646208044601,-0.6709539439789085
1976-04-01,-28.020365238189697,-4.839463531970977,-26.968678721675165,-12.76865303516388,-1.3885832351187,-7.0538350980575775,-0.11307572902635087
1976-05-01,-26.024043560028076,-3.213944498981748,-25.294263274581343,-11.593308299779892,-0.7492011655931887,-6.196426365473499,0.6157652028771334
1976-06-01,-21.134064197540283,-0.7463300068463598,-20.589764912923176,-9.15973111987114,-0.22641917609650156,-4.275428432307831,1.2953535900559536
1976-07-01,-14.507812261581421,1.1589593120983668,-15.602952462655525,-5.396585166454315,-1.1573879615120266,-2.22238204250597,1.945180892944336
1976-08-01,-11.27995252609253,2.2586948105267113,-12.429708904690212,-3.7039127200841904,-2.1001900019853013,-0.8808536888801889,2.112078223117562
1976-09-01,-11.344609260559082,2.305271370070321,-12.600415724295155,-3.4676190465688705,-2.0260559475940205,-0.48471019692616923,2.2636149650396304
1976-10-01,-14.560503959655762,1.1370595544576645,-16.78847206963433,-5.14722540974617,-3.8298233695652173,-1.3914018461149034,1.7144422752912656
1976-11-01,-19.34571146965027,-0.443467018859727,-21.003421147664387,-7.956364750862122,-4.120086068692414,-3.109633106074921,1.2226028497828993
1976-12-01,-22.82304048538208,-2.2043491580656593,-23.489436396846063,-10.1644866168499,-3.778562079305234,-4.5883080730699515,0.7445790739946587
1977-01-01,-26.543292999267578,-3.467367589473724,-25.997220145331486,-12.335216999053955,-3.06338590124379,-6.167108718663046,0.45674626217332
1977-02-01,-27.78033971786499,-3.9095784936632425,-27.16315940574363,-13.339094817638397,-1.7386838145878003,-6.7922703207355655,-0.009431842454644138
1977-03-01,-29.768929481506348,-4.095036217144557,-28.747470290572554,-13.841022551059723,-1.1760107848955237,-7.3424476466766775,-0.3219132506570151
1977-04-01,-29.619147777557373,-4.395537078380585,-28.511716701366282,-13.651154935359955,-2.639222404231196,-7.354100109779671,0.0004980453225069268
1977-05-01,-26.4439058303833,-2.95868164726666,-25.702181568852176,-11.796646565198898,-2.868699509164561,-5.8747866382337595,0.5458283840223801
1977-06-01,-22.10294485092163,-0.7389942716274942,-22.3002345473678,-9.153945744037628,-3.5841208437214727,-4.058448255878606,1.270862568256467
1977-07-01,-15.776430368423462,1.2707746986831936,-15.820752249823675,-5.806436017155647,-3.877739802650783,-2.0557899997658926,1.9504018162572108
1977-08-01,-11.623276472091675,2.7815741087709154,-12.071281009250216,-4.141069948673248,-5.37159598391989,-0.5974829605180924,1.8697646329569262
1977-09-01,-11.172857284545898,2.698970586061477,-11.709011042559588,-3.589668497443199,-4.81446359468543,-0.33829714337440386,2.0596142702324447
1977-10-01,-14.654185771942139,1.4546325696366174,-15.508148405287,-5.349281802773476,-4.930367158806842,-1.2204890381799987,1.6035740597303525
1977-11-01,-19.575785398483276,-0.7151030802300997,-21.230632287484628,-8.165346086025238,-4.693881325099779,-3.112656776219198,1.427435459092606
1977-12-01,-22.879016399383545,-2.230676582881382,-23.484791649712456,-10.391583293676376,-5.200667484946873,-4.553072093284293,0.982848793961281
1978-01-01,-26.69233798980713,-3.4182032304150716,-26.201943997983577,-12.450772523880005,-3.5682460536127505,-5.977333408512481,0.7183713847121528
1978-02-01,-28.28118324279785,-4.036419625793184,-27.593259458188655,-13.486602902412415,-1.7690645611804463,-6.570649473634485,0.3643922334493593
1978-03-01,-29.896056652069092,-4.339254966803959,-28.66394961321795,-14.361342787742615,-2.6381080565245254,-7.00906662091817,-0.26168269473452904
1978-04-01,-29.084763526916504,-4.138623710189546,-27.932573247838903,-13.636389374732971,-3.5012527652408765,-6.664628198702042,-0.13513282634491144
1978-05-01,-26.53639793395996,-2.411427348852157,-25.984795888264973,-12.090585380792618,-4.647922515869141,-5.635744251617013,0.39083781630493875
1978-06-01,-21.663007736206055,-0.1325572807607906,-21.93288449887876,-9.132391214370728,-4.937574137812075,-3.7369982836997675,1.0522961200669754
1978-07-01,-15.74317216873169,2.0261361130646294,-15.936819712320963,-5.788255482912064,-3.723682527956755,-1.8421625437801832,1.8442349655683652
1978-08-01,-11.743015050888062,2.8801410325935906,-11.442477614791304,-3.873070701956749,-5.088953868202541,-0.5927795008437274,1.8702259729074877
1978-09-01,-10.830299854278564,2.5019648884023935,-11.256284183926052,-3.317005932331085,-5.269487007804539,-0.43880135229189104,1.706307100695233
1978-10-01,-13.957980871200562,1.329703362924712,-15.221917187726055,-5.297275632619858,-5.468649967857029,-1.3600809116886088,1.440615127252978
1978-11-01,-18.68451714515686,-0.13545958458312918,-19.33940781487359,-8.036114275455475,-5.374108708423116,-2.982473373413086,0.9717392713524575
