,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1981-08-01,23.375671,15.222931,11.66153,28.07669,22.291382,16.816772,25.348846,21.034363,25.386292,19.09909,13.633209
1981-09-01,23.121368,14.879974,11.265778,27.706024,21.955109,16.996216,25.224792,20.873383,25.809723,18.93863,13.025696
1981-10-01,23.76886,15.718658,11.928619,28.028503,22.384705,17.26587,25.416016,21.564453,26.390564,18.949402,13.658325
1981-11-01,24.392761,16.074463,12.620178,28.926147,22.749207,18.020477,25.599548,22.165283,27.07547,19.870148,14.153534
1981-12-01,25.239655,18.237335,14.851776,28.76004,23.508942,18.941711,25.7677,23.054749,27.14981,20.457123,16.7081
1982-01-01,26.302094,20.343903,16.51715,29.020813,24.578705,21.245636,26.012177,24.412476,28.160645,22.385193,18.323639
1982-02-01,26.559418,20.847107,17.452942,29.353271,25.830933,22.033722,26.609009,25.072906,28.393463,23.410614,19.042633
1982-03-01,26.707123,20.811554,16.236267,29.739288,27.011566,21.769348,27.324982,24.90216,28.830048,23.294952,18.613037
1982-04-01,26.580475,19.651947,15.540314,29.791382,27.81366,21.042358,28.431,24.428009,28.554169,22.58548,17.568604
1982-05-01,25.29721,18.367706,14.580505,29.83142,26.995544,19.987915,28.30133,23.641937,28.0755,21.998688,16.327393
1982-06-01,25.165527,16.827576,12.9096985,29.694244,26.204956,18.786774,27.380554,22.59549,27.092651,20.581726,15.122742
1982-07-01,24.519623,15.647461,12.224762,29.298706,24.63379,18.038239,26.73819,22.128845,26.587982,19.892273,14.33667
1982-08-01,23.84671,15.064148,11.334045,28.700867,24.20871,17.19809,26.447266,21.351288,26.191437,19.082184,13.702789
1982-09-01,23.509247,15.111237,11.154785,28.854095,24.997803,16.95877,26.459808,21.374817,26.125824,18.756714,13.429413
