,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1976-01-01,-0.062195003,0.02453494,0.49012077,0.036964834,0.033519864,0.0074496865,-0.25139016,-0.043899298
1976-02-01,-0.07052815,0.024674594,0.37527224,0.02681607,0.0063323975,0.03687173,-0.35562438,-0.053303182
1976-03-01,-0.08514607,0.016853571,0.57726973,0.025512576,0.046275616,-0.047996044,-0.1880303,-0.061031163
1976-04-01,-0.015734196,0.016620815,0.47387347,0.029748976,-0.021506906,-0.068852246,-0.097250104,-0.062288105
1976-05-01,0.012291253,0.023464203,1.0021675,0.027467847,-0.014430702,-0.3085584,-0.32629544,-0.027651966
1976-06-01,0.01527071,0.030773163,2.3021393,0.02332455,-0.0014421344,-0.22778732,-0.108888626,-0.03356433
1976-07-01,0.02527982,0.023883224,2.1659224,0.019227803,0.0025149584,-0.43113488,-0.12951201,-0.070714355
1976-08-01,-0.018154979,0.023417652,1.1049119,0.00949806,-0.004654348,-0.48048204,-0.20972443,-0.06428993
1976-09-01,0.00949806,0.026629865,0.6287584,0.014339626,0.037383854,-0.454598,-0.11563891,-0.03933704
1976-10-01,-0.012009859,0.010196328,1.4955459,0.024721146,0.03952533,-0.30730146,-0.31596047,-0.062241554
1976-11-01,-0.035798907,0.01871574,0.778662,0.028259277,0.008241057,-0.11293876,-0.27955526,-0.026488125
1976-12-01,-0.03430921,0.02490741,1.2166879,0.031238735,-0.038312852,-0.006702721,-0.27862424,-0.06298643
1977-01-01,-0.07744405,0.024863333,0.40314853,0.020009339,-0.0018336773,0.0040471554,-0.19109294,-0.04565966
1977-02-01,-0.070536435,0.017255634,0.35148144,0.02673024,0.023136437,-0.0136419535,-0.37115762,-0.08985907
1977-03-01,-0.067315966,0.0070342124,0.62526566,0.029483974,0.03349784,0.012074918,-0.083978266,-0.08201799
1977-04-01,-0.02442342,0.013848484,0.70778364,0.033824563,0.007827669,-0.092892826,-0.53185296,-0.08696535
1977-05-01,-0.0008068681,0.026543558,1.3750218,0.021969587,0.012775004,-0.031564415,-0.28723946,-0.08374488
1977-06-01,0.018235743,0.017115593,1.9233836,0.009461224,-0.011681676,-0.16159555,-0.13765231,-0.069556296
1977-07-01,0.018329114,0.02794376,1.766002,0.020382702,-0.01550886,-0.62781286,-0.21228251,-0.10339427
1977-08-01,-0.002580434,0.028317124,1.4338299,0.01683557,-0.0624153,-0.30226818,-0.16187564,-0.0898124
1977-09-01,-0.025776953,0.01123479,1.179555,0.031957626,-0.0065476596,-0.1263574,-0.50366247,-0.06563574
1977-10-01,-0.044679552,0.019215882,1.0834552,0.03247103,0.00026661158,-0.15898189,-0.15090743,-0.081551254
1977-11-01,-0.041365743,0.019822627,1.2449907,0.031957626,-0.030350924,0.00792101,-0.32387784,-0.021996439
1977-12-01,-0.053734124,0.020662755,0.7295333,0.025890142,0.037511736,-0.015555561,-0.2534015,-0.044026107
1978-01-01,-0.07457435,0.012300611,0.32233328,0.020473361,0.044885278,0.09084368,-0.5047035,-0.045333028
1978-02-01,-0.06109464,0.012088299,0.1900838,0.042072654,0.0021642447,0.04584062,-0.171108,-0.047296524
