,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1973-09-01,-5.5138622e-05,-1.2471821e-05,-9.1453534e-05,-6.628033e-05,2.8139257e-06,-7.893744e-05,-3.703343e-05,-2.7973434e-05
1973-10-01,-6.1022587e-05,-9.038777e-06,-9.6452684e-05,-5.4185028e-05,1.6990743e-06,-7.22483e-05,-3.8006718e-05,-2.8654733e-05
1973-11-01,-6.197818e-05,-2.3956607e-05,-9.015287e-05,-6.7129746e-05,-3.2027529e-06,-6.048923e-05,-4.279352e-05,-3.0787112e-05
1973-12-01,-5.063496e-05,-2.12491e-05,-8.621548e-05,-5.944078e-05,-4.775502e-07,-8.1184844e-05,-4.444811e-05,-3.1459564e-05
1974-01-01,-5.786936e-05,-1.7515056e-05,-8.7040346e-05,-5.419212e-05,-8.559713e-06,-7.596439e-05,-4.7335056e-05,-3.5417037e-05
1974-02-01,-5.328185e-05,-1.7991573e-05,-7.712226e-05,-5.925616e-05,-3.6975907e-06,-7.514865e-05,-4.7617734e-05,-3.4552842e-05
1974-03-01,-5.6835557e-05,-1.521322e-05,-8.708073e-05,-6.194567e-05,-5.3155964e-07,-7.11588e-05,-4.5267447e-05,-2.8317696e-05
1974-04-01,-5.4776017e-05,-1.6473168e-05,-9.619922e-05,-6.164683e-05,-3.851048e-06,-8.367755e-05,-4.4104414e-05,-2.32052e-05
1974-05-01,-4.21442e-05,-8.6550135e-06,-9.557732e-05,-6.037073e-05,1.8914216e-06,-8.106073e-05,-3.099607e-05,-3.3397886e-05
1974-06-01,-4.759591e-05,-7.806964e-06,-8.216206e-05,-5.536323e-05,-3.3772085e-07,-9.193185e-05,-3.3992495e-05,-2.9044593e-05
1974-07-01,-5.591482e-05,-1.4437865e-05,-0.000101949765,-6.1315695e-05,2.9090734e-06,-7.8968886e-05,-3.6221638e-05,-2.6597376e-05
