,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8
1985-08-01,13.008934,59.494366,18.206245,48.282738,13.2140045,29.4917,47.17864,6.748535
1985-09-01,10.3364525,53.780277,17.700954,44.07961,21.060833,26.541962,39.755077,8.333321
1985-10-01,5.4328003,43.256046,25.695429,46.1336,44.729275,39.451576,49.335983,20.39312
1985-11-01,10.799091,52.845154,45.8465,43.830246,31.604748,40.006084,64.46856,38.92167
1985-12-01,23.193567,51.716446,44.07961,46.54046,34.032784,38.552544,63.96327,34.60042
1986-01-01,15.689613,40.296413,65.15253,38.979305,18.658436,36.205666,62.182064,34.224266
1986-02-01,13.80006,36.23355,50.848045,38.17231,18.279541,36.182705,73.109314,54.235126
1986-03-01,13.913239,40.75404,42.054745,32.984245,13.30471,15.592838,46.247185,19.3867
1986-04-01,36.00228,41.67421,41.206745,27.783062,22.427696,26.857971,60.436855,24.638733
1986-05-01,15.363205,53.706974,33.648544,39.06624,27.948727,31.086496,44.1116,15.171299
1986-06-01,12.653538,42.24173,25.601551,36.407417,33.72563,41.96125,38.088657,11.839981
1986-07-01,8.518505,49.434162,13.660641,41.848076,24.456667,33.610817,53.25263,5.81868
1986-08-01,13.790222,50.19687,16.880424,44.707005,31.05861,30.20897,41.062405,10.452343
1986-09-01,6.0040245,52.752357,17.405296,48.30896,39.049835,23.270777,55.281597,7.9755898
1986-10-01,8.113369,52.612938,27.471418,47.2018,37.119278,44.775894,31.594969,11.597225
1986-11-01,10.111176,48.760025,30.466486,46.13893,29.831717,28.780325,45.59109,27.684649
1986-12-01,11.301983,46.309513,57.76491,34.253788,31.962381,22.284996,56.165684,34.52279
1987-01-01,21.442253,45.407272,43.18716,35.01515,17.408459,33.50669,46.179977,46.767937
1987-02-01,19.096836,41.622475,58.28297,34.21032,35.498688,25.085682,77.31619,41.053795
1987-03-01,39.799156,46.009693,52.30537,40.732506,32.414307,27.558008,64.17221,31.27694
1987-04-01,29.990173,38.085075,36.615173,28.925097,26.822254,22.401304,41.16464,23.44389
1987-05-01,23.89209,56.710255,32.920338,38.088287,36.459347,41.731716,40.27306,16.650211
1987-06-01,8.389847,50.747112,27.994963,40.356594,34.918762,36.338863,46.899666,19.58841
1987-07-01,6.9681396,48.999294,33.076164,40.57989,30.22632,25.798944,52.184887,7.1030807
1987-08-01,8.160126,48.72138,21.459923,44.294003,33.175766,22.561949,34.027184,14.989143
1987-09-01,8.661339,52.072433,30.494598,37.990295,44.737385,21.19968,48.180004,9.880634
1987-10-01,5.385784,50.207344,37.002327,51.444313,29.035942,37.967804,51.845924,32.012695
1987-11-01,6.94886,49.208134,33.089012,42.67952,35.686646,39.786304,34.274574,25.524242
1987-12-01,9.361748,45.980774,51.714195,37.596714,22.092865,31.41188,58.867718,46.48681
1988-01-01,12.478947,42.757557,50.45261,32.87043,25.019033,28.621458,63.131126,39.43525
