,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12
1976-12-01,2.6872864,1.3536377,-0.35144043,-4.977417,-11.155304,-1.0868835,-3.164917,0.5262146,1.7519531,1.1085205,-4.8575745,0.12094116
1977-01-01,2.1906128,1.3099365,0.111572266,-3.7633362,-13.245758,-1.4595032,-1.7232361,0.43218994,1.137207,0.49154663,-6.7381287,-0.30929565
1977-02-01,2.05542,1.0487366,0.13256836,-2.075409,-13.792084,-1.8841858,-0.46298218,0.013366699,1.0390015,0.2566223,-7.4717712,-0.7607422
1977-03-01,1.9008179,1.6273804,0.06896973,-2.0465698,-13.976837,-1.9098511,0.63238525,-0.51345825,1.2191772,0.22320557,-8.140167,-0.457489
1977-04-01,1.6036072,2.6131897,0.061706543,-2.523346,-12.891785,-2.203186,-0.96295166,-0.5703125,1.2284546,0.084106445,-8.256866,-0.16989136
1977-05-01,0.9980469,2.0081482,0.1670227,-3.2724304,-10.335693,-1.6259155,-1.664856,0.25994873,1.6690063,0.76986694,-6.0632935,-0.16482544
1977-06-01,0.5810547,1.6261597,0.31539917,-4.07135,-8.495087,-0.6582031,-2.4657288,0.9649353,2.1102905,1.7580261,-3.9541016,0.8768921
1977-07-01,0.39456177,1.874176,0.16784668,-4.8339233,-3.5713196,0.51086426,-3.3898315,1.0548401,2.5684814,2.1700134,-1.1896362,1.3895874
1977-08-01,0.21881104,1.9514465,-0.061431885,-5.479187,-2.960785,1.1525269,-5.2388306,0.8187561,3.0451965,2.871521,-0.03955078,0.958374
1977-09-01,0.3949585,1.5193787,-0.49642944,-5.5920715,-3.0737,1.2259827,-5.436859,1.1909485,3.5181274,2.8403625,-0.10180664,1.0474243
1977-10-01,0.65618896,1.413269,-0.91000366,-5.993042,-5.3741455,0.7666321,-4.5066223,0.6474304,2.7843933,2.71286,-2.2042542,0.8848877
1977-11-01,1.6634521,1.4201965,-0.55862427,-5.8085327,-8.328857,0.014038086,-4.030182,0.9944458,2.2833252,1.6887512,-4.652954,0.64364624
1977-12-01,2.2409973,1.3369751,-0.36450195,-4.930786,-10.883759,-0.405365,-4.0000305,0.5536194,1.8600159,1.0328674,-6.1671143,0.40524292
1978-01-01,2.4275208,1.4560852,-0.25820923,-3.6592102,-12.961365,-0.85266113,-3.0628052,0.29953003,1.2840271,0.58081055,-7.5039062,-0.020904541
1978-02-01,1.7868958,1.579071,0.33700562,-2.7266846,-13.224518,-1.3937073,-1.4120789,0.22052002,0.9942932,0.084228516,-7.7921753,-0.0965271
1978-03-01,1.6774292,1.8103333,0.09362793,-2.1643677,-14.001434,-1.8956604,-0.9875183,-0.2364502,0.95874023,-0.040252686,-8.154419,-0.2074585
1978-04-01,1.6879883,2.4656067,0.19989014,-2.8802185,-13.025726,-2.1320496,-1.7550659,-0.3559265,1.4656677,0.15106201,-7.667328,-0.4544983
1978-05-01,1.1959534,1.8203735,0.37094116,-3.474701,-12.066406,-1.4815674,-2.9281006,0.039886475,1.7633362,0.91174316,-6.639862,0.1307373
1978-06-01,1.2845154,1.6281433,0.3227539,-4.0115356,-9.148071,-0.21032715,-3.4528198,0.56295776,2.1148376,1.8224487,-5.019226,0.84228516
