,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8
1978-01-01,-0.098727,0.0005814314,1.0679728,0.30036736,-0.10070387,-0.1883837,-1.0001779,-0.043142222
1978-02-01,-0.16908018,0.09302898,1.090416,0.3074608,-0.17698765,-0.15652125,-0.91714954,-0.17210364
1978-03-01,-0.0013954282,0.056631397,0.88365906,0.29245988,-0.26048115,-0.0397699,-0.6308528,0.04221189
1978-04-01,0.032909,-0.034885872,0.80853814,0.22873504,-0.18536025,0.8306324,-0.014652061,0.10058756
1978-05-01,0.12779857,0.045235347,0.3175777,0.17535964,-0.108146176,0.9033114,-0.06232942,-0.6129447
1978-06-01,0.008372605,-0.0077911615,0.3402535,0.21664123,-0.36013848,1.3108946,0.17896453,-0.33653232
1978-07-01,-0.10175045,0.042560767,0.37618595,0.22606044,-0.12628683,0.8873801,-0.09047069,0.043374777
1978-08-01,0.022908354,0.04895649,0.52386945,0.2380379,-0.26071376,1.0706472,0.3592082,-0.07477202
1978-09-01,-0.09430812,-0.0006977081,0.077330336,0.05139851,-0.061631702,0.801561,-0.0388396,-0.32001972
1978-10-01,0.099192165,-0.07442317,0.2593183,0.1672196,-0.050351936,0.60178125,-0.3033908,-0.15268378
1978-11-01,0.083493516,0.09663387,0.5684071,0.32199657,-0.1208214,0.4594469,-0.3817677,-0.44281793
1978-12-01,-0.15826556,-0.008023751,0.8415634,0.13582231,0.01104719,-0.07233004,-1.1599551,-0.20582664
1979-01-01,-0.19676319,0.06722371,1.2223709,0.21728723,-0.09890213,-0.07555232,-1.1024984,-0.12418537
1979-02-01,0.27067953,0.08194747,1.328858,0.21059461,-0.06439793,-0.031380974,-1.3113085,-0.08982991
1979-03-01,0.06410048,-0.0002974391,1.0409263,0.31128147,-0.09191205,0.37642303,-0.5336253,-0.15809469
1979-04-01,0.021713829,-0.010708207,0.69796646,0.208215,-0.1273086,0.43531808,-0.0737676,-0.15898705
1979-05-01,-0.05859766,0.020375323,0.39798814,0.24182686,-0.16196153,0.61200345,0.013385248,-0.37419215
1979-06-01,-0.06692625,0.037032533,0.5255942,0.2497093,-0.10247153,0.99140084,0.6096238,-0.09220953
1979-07-01,-0.029744994,0.05160756,0.5037316,0.22665691,-0.25893024,0.74392253,0.24985802,-0.08254242
1979-08-01,0.053541005,0.0759985,0.47636622,0.22903652,-0.124036655,0.959425,-0.10217409,0.048484374
1979-09-01,-0.03138099,0.11303101,0.11288228,0.111395024,-0.04788946,-0.07049565,-0.020077873,-0.104702376
1979-10-01,0.06752115,-0.012492895,0.32630268,0.32674885,-0.1255239,0.4820177,-0.18203941,-0.03480165
1979-11-01,0.09339931,-0.04313025,0.5035829,0.29120356,-0.016508484,0.07778318,-0.509978,-0.34355474
1979-12-01,0.16791055,0.009964573,0.94128054,0.21356912,-0.048930526,0.021862578,-0.93964463,-0.27216676
1980-01-01,0.26476893,0.048103057,1.1241564,0.17489573,-0.20144,0.47456294,-0.9396939,-0.48507294
1980-02-01,0.19402914,-0.02236725,1.300265,0.23189178,-0.17112294,0.20736866,-1.2240006,-0.24725237
1980-03-01,0.002560115,0.033685617,1.3214194,0.18068965,-0.10712025,0.32499886,-0.60674536,-0.22407666
1980-04-01,-0.18405822,-0.04527347,0.88269794,0.2154532,-0.021693539,-0.11897761,-0.45798963,-0.1443092
1980-05-01,0.17112294,0.02910437,0.43926042,0.2789169,-0.22461572,0.6107877,0.15751395,-0.33038855
1980-06-01,-0.018459713,0.02775693,0.5327717,0.23606881,-0.3148932,1.4156044,0.16290364,-0.023445178
1980-07-01,-0.056996066,-0.028161192,0.6587559,0.26476893,-0.17247036,1.0117811,0.11210574,0.19241223
1980-08-01,-0.16317312,0.07639899,0.41958803,0.15832241,-0.29373857,1.450907,0.14255753,-0.089199446
1980-09-01,-0.0885258,0.00094320776,0.1951071,0.11170151,-0.17678212,1.20864,0.0033685684,-0.038401604
1980-10-01,-0.0475641,-0.011587858,0.37094602,0.2785127,0.026140034,0.2341824,-0.15778343,0.022097755
1980-11-01,-0.056861322,-0.04096172,0.2901005,0.1583224,0.035437275,0.118438624,-0.8800031,-0.30478746
1980-12-01,0.21599218,-0.055648636,0.91719186,0.26288256,-0.021154571,0.014552164,-1.2130864,-0.6795062
1981-01-01,0.020573616,-0.034524154,1.1914347,0.17177515,-0.05509772,0.05411129,-1.4261987,-0.1531744
1981-02-01,-0.13062802,0.056084108,1.291907,0.25928324,-0.118368484,0.3035305,-0.7093652,-0.52659863
1981-03-01,-0.14415583,0.0063411715,0.8409796,0.23800507,-0.18643036,0.06820278,-0.9656893,-0.5088433
1981-04-01,-0.01831894,-0.04030161,1.0092318,0.29338464,-0.2132041,1.0651749,-0.24843283,-0.5254713
1981-05-01,-0.1442968,-0.0025364875,0.19784442,0.25392857,-0.2637926,0.49785203,0.030719375,-0.35397798
1981-06-01,-0.1375329,0.051292993,0.024237346,0.019728089,-0.21137218,1.2848612,0.047065545,-0.55886817
1981-07-01,-0.09159465,-0.0054956437,0.6336939,0.24998288,-0.22461824,1.2063718,0.33058614,-0.0032410622
1981-08-01,-0.14979248,0.05411129,0.35721904,0.13161445,-0.08328066,0.585642,0.08933997,-0.13584185
1981-09-01,-0.08764901,0.0155006405,0.27379745,0.1442968,-0.09384928,0.5704231,0.06622992,-0.1817801
1981-10-01,-0.22870469,-0.021841813,0.23532772,0.27337474,-0.1388011,0.70401037,-0.26703352,-0.37173328
1981-11-01,-0.19108053,-0.09215827,0.8587349,0.35158244,-0.1444377,-0.21038589,-0.7288114,0.09497657
1981-12-01,0.15528813,-0.0005636692,0.9668164,0.22898655,-0.127387,-0.20418549,-0.7290932,-0.35059604
1982-01-01,0.45453486,0.0380553,1.1483127,0.32639757,-0.10312195,-0.21076791,-1.3375248,-0.40623388
1982-02-01,0.0894167,-0.017297864,1.1758561,0.18601866,-0.033531237,0.13518953,-1.1243618,-0.7708198
1982-03-01,0.28887448,0.02009213,1.0893668,0.33278447,-0.22434011,0.42805582,-0.7822629,0.13026628
1982-04-01,0.06692946,-0.009846496,0.8498577,0.23099312,-0.1586082,0.34263095,-0.14596744,0.3035111
1982-05-01,0.12654062,0.030870056,0.1929378,0.26918152,-0.18788151,1.3460406,0.07877185,-0.3907989
1982-06-01,0.0525589,0.069989845,0.51600885,0.219683,-0.27144355,0.82324564,0.013306046,-0.3221396
1982-07-01,-0.057216026,0.056816865,0.8424064,0.32400244,-0.24163797,1.3066547,-0.03246679,-0.00452404
1982-08-01,-0.004524088,0.079836346,0.9685478,0.23578334,-0.106315374,0.8726112,0.081832245,-0.11323452
1982-09-01,0.058014393,-0.029140282,0.31122866,0.14982621,-0.18695009,0.909735,-0.013705254,-0.20411496
1982-10-01,-0.077840425,0.07384863,0.2671856,0.23032784,-0.026745176,0.5585882,-0.29526138,0.009181166
1982-11-01,0.120286725,0.15554781,0.9173195,0.26665336,-0.10471866,0.5611164,-0.6032965,-0.071852684
1982-12-01,0.17510776,-0.088485286,1.0755285,0.08422732,-0.03153534,0.16792242,-0.782396,-0.45732912
1983-01-01,0.054191947,-0.040778063,1.2490975,0.09537245,-0.03755877,-0.010999357,-0.9668701,-0.28397113
1983-02-01,-0.0516433,0.06894715,0.9902102,0.24466857,-0.21046329,-0.24976583,-0.69416654,-0.12971191
1983-03-01,0.09215314,-0.08209274,0.6824966,0.25057068,-0.32863924,0.18953764,-0.5321273,-0.16619757
1983-04-01,-0.23729095,-0.005231428,0.74004185,0.2938974,-0.22830367,-0.038766004,-0.09362866,0.2462782
1983-05-01,-0.082897566,-0.05700884,0.7832346,0.2718987,-0.09778695,0.67632616,-0.16928276,-0.27417907
1983-06-01,0.023071814,0.021730429,0.4871909,0.28611737,-0.40322024,0.84842587,0.07337375,-0.41663408
1983-07-01,-0.026961828,0.032595657,0.7714304,0.1691486,-0.22360882,1.1254218,-0.082897566,-0.17987975
1983-08-01,-0.038229465,0.014486981,0.6486937,0.23742509,-0.06250854,0.51750624,0.16150272,0.15640545
1983-09-01,-0.102884196,0.09027519,0.30757952,0.23112059,-0.196647,0.95117587,-0.12877293,0.15761271
1983-10-01,0.02494974,0.023340082,0.24520512,0.3158961,-0.056740575,0.869888,-0.2716304,-0.11737116
1983-11-01,0.27002072,-0.06103301,0.4013423,0.25580207,-0.24037614,0.15251549,-0.49269065,-0.22776711
1983-12-01,0.34151655,0.08705588,1.0022826,0.23608372,-0.23232785,-0.10596943,-0.79959947,-0.4468152
1984-01-01,0.017112255,-0.029051041,1.0865623,0.15573487,0.068316385,0.05796945,-1.0906745,-0.8323988
1984-02-01,-0.06367352,0.035683703,1.0463684,0.16594915,-0.025469411,-0.19062264,-0.4301943,-0.4304596
1984-03-01,0.16303077,0.039530657,0.95682746,0.27631658,-0.04735718,0.2447451,-0.5437454,-0.5551536
1984-04-01,-0.09683683,0.0009285688,0.7008068,0.19990835,-0.14910218,-0.20362262,-0.19685733,-0.39809218
