,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8
1980-07-01,-0.094200894,-0.35620707,0.645562,0.18772621,1.314421,-0.513546,0.039503478,0.4794449
1980-08-01,-0.039165877,-0.58985215,0.39030838,0.3251446,0.7016098,-0.80425185,0.047269057,0.79851186
1980-09-01,0.29543227,0.18907662,0.40482673,0.09892769,0.8305874,-0.9494356,0.05604782,0.81674385
1980-10-01,0.24377403,-0.638134,0.6003189,0.16713028,0.52131194,-0.25694162,0.02768631,1.6503704
1980-11-01,0.07596855,-0.38051718,1.1884826,-0.21271133,0.21878871,-0.49801484,0.030724715,0.5689186
1980-12-01,0.08170815,-0.19785538,1.7766464,-0.9902897,1.068959,-0.33628654,0.030049514,-0.49396306
1981-01-01,0.11158371,-0.65445364,1.6818321,-1.1925519,0.7018032,-0.27345353,0.052121352,-0.38797417
1981-02-01,-0.19086686,-0.8221962,1.3221214,-0.5766388,0.34612998,-0.4136673,0.071942136,0.08699131
1981-03-01,-0.051387407,-0.45808107,0.94295657,0.030098725,0.0011013031,-0.3266762,0.06460114,0.9264391
1981-04-01,-0.03707199,0.08992767,0.8893669,-0.4246788,0.4452343,-0.8511936,0.088459775,0.52304876
1981-05-01,0.057260133,0.57847404,0.4819397,-0.050286103,0.8555981,-0.22243348,0.07928314,0.53552896
1981-06-01,-0.036705017,-0.50249404,0.94699365,0.15416184,-0.17838745,0.5127716,0.060930632,-0.35163575
1981-07-01,-0.012846756,-0.24849434,0.43238753,0.25987282,0.7590637,-0.3152973,0.045147706,1.0090259
1981-08-01,-0.08882675,0.25950584,0.23968545,0.18903199,0.5414017,0.04808388,0.06276588,0.3494335
1981-09-01,0.07818184,-0.38430327,0.07597961,-0.13030358,0.42394486,-0.78475684,0.044413377,1.4491211
1981-10-01,0.16040154,-0.69042474,0.42504653,-0.085890196,0.6148121,-0.3879738,0.024959564,0.39347953
1981-11-01,0.17288132,-0.5762714,0.97268754,-0.70106924,0.75282365,-0.2712513,0.03413582,1.1866791
1981-12-01,0.116355516,0.09836998,1.1466701,-0.8798233,0.6247223,-0.03780632,0.041476823,0.14902306
1982-01-01,-0.016176606,-0.5085949,1.2355744,-0.7072441,0.63768464,-0.98774755,0.027500153,-0.08411884
1982-02-01,-0.040441513,-0.73700905,0.8434517,-0.49985924,1.1792796,-0.58494836,0.058236312,-1.0362775
1982-03-01,-0.24944457,0.2187088,0.74542123,-0.45682946,0.69656754,-0.41768187,0.067618564,1.1475735
1982-04-01,-0.07279472,-0.058883287,0.1766491,-0.5868896,0.35523987,-0.43677026,0.026529694,0.7480095
1982-05-01,-0.15982552,-0.6771555,0.6189194,-0.29894486,0.46071166,-0.9421295,0.046912383,0.68589133
1982-06-01,-0.079265594,0.27791518,0.33323938,0.1863552,1.1368968,-0.21288529,0.081530765,1.7027566
1982-07-01,-0.14785461,0.38015175,0.55583036,0.07117768,1.1330143,-0.25915033,0.04529495,1.2151916
1982-08-01,-0.03073578,0.2552681,0.5726547,0.079589084,1.2417214,-0.88259965,0.058235932,0.776157
1982-09-01,0.1582077,0.17729607,0.21094361,0.05564804,0.9547474,-0.46232948,0.05111847,0.87839353
1982-10-01,0.12067795,-0.19994374,0.434182,0.17567864,0.47688827,-0.51538885,0.028147507,0.40959358
1982-11-01,0.13070755,-0.56618345,0.6247433,-0.12682495,0.47591782,-0.8308338,0.05953026,0.99033624
1982-12-01,0.044647597,-0.691391,1.192868,-0.3222397,1.1307495,-0.42091712,0.04723587,0.6101843
1983-01-01,0.064423755,0.09793739,1.750507,0.119738005,0.8300266,-0.56647456,0.043600082,-0.4896862
1983-02-01,-0.21800002,-0.894125,1.8793548,0.1961998,-0.21376991,-0.6878384,0.064423755,-0.7590958
1983-03-01,-0.15162392,-0.49066275,1.6681877,-0.10086556,0.1034687,-0.34131622,0.07874031,0.23068962
1983-04-01,-0.18643875,-0.7779671,0.4831791,0.029283524,-0.38328972,-0.077113345,0.092731476,0.46235505
1983-05-01,-0.20042953,-1.0350116,0.88696706,-0.25867158,0.721352,-0.47081488,0.0790657,1.0873966
1983-06-01,-0.12657014,-0.35140306,1.0024742,0.06767769,0.2609493,-0.69987756,0.08785057,1.0737312
1983-07-01,-0.118435666,-0.66115797,0.37125093,0.11095238,0.81278193,-0.16008338,0.0670269,1.6502922
1983-08-01,0.07223282,-0.37678224,0.7200508,0.10477028,1.0724297,-0.59543264,0.024077605,0.4408802
1983-09-01,0.013014984,0.25281486,0.8085518,0.0061820983,0.67612535,-0.06539993,0.05433731,0.6354534
1983-10-01,0.3045494,-0.5053047,0.50497895,0.13665695,0.5284058,0.104444504,0.062146377,0.90941775
1983-11-01,0.3296028,-0.5105106,1.0584385,-0.5092087,0.006507111,-0.62699395,0.08362083,0.66311055
1983-12-01,0.16171035,-0.15487786,1.4736145,-0.87167436,0.8664684,-0.36441803,0.067352295,0.25867158
1984-01-01,-0.04912758,0.06400375,1.6212009,-0.7043888,1.8301647,-0.5570065,0.073691174,-1.1153972
