,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1984-07-01,4.040352,1.3794365,2.7583199,3.2918167,2.3922577,4.8053055,1.9014397
1984-08-01,4.0190125,1.5731354,2.582676,3.3000221,2.2215385,4.838135,1.860405
1984-09-01,4.2521095,1.3466034,2.6696777,3.3640442,2.2395973,5.1779327,1.7520638
1984-10-01,5.1746483,1.1693192,3.231079,4.099449,2.602375,6.5010033,1.8965149
1984-11-01,5.8230515,1.8784599,3.9796143,4.6723404,3.6496696,7.165821,3.0275307
1984-12-01,6.254772,2.3348045,4.611603,5.4011803,4.004238,7.567997,3.4477615
1985-01-01,7.808342,2.240261,5.9249725,6.988056,4.9160233,7.988804,3.74794
1985-02-01,6.8945465,2.169716,5.331085,6.2973785,4.1662865,6.2169914,3.167179
1985-03-01,5.3540535,2.4026756,5.19656,5.5722504,4.397606,4.6551743,3.4805298
1985-04-01,4.343464,2.6061058,4.38776,4.871727,3.5855255,3.4444351,2.9719543
1985-05-01,3.347641,2.4748611,3.8578568,3.8709831,3.539589,2.7275085,3.1622581
1985-06-01,3.0507011,1.9548035,3.759426,3.5477905,3.193428,2.4354858,2.5847778
1985-07-01,2.783287,1.6234093,3.3115501,3.3017082,2.9145317,2.2894783,2.2419014
1985-08-01,2.6569633,1.6381721,2.6323547,2.857113,2.3501778,2.3468971,1.9564438
1985-09-01,3.167179,1.0885849,2.6881332,3.0835114,2.169716,2.7964134,1.6562195
1985-10-01,3.5970078,1.0508499,3.124527,3.54451,2.3846283,3.1212425,1.7316856
1985-11-01,4.509163,1.7103577,3.7446594,4.3729973,3.1753845,4.0383186,2.5289993
1985-12-01,5.7428665,2.29768,5.244137,5.885597,4.269642,4.942272,3.4231071
1986-01-01,7.616379,2.1511154,6.1959343,7.4638367,4.5573387,6.5453033,3.3681679
1986-02-01,6.7372093,2.1757202,6.179531,6.9766846,4.877186,5.9679413,3.5338326
1986-03-01,6.1598473,2.2118034,4.857502,5.738308,3.7601852,5.7678337,2.8432922
1986-04-01,4.6278687,2.047779,4.0242615,4.670517,3.3140411,4.3342667,2.7202759
1986-05-01,3.9291306,1.7607384,3.09589,3.7651062,2.5988998,3.976696,2.2036018
1986-06-01,3.0811272,1.4868202,2.1773567,2.3840294,1.9952927,3.7257385,1.7230148
1986-07-01,2.584137,1.4786186,1.7525368,2.0494194,1.667244,3.2156258,1.5803146
1986-08-01,3.0270004,1.0324745,2.356144,2.5710144,2.0002136,3.7749481,1.5097847
1986-09-01,3.4813461,0.8635292,2.6120224,2.9449883,2.0428581,4.2178116,1.4392548
1986-10-01,4.0406647,1.0078697,3.0893288,3.4583817,2.4808006,5.090416,1.7344971
1986-11-01,5.2757607,1.2588272,3.5781174,4.4589233,2.7137146,6.335354,2.0215378
1986-12-01,6.291069,1.703331,4.6065445,5.5382004,3.612564,7.1325073,2.7547226
1987-01-01,7.499874,1.8050079,5.3279533,6.4621086,4.1568527,8.561737,3.135151
1987-02-01,9.128815,2.0636482,6.071739,7.554493,4.375328,10.974625,3.0355492
1987-03-01,7.514332,1.5463715,4.9424057,6.30307,3.5592537,8.80431,2.4604416
1987-04-01,5.623539,1.8532028,3.6765213,4.5456123,2.8524132,6.5263634,2.2066193
1987-05-01,4.3110695,1.5383377,2.9986,3.646,2.494175,4.971321,2.081318
1987-06-01,3.739174,1.710228,2.3206787,2.9777184,2.0700722,4.288582,2.0491905
1987-07-01,2.8749046,1.2572098,2.1070213,2.4829292,1.6652489,3.2974014,1.3921509
1987-08-01,2.4989967,1.3616295,2.172886,2.2901573,2.0138474,2.5937767,1.7825165
1987-09-01,2.6500015,1.0066032,2.2740936,2.5969887,1.8532028,2.3335304,1.4098206
1987-10-01,3.271698,1.0483704,3.0034218,3.3745117,2.4234924,2.8010063,1.7632408
1987-11-01,4.3512306,1.4242783,3.594593,4.246811,2.7351418,4.009056,2.1005936
1987-12-01,6.4203377,2.116661,5.9255524,6.3287697,4.841198,6.317528,3.589775
1988-01-01,5.386471,1.8736153,4.8018074,5.516754,3.9240036,5.1568375,3.1699677
1988-02-01,5.3457565,1.9355011,4.7562065,5.2545547,3.6943703,5.5395546,2.7888794
1988-03-01,6.8131065,2.9403381,5.6568146,6.6811943,4.469578,6.1030464,3.6585426
1988-04-01,4.9907227,2.0820732,4.511921,4.9597816,3.919117,4.601494,3.210682
1988-05-01,3.9549446,2.2221336,3.5868874,3.8572311,3.26931,3.7448578,2.8279648
1988-06-01,2.8426247,2.0169334,2.810051,2.8295937,2.6374207,2.8849678,2.2530746
1988-07-01,2.455021,1.7221565,2.1830482,2.1048737,2.0234451,2.8621674,1.7596169
1988-08-01,3.5152283,1.5755844,2.9012527,3.148796,2.349163,3.8083725,1.8426743
1988-09-01,4.024975,2.2970467,3.3230553,3.5282555,2.7742233,4.581951,2.337761
1988-10-01,4.2953186,1.4534416,3.3605118,3.9451752,2.7888794,4.884865,2.1960754
1988-11-01,4.8311234,1.9127007,4.305092,4.8555527,3.7383423,5.2903824,3.0657387
1988-12-01,5.489071,1.8312721,4.285549,5.2757263,3.4989433,5.534672,2.8295937
