,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1982-08-01,1013.30646,1016.5864,1009.75977,1018.3585,1026.845,1016.04016,1019.945
1982-09-01,1013.54865,1016.50104,1011.01636,1019.784,1018.7486,1013.5913,1018.96967
1982-10-01,1012.9447,1016.26483,1009.9761,1020.9288,1015.825,1011.67377,1009.9436
1982-11-01,1011.0025,1014.24634,1008.0549,1017.2498,1018.34235,1021.7761,1020.1127
1982-12-01,1010.21643,1013.43024,1008.6624,1017.9138,1012.22,1018.12604,1015.92236
1983-01-01,1008.93787,1012.01935,1007.3267,1015.892,1013.51935,1013.4981,1011.88055
1983-02-01,1009.1808,1012.2919,1008.6731,1015.9229,1015.757,1018.21844,1015.51154
1983-03-01,1009.53876,1012.75525,1009.9738,1017.83026,1016.82,1017.18634,1019.5301
1983-04-01,1009.8768,1013.60547,1009.9153,1018.30194,1016.97815,1017.4595,1020.46576
1983-05-01,1010.2926,1014.64276,1010.74634,1017.5835,1020.2685,1023.08655,1014.80396
1983-06-01,1012.03033,1016.69604,1011.0837,1020.84106,1020.36237,1013.35486,1015.06494
1983-07-01,1012.772,1016.84186,1010.9532,1020.1682,1020.88416,1024.208,1015.6568
1983-08-01,1014.8336,1018.2673,1012.1512,1023.8352,1022.7163,1019.1175,1019.1149
1983-09-01,1014.7424,1019.1426,1011.55023,1024.2047,1017.5411,1017.43634,1017.356
1983-10-01,1013.8908,1017.2307,1010.65955,1021.5268,1014.67804,1024.0016,1020.8379
1983-11-01,1013.87085,1016.83545,1010.2482,1021.9645,1014.87665,1022.40656,1016.1195
1983-12-01,1013.24493,1015.67993,1009.82477,1019.6689,1014.90875,1017.1716,1015.8072
1984-01-01,1012.20135,1014.4135,1009.66284,1017.62604,1011.9253,1016.4226,1013.88275
1984-02-01,1010.0807,1012.76697,1008.79346,1018.2045,1012.89655,1017.517,1016.0117
1984-03-01,1011.3758,1013.91943,1009.8582,1018.7444,1014.7154,1016.8295,1019.1004
1984-04-01,1012.56445,1015.5454,1010.3271,1017.348,1018.21295,1017.628,1013.0991
1984-05-01,1013.4777,1016.76117,1010.2762,1019.0514,1020.86365,1018.549,1018.3226
