,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8
1982-12-01,83.184975,85.03484,69.384964,47.28307,65.340996,62.96673,74.39247,57.64876
1983-01-01,79.39157,81.44567,64.45614,47.983326,74.3523,60.85986,66.0991,56.338913
1983-02-01,77.31347,79.031624,66.44945,45.4253,75.21458,60.931847,73.08048,52.688244
1983-03-01,79.39957,80.49541,64.96166,34.382103,75.201775,69.91934,73.486824,58.70977
1983-04-01,80.378624,80.18025,77.97897,26.495245,80.65059,81.29529,80.127464,59.26009
1983-05-01,82.57191,82.12557,85.3251,31.28815,80.60259,82.104774,82.28395,69.489006
1983-06-01,85.61787,83.56056,80.82496,38.834255,79.431564,82.931854,83.255005,60.469517
1983-07-01,85.83223,84.40364,89.46211,38.602287,73.58601,89.43651,83.66295,76.3792
1983-08-01,85.3795,83.56536,84.77959,49.835857,69.60739,85.16993,84.0293,74.59067
1983-09-01,83.918915,83.76853,74.123535,47.88894,76.08005,81.57205,82.78308,76.25282
1983-10-01,83.846924,82.47432,73.45643,51.18766,78.09576,72.46137,80.62819,73.41963
1983-11-01,85.75224,84.06769,67.90044,43.166428,61.87891,58.765762,78.88124,57.367565
1983-12-01,83.22621,85.720245,65.559975,51.179665,62.39084,57.657124,78.15815,52.835423
1984-01-01,83.83175,85.397766,66.04087,43.809654,70.16603,57.148712,68.5163,48.207306
1984-02-01,83.12918,83.967995,64.95418,34.67291,78.72824,61.68261,72.29181,47.089428
1984-03-01,79.783745,84.62789,66.76807,24.902533,78.36218,64.762115,73.27344,51.30487
1984-04-01,83.52807,84.07962,71.860085,21.274757,82.9207,73.29314,86.41223,63.44397
1984-05-01,80.88028,83.53299,79.16653,35.185066,80.707924,81.270966,85.20407,65.51066
1984-06-01,83.5018,83.375404,87.0475,43.9262,78.52141,91.18579,86.13317,75.76856
1984-07-01,82.784454,83.62656,92.696,50.75496,69.3781,84.243774,84.15513,81.1971
1984-08-01,85.00873,81.19546,82.172165,59.200623,71.7025,84.201096,84.63774,80.46497
1984-09-01,81.21352,83.84817,82.170525,50.676167,78.39829,79.85597,80.986984,74.31909
1984-10-01,84.05828,85.148254,74.11062,32.305824,72.751434,71.525215,80.957436,66.03594
1984-11-01,83.665955,84.27168,62.98927,44.082146,72.82858,71.72384,83.28348,72.52326
1984-12-01,84.32421,84.45225,66.67122,52.9661,74.521,64.760475,71.45463,59.548626
1985-01-01,83.317024,80.152374,65.06081,52.72211,76.25931,61.23829,66.71778,66.01726
1985-02-01,79.947296,82.52627,70.19086,38.83308,83.09062,65.76461,67.49705,67.62337
1985-03-01,81.44186,83.01352,72.0004,26.702738,80.40173,78.190254,76.370865,62.8969
1985-04-01,84.28988,82.76743,78.739845,28.56806,75.40621,73.82143,82.439316,58.181915
1985-05-01,85.02321,81.85528,81.67482,43.879463,78.91046,82.18831,85.46452,74.28899
1985-06-01,84.68198,82.386826,84.38667,35.509293,78.83664,86.93447,83.86005,70.89137
1985-07-01,83.76161,83.794426,89.24275,46.676624,73.73776,86.26184,81.05468,82.01113
1985-08-01,84.44081,81.84708,87.64976,51.67707,74.823814,84.50807,82.89212,82.55744
1985-09-01,84.34238,83.382645,74.021576,53.455444,77.5045,80.160576,81.93895,78.17549
1985-10-01,84.531044,83.8174,75.19786,40.755825,72.274376,69.56416,79.04499,73.55566
1985-11-01,83.243195,85.413666,72.31375,40.66067,68.36491,62.31778,74.690926,64.14045
1985-12-01,84.6426,83.5303,67.84813,46.68975,70.996376,61.814125,72.44007,64.53583
1986-01-01,82.55214,84.75169,66.41879,43.112698,68.39528,59.319855,69.9699,60.04976
1986-02-01,82.96384,81.98298,66.36466,42.0039,68.797134,58.668682,64.92782,51.920757
1986-03-01,84.06772,83.59697,69.86984,37.821297,71.32637,65.68069,74.50843,58.402966
1986-04-01,83.432945,81.781235,75.06119,20.278988,83.82332,73.61778,72.32036,54.72228
1986-05-01,84.82715,81.04805,81.344925,24.815878,71.964424,76.655495,78.15795,59.095142
1986-06-01,84.479416,81.83536,89.262344,36.253235,82.68992,84.49582,85.78176,68.82173
1986-07-01,85.25853,82.70632,90.70083,39.799423,73.69487,86.14262,83.719986,79.62924
1986-08-01,82.48981,81.66477,87.4384,43.33741,67.13229,77.042595,86.66093,78.650024
1986-09-01,85.26181,83.78888,77.54942,36.07773,65.93492,81.79435,79.0486,71.79712
1986-10-01,84.04311,84.87963,71.9267,47.577415,64.02241,63.96172,79.650566,61.416077
1986-11-01,85.15683,85.26837,66.7534,43.82456,75.22029,68.985756,76.06173,59.006573
1986-12-01,83.16231,79.34712,63.858383,59.997272,65.92672,61.420998,72.205536,66.16784
1987-01-01,83.13957,81.74356,67.06222,45.588802,70.32813,60.94807,72.87275,66.47265
1987-02-01,81.09135,84.25926,67.75139,34.550884,71.88478,65.64212,71.47996,64.24933
1987-03-01,83.85765,82.46968,70.598015,29.754025,84.30907,73.61332,76.895294,63.1473
1987-04-01,84.142,79.62466,75.23584,23.26718,75.7499,76.098495,76.18043,66.99796
1987-05-01,81.2552,82.856834,85.78539,23.731443,80.577286,81.49938,79.55558,63.497505
