,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5
1991-11-01,-5.3488464,2.5350037,-11.90506,-1.6651917,-8.494965
1991-12-01,-4.0720215,2.9688416,-10.000641,-0.64141846,-6.9851074
1992-01-01,-2.1912537,3.166504,-8.394226,0.24908447,-4.7400513
1992-02-01,-1.7511292,3.0112915,-7.560791,0.95269775,-4.255371
1992-03-01,-2.0028687,3.0487366,-7.4971924,0.79782104,-5.9776917
1992-04-01,-2.916809,3.2600098,-8.795746,0.24572754,-6.8092957
1992-05-01,-4.265167,2.784027,-11.071686,-0.64105225,-7.850067
1992-06-01,-5.3769226,2.4022217,-12.317627,-1.5120544,-8.982666
1992-07-01,-5.755554,2.2788696,-13.08374,-1.769104,-9.203857
1992-08-01,-6.095093,2.0497742,-13.504181,-2.0030518,-9.832092
1992-09-01,-6.3237915,1.7910461,-13.228149,-1.8902283,-10.186218
1992-10-01,-5.9098816,2.0107117,-12.891724,-1.578064,-9.898254
1992-11-01,-4.992737,2.6038208,-11.383179,-0.64105225,-8.059845
1992-12-01,-3.4321594,2.6744385,-9.346436,-0.5239258,-6.7390137
1993-01-01,-1.3225708,3.0300293,-8.257996,0.34243774,-4.6847534
1993-02-01,-1.3540344,2.976654,-7.179596,0.919281,-4.529022
1993-03-01,-1.6141357,2.8232727,-7.3875427,0.97354126,-5.569977
1993-04-01,-2.8027344,2.8020325,-9.523193,0.17681885,-6.6123657
1993-05-01,-3.4761047,2.76474,-10.983246,-0.4565735,-7.7984924
1993-06-01,-4.665924,2.4892883,-12.335876,-1.0683289,-9.148193
1993-07-01,-5.6034546,2.1269226,-12.728455,-1.8596497,-9.35556
1993-08-01,-5.749176,2.0294495,-12.544678,-1.9434509,-9.201019
1993-09-01,-6.530121,1.9825745,-13.115051,-1.673523,-9.784576
1993-10-01,-6.3039856,2.222351,-12.74173,-1.1861572,-9.499451
1993-11-01,-5.3794556,2.6004639,-11.29129,-1.1730957,-9.198364
1993-12-01,-3.9004517,3.0057068,-10.048218,-0.8439026,-7.039398
1994-01-01,-1.9450684,3.3157654,-8.179779,0.09786987,-5.0231934
1994-02-01,-1.6998901,3.2922058,-7.9218445,-0.28512573,-4.8005676
1994-03-01,-1.9700623,3.3201904,-7.801697,-0.0791626,-5.725891
1994-04-01,-2.866455,3.3055115,-8.92218,-0.21054077,-7.280884
1994-05-01,-4.026703,2.8960266,-10.346252,-0.6994324,-8.035553
1994-06-01,-4.967163,2.6921082,-11.109711,-0.97595215,-8.945648
1994-07-01,-5.495392,2.4174194,-11.912537,-1.215332,-9.124237
1994-08-01,-6.0881042,2.236145,-12.748474,-1.7212524,-9.056885
