,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6
1985-08-01,-0.010293245,-0.07044856,0.18193641,-0.036226846,-0.35224277,0.10493763
1985-09-01,0.030612374,-0.06456671,0.031949162,0.30104387,-0.38058263,0.3640065
1985-10-01,-0.15239346,-0.023928452,0.12311788,-0.085420534,0.16402349,0.15225983
1985-11-01,-0.12953444,0.011095285,0.07098327,-0.16081521,0.13006917,0.1891551
1985-12-01,0.6225407,-0.089698315,-0.0903667,-0.16148362,0.19557159,0.082078554
1986-01-01,-0.068301775,-0.28059483,0.07154198,-0.6626703,-0.2681528,-0.054304503
1986-02-01,-0.07076435,-0.06519131,0.0828176,0.2551922,0.15435955,-0.5797232
1986-03-01,-0.060266353,0.15669243,-0.058970284,0.3128664,0.2376956,-0.62793636
1986-04-01,0.13232672,-0.052749254,-0.07724459,0.4762984,0.016848613,0.032789994
1986-05-01,0.14632405,0.077763,-0.029031515,0.29057443,-0.3761137,-0.10485045
1986-06-01,-0.08242878,-0.04069597,-0.022810483,0.4012571,-0.084891275,-0.2120338
1986-07-01,-0.008035505,-0.14710169,0.05015714,-0.1321971,-0.5493956,0.29096323
1986-08-01,-0.06946828,-0.060266327,0.083724834,0.1009623,-0.4744839,0.4718918
1986-09-01,-0.01736707,0.11158991,0.057026207,-0.13751082,-0.5928133,0.26556066
1986-10-01,0.053526867,0.055989362,-0.021514434,-0.21475545,0.7107539,-0.24158373
1986-11-01,-0.11366358,-0.15073061,0.023458505,0.022421647,-0.08139191,-0.53047323
1986-12-01,0.16058064,-0.06843145,-0.0012960434,-0.69338673,-0.622752,-0.2519521
1987-01-01,0.21736889,-0.10942681,0.00029695034,-0.3820288,-0.43622246,0.30274257
1987-02-01,0.62686574,-0.18351635,-0.012026548,-0.14684276,-0.05656929,-0.69056195
1987-03-01,0.15411809,0.017817115,-0.029695202,0.045879077,0.01321435,-0.33540732
1987-04-01,-0.0103933215,-0.12382899,0.04721539,0.2821043,-1.1022859,-0.028358936
1987-05-01,0.03875222,-0.077949904,-0.0426126,-0.1450611,-0.75707906,0.21291462
1987-06-01,0.08804627,-0.11566281,0.13437076,0.31150264,-0.32070822,-0.31952035
1987-07-01,0.011432648,-0.051521182,0.110911585,0.16510534,-0.56420887,-0.3101664
1987-08-01,0.056123924,-0.037267495,0.07750444,0.6191449,-0.7374803,0.012175011
1987-09-01,-0.07453494,-0.059687365,0.10660577,0.6136514,-0.5328804,-0.0048996927
1987-10-01,-0.0011878132,0.09131274,0.0,1.0644245,-0.18529812,-0.38692856
1987-11-01,0.15382111,-0.124125935,0.049739458,-0.029101301,-0.3303591,-0.4954644
1987-12-01,0.2160326,-0.10719967,-0.024053121,0.24602476,0.10853596,-0.04706689
1988-01-01,0.096945,-0.11796107,0.04718443,0.20256767,0.6710223,-0.6399728
1988-02-01,0.5605185,-0.5546883,0.0042032124,0.10846996,-0.03986271,0.1494174
1988-03-01,0.31781697,-0.07267489,-0.03810007,-0.21829578,0.1692131,-0.53950244
1988-04-01,0.08108129,-0.2300919,0.07267487,0.039591502,0.2665649,-0.30588526
1988-05-01,-0.052607916,-0.25151473,0.096673824,0.08013218,0.27564925,0.23687129
1988-06-01,0.04298122,-0.1521291,0.18277188,0.82952404,-0.12352018,-0.5801786
1988-07-01,-0.06575991,-0.030913938,0.032405414,0.050438546,-0.34086683,0.078776315
1988-08-01,0.08840302,-0.0984365,-0.018846655,0.1662302,-0.15823056,-0.19104269
1988-09-01,0.023863386,-0.09640268,0.09030123,-0.4067623,-0.14765473,0.32649454
1988-10-01,-0.087996244,-0.07809837,0.11891019,0.3616117,0.09531794,-0.3008685
1988-11-01,-0.07945423,-0.09802973,-0.0345748,0.5035718,-0.008406448,-0.31361374
1988-12-01,0.6106858,-0.08555565,-0.0637261,-0.44337097,-0.5220117,0.4510994
1989-01-01,-0.0025013448,-0.04085542,-0.0055982647,0.29718456,0.05991335,0.22726575
1989-02-01,-0.12697344,-0.08516507,-0.0009528935,0.539101,0.16937728,-0.54994017
1989-03-01,-0.049193285,-0.10553324,-0.025013518,-0.35340533,0.124472044,0.04359498
1989-04-01,0.0080996035,-0.0783757,-0.023345953,0.05598273,0.19308057,-0.10398483
1989-05-01,-0.12816454,-0.16532747,0.08111527,0.0951705,-0.31302637,0.4750186
1989-06-01,0.07301567,-0.017747689,0.07932861,-0.12149427,0.23500797,0.349832
1989-07-01,0.00726583,-0.11232264,0.0962425,0.3655548,-0.84783924,-0.16234966
1989-08-01,-0.009052515,0.03358959,0.05896046,0.209518,-0.37413085,-0.2720518
