,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6
1994-09-01,2.6496007,-2.1852047,2.1610076,0.84390444,-0.040410623,-4.804142
1994-10-01,2.4667048,-3.4740937,1.6843013,-0.6381569,0.49311236,-7.3088636
1994-11-01,2.0915864,-5.1390767,0.6242327,-2.0890675,0.90244913,-9.654785
1994-12-01,1.3799962,-6.7481523,-0.7488093,-3.7600205,1.1578488,-12.556054
1995-01-01,0.93429,-7.890253,-1.9876286,-5.0987873,1.7266406,-14.541058
1995-02-01,0.40878785,-8.675012,-2.8215656,-6.008619,1.7157701,-17.09634
1995-03-01,0.42238134,-9.023052,-2.9876447,-6.303582,1.9017315,-17.354347
1995-04-01,0.8346047,-8.713806,-2.5348196,-6.0766373,1.48224,-16.582912
1995-05-01,1.5590451,-7.270302,-1.0445888,-4.541772,1.3578168,-13.676327
1995-06-01,2.0502534,-5.4192286,0.5973471,-2.1312954,0.6792642,-8.816358
1995-07-01,2.46344,-3.2450938,1.7924172,-0.06075504,0.108851545,-3.0946045
