,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1985-09-01,1.9781791,-1.9066374,0.72054493,6.1460876,1.1041809,2.3972254,-0.47826508
1985-10-01,1.655398,-5.824342,0.98592705,3.5624092,1.1216534,2.3152719,0.43223885
1985-11-01,1.4760388,-9.713788,0.97031206,0.7137133,0.3878489,1.0868363,0.71843797
1985-12-01,1.4377098,-13.426909,0.19645998,-3.3258035,-1.4121847,0.31306168,-0.48281106
1986-01-01,1.3994883,-15.382059,-0.15114293,-6.2802124,-2.95522,-0.5226261,-1.3849273
1986-02-01,1.495451,-17.489456,-0.042890895,-7.544316,-3.2187738,-0.33044258,-1.2393956
1986-03-01,1.580974,-17.793715,0.7887943,-7.2150397,-2.5818064,0.5335452,0.04175178
1986-04-01,2.1120822,-15.351787,1.8415453,-4.5759554,-0.6108205,1.7142509,1.6675472
1986-05-01,2.1747913,-10.01548,2.6085968,-0.6940605,0.99945426,2.4801893,2.4254522
1986-06-01,1.943654,-4.1117826,1.5175626,2.7871475,2.6588173,2.5448315,0.54217136
1986-07-01,1.8097458,-1.1072803,0.044340678,5.3388453,1.7260524,1.9342625,-1.644743
1986-08-01,1.7239292,1.2588906,0.023297641,7.581236,0.59700793,1.7384382,-1.7687265
1986-09-01,1.6169897,0.50766736,0.62749255,6.269453,0.6468667,2.3329382,-0.9660976
1986-10-01,1.6180203,-5.9172034,1.2680688,4.4432564,0.5607067,2.075411,0.30977258
1986-11-01,1.6668968,-10.446869,1.1030746,0.16358788,-0.31038493,1.3885039,0.680035
1986-12-01,1.4793173,-15.302722,0.10614216,-4.2808256,-2.2664137,0.28756046,-0.37220612
1987-01-01,1.2819524,-17.242044,-0.3255737,-6.8684654,-3.6884813,-0.4948735,-1.2490723
1987-02-01,1.433924,-18.103027,-0.27252355,-7.25271,-3.23667,-0.46237004,-1.4961401
1987-03-01,1.4552411,-18.110817,0.25219163,-6.3464417,-2.5081754,0.13096523,-0.61225975
1987-04-01,1.8989573,-17.439877,1.331663,-5.0661864,-1.1551142,1.2460018,1.0493361
1987-05-01,2.4697917,-11.953014,2.5966995,-0.7692634,0.85092676,2.289974,2.3371925
1987-06-01,2.030031,-5.790603,1.1842681,2.0415707,2.4028137,2.6598558,0.30038446
1987-07-01,2.0754921,-1.542542,0.5736875,4.3912554,2.3566983,2.5207684,-0.82532233
1987-08-01,2.061762,-0.09083411,0.87186813,6.8696165,1.495712,2.2819939,-0.6457377
1987-09-01,2.1006641,-3.6024175,1.1903812,5.2994995,1.0269535,2.3956852,-0.30276456
1987-10-01,1.8536022,-7.5675616,1.5568959,3.4280813,1.3643732,2.4024043,0.6773183
1987-11-01,1.7015992,-11.430244,1.4598961,-0.24493825,0.2515328,1.54104,0.62059134
1987-12-01,1.7063938,-14.144581,1.0263587,-3.527299,-1.8437891,0.49015194,-0.21704407
1988-01-01,1.301584,-16.947811,0.3783701,-6.418671,-2.459812,-0.18796322,-0.61425734
1988-02-01,1.6139885,-18.839031,0.4578858,-7.8108025,-2.683412,0.03594759,-0.5851601
1988-03-01,2.1007204,-18.007154,1.0709575,-6.8688574,-2.3244414,0.682591,0.1240456
1988-04-01,2.4078224,-14.802406,2.110007,-4.539379,-0.5338041,1.9258403,1.6996663
1988-05-01,2.113073,-10.896286,2.0237374,-0.5227521,1.4105574,2.2945569,1.3517529
1988-06-01,2.232257,-3.1357632,1.5566198,2.2927384,2.5709193,2.6259449,0.4012863
1988-07-01,2.263985,-0.04778774,1.0774407,5.3753204,2.716968,2.6403117,-0.61622703
1988-08-01,2.3036463,-0.15403482,0.52917844,7.504834,1.8634248,2.6160898,-0.8933463
1988-09-01,2.061533,-2.7747865,0.79515266,6.521056,2.1273077,2.807705,-0.5683959
1988-10-01,1.9810795,-5.8839793,1.4060435,4.396622,1.9015416,2.392781,0.51943254
1988-11-01,1.9058862,-9.87303,1.3931757,1.422664,0.7895578,1.5550544,0.78910947
1988-12-01,1.6688074,-13.224869,0.9796041,-3.064351,-0.6876139,0.32439333,-0.00013221428
1989-01-01,1.4375852,-16.808598,0.13109972,-6.6419053,-2.3058803,-0.3773953,-0.78483033
1989-02-01,1.4986215,-17.715824,0.35929856,-8.143818,-2.4996436,-0.4302589,-0.8239106
1989-03-01,1.817217,-17.519783,0.6943923,-7.0919404,-2.3771996,0.3662121,0.0022956077
1989-04-01,2.3283663,-14.469465,1.5958388,-4.875769,-0.9440862,1.4675308,1.1286559
1989-05-01,2.0162332,-9.315867,2.139872,-0.9417746,0.8211464,2.063031,1.8679516
1989-06-01,1.7844436,-5.0813313,1.265172,1.7270794,2.3440895,2.3455198,0.24638349
1989-07-01,1.8459934,-0.03753242,0.5771522,5.621442,1.8131819,2.1603003,-1.050551
1989-08-01,1.8071945,1.3167131,0.31536272,7.6587963,1.1376022,2.004124,-1.3558319
1989-09-01,1.9178572,-1.2376952,0.94566727,6.1231375,1.4447869,2.4261663,-0.5258724
1989-10-01,1.6946062,-5.0262203,1.6124762,4.0371075,2.0451574,2.320649,0.8282499
1989-11-01,1.7547101,-8.841096,1.5017656,0.9386181,0.92789185,1.3499298,1.0701758
1989-12-01,1.4916145,-13.1626215,0.8487699,-3.367717,-0.79551727,0.061423063,0.24946319
