,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1978-12-01,29.161957,12.081512,21.192291,27.817902,27.262573,29.176453,15.745911,16.995758,21.03183
1979-01-01,28.758636,10.331757,19.85492,27.40091,26.205597,29.246521,14.525909,14.946106,18.765503
1979-02-01,28.305084,10.1987915,18.950714,27.649902,25.934357,29.564209,14.018188,13.628479,17.962372
1979-03-01,28.473358,9.084717,18.282959,28.095245,26.241882,29.006714,13.880402,13.585449,17.225464
1979-04-01,28.387299,9.002533,18.76117,29.323914,25.94983,29.385315,13.77594,13.875549,17.624847
1979-05-01,28.63971,11.783325,20.149384,29.966034,26.59195,29.210266,13.815613,16.497253,18.700226
1979-06-01,29.137726,14.544769,22.55542,29.705902,27.47342,29.542938,16.840576,19.948242,21.94522
1979-07-01,29.512482,17.066864,25.481262,28.963684,28.10492,29.61499,19.953552,22.556396,24.780151
1979-08-01,29.490723,21.396881,27.168793,28.50238,28.553162,29.084564,23.40982,26.355988,27.336578
1979-09-01,29.570496,21.09903,26.668335,29.344208,28.703522,28.568634,21.39978,24.361908,26.642242
1979-10-01,29.374664,19.272247,25.07898,28.088959,28.465637,29.062317,20.342804,22.283203,26.103577
1979-11-01,29.282318,16.110443,22.464996,28.471924,27.85736,28.814728,17.704163,19.837982,23.649658
1979-12-01,28.7659,14.234833,20.50235,27.590454,27.070648,28.90274,16.06015,17.079437,21.318542
1980-01-01,28.495361,11.843414,18.366516,27.655548,26.153564,29.141174,14.937958,14.381195,18.945526
1980-02-01,28.190521,10.746735,17.054565,27.296753,25.74231,29.507904,13.40033,13.166748,17.650421
1980-03-01,28.430542,9.841614,18.055725,28.174683,26.147614,29.176819,13.211792,13.326111,17.12387
1980-04-01,28.467651,10.096466,19.272156,29.206512,26.483154,28.77597,13.630463,13.764069,17.75534
1980-05-01,28.799225,12.266541,21.47293,29.656372,26.732574,29.012024,14.413361,16.44043,19.290955
1980-06-01,29.405457,14.8810425,25.13507,29.6232,27.446198,29.392578,17.171875,19.839783,22.970947
1980-07-01,29.216888,16.605713,27.071564,28.73935,28.259796,29.365356,20.747406,22.549805,25.946198
1980-08-01,29.331726,19.755676,26.768219,28.571075,28.901154,29.374786,22.94223,24.323975,26.677643
1980-09-01,29.530151,20.065948,26.81424,28.614136,29.162964,29.502441,20.850342,23.212433,26.9617
1980-10-01,29.162964,17.824615,25.622528,29.008545,28.364716,28.799713,19.613129,21.312073,24.996521
1980-11-01,29.08725,15.470947,23.886963,29.061005,27.96634,28.839294,18.542206,18.102753,22.942719
1980-12-01,28.981323,12.54071,21.258636,27.906952,27.23291,28.86206,15.939087,16.134583,20.694946
1981-01-01,28.70111,11.227814,18.991455,26.749939,26.582306,28.523712,13.597809,12.78064,18.389069
1981-02-01,28.547302,9.656555,17.13205,27.113922,26.296234,28.060791,12.464355,11.9721985,17.354034
1981-03-01,28.354034,9.201813,17.551392,27.636322,26.01889,27.993622,11.703583,11.806091,17.498596
1981-04-01,28.835419,8.791199,18.946838,29.479828,26.831451,28.365814,12.653015,13.57373,17.93692
1981-05-01,29.146606,10.592651,20.7919,29.955048,27.718842,28.65036,13.819275,15.754028,19.587677
1981-06-01,29.354736,11.628204,24.168213,29.403442,28.305847,28.67392,15.994476,18.838165,22.042236
1981-07-01,29.477264,17.078735,26.657654,29.032776,28.625732,29.232208,19.308258,23.825775,25.154053
1981-08-01,29.362946,22.282684,26.279846,28.584229,28.88208,29.214264,23.149567,26.366486,26.71405
1981-09-01,29.648468,20.312561,27.10675,28.973816,29.010742,29.381897,23.281342,23.971863,27.229797
1981-10-01,29.55365,16.695282,24.915161,28.848755,28.940521,29.279358,20.886719,22.013031,25.122253
1981-11-01,29.598755,14.591858,23.36438,28.75235,28.115662,29.14096,18.249115,18.95401,22.749207
1981-12-01,29.03534,11.200134,21.878204,27.808563,27.560944,28.790314,16.644531,16.71579,20.626312
1982-01-01,28.66632,10.489868,19.241394,27.059113,26.609009,29.098907,14.491364,14.308136,18.975037
1982-02-01,28.272278,8.647369,17.385345,26.950958,26.285065,29.050354,13.468475,12.818085,17.635193
1982-03-01,28.536133,8.296875,17.989166,27.623901,26.303589,29.030334,13.054413,13.0469055,16.89618
1982-04-01,28.539642,10.09433,18.57547,29.032837,25.506989,29.71225,14.074799,14.440796,17.180054
1982-05-01,28.558167,11.462219,20.48108,29.834442,26.345154,30.101807,14.719177,17.346283,19.593384
1982-06-01,29.153992,15.020111,23.831696,29.527008,26.64505,29.988129,17.614655,20.651825,22.327637
1982-07-01,28.691345,18.255524,26.237,28.017426,27.78711,29.71576,18.540924,23.326996,24.227234
1982-08-01,28.720398,20.95575,26.739166,28.540161,28.416992,29.528015,21.031342,25.759827,27.104187
1982-09-01,28.614746,19.93634,25.60611,28.181152,28.651794,28.934204,21.829956,24.120575,26.530884
1982-10-01,29.089905,18.282074,24.169647,28.861084,28.592712,29.04184,19.375061,22.051758,25.24112
1982-11-01,29.281677,16.100067,22.92044,29.072876,27.842194,29.388306,18.27658,19.569855,23.150757
1982-12-01,28.054993,13.562103,21.232635,28.29831,26.249512,29.092407,16.412506,17.010315,21.474945
1983-01-01,27.355865,11.950928,18.932343,27.441254,25.541443,28.683197,13.910065,15.036743,19.739716
1983-02-01,27.266174,10.013977,17.725128,27.1586,25.580505,28.301208,12.924225,13.356842,18.299072
1983-03-01,27.308624,8.973633,17.101501,27.93753,25.745941,28.295898,12.281311,12.691254,17.536072
1983-04-01,28.072601,10.15625,17.322388,28.528381,26.074371,28.139618,12.0208435,14.33786,18.17221
1983-05-01,28.82788,12.038208,20.102417,29.667114,26.359436,28.669678,13.880646,17.119812,19.907104
1983-06-01,28.855865,12.827759,23.492584,29.96228,27.470184,28.901672,14.796051,19.906616,21.753387
1983-07-01,28.813904,14.859711,26.246552,29.03479,28.068726,28.908417,17.81482,22.65866,24.471191
1983-08-01,28.884796,19.718994,26.811829,28.76181,28.18158,28.853455,21.963165,26.338196,26.792053
1983-09-01,29.560516,18.515625,25.983215,29.184326,29.192505,29.223389,20.249054,25.52649,26.46167
1983-10-01,29.486237,15.486237,25.557343,28.546692,29.015503,28.641724,19.072205,22.264618,25.520203
