,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1979-05-01,0.13563728,0.35991457,-0.066033915,0.0031232357,-0.10098429,0.2497093
1979-06-01,-0.1225494,-0.046848394,-0.4243124,-0.34385222,-0.23468809,0.029298877
1979-07-01,0.26785374,-0.21461019,-0.6658419,0.015616131,-0.21133825,0.37910002
1979-08-01,-0.01695466,-0.05844889,-0.29938346,-0.3783564,-0.48305884,0.26249972
1979-09-01,-0.30295283,-0.3258565,0.024985885,-0.24762714,-0.4577756,0.09280439
1979-10-01,-0.08923502,-0.09087098,0.037478685,-0.15288934,-0.16969523,0.245545
1979-11-01,0.06439791,0.091019705,-1.2901895,-0.5266353,-0.1671669,0.19111164
1979-12-01,0.39308023,0.6097725,-0.17133121,-0.1273086,0.20479433,0.26948968
1980-01-01,0.2538548,0.2539896,0.15562764,-0.31610575,0.016169095,0.0132047655
1980-02-01,0.46378356,0.25345054,0.23027489,-0.07828536,-0.13366452,0.12598419
1980-03-01,0.03004756,0.43845195,-0.08030653,-0.28983107,0.13218236,-0.0044465065
1980-04-01,-0.0878521,0.20642547,-0.60391575,-0.64016145,0.24711771,-0.07680321
1980-05-01,-0.028295923,0.123828314,-0.16398163,-0.31543213,-0.48493814,-0.04837253
1980-06-01,-0.02398417,-0.13150863,-0.33779937,-0.42295662,0.15131578,0.42228284
1980-07-01,-0.2271758,0.05052843,-0.5601245,-0.29724187,-0.16708067,0.3146236
1980-08-01,0.025331592,-0.11507006,0.12584953,-0.452061,-0.14336598,0.50757486
1980-09-01,0.4225524,0.15562758,-0.19605029,0.09202912,-0.061442565,0.101056814
1980-10-01,-0.12328935,0.07761166,-0.26854175,0.074377835,-0.065889075,0.15279798
1980-11-01,0.04648614,0.00013475418,-0.19106483,-0.30222735,-0.3093687,0.101595834
1980-12-01,0.2623436,0.33254445,-0.46418786,-0.7447216,-0.12598424,-0.103617
1981-01-01,0.11836834,0.26844272,0.22306815,-0.19389872,0.23321399,0.1791027
1981-02-01,-0.12795067,0.28281593,0.31367636,-0.35933274,0.0063411715,0.21249953
1981-03-01,0.4207717,0.014091492,-0.16106567,-0.27337474,-0.08046236,0.15345621
1981-04-01,-0.045938205,0.6059337,-0.43824512,0.031424046,0.2446281,-0.0328331
1981-05-01,-0.58507836,0.037483357,-0.11259089,0.16515212,-0.36398298,-0.040724374
1981-06-01,-0.01197772,0.28211147,0.30958977,0.031846713,-0.09131279,0.24631906
1981-07-01,-0.040442564,-0.23659596,-0.13119169,-0.01690979,-0.15077882,0.25660586
1981-08-01,-0.17952546,0.042415332,0.12851429,-0.17600259,-0.1417603,0.12837334
1981-09-01,0.15909281,0.11385918,-0.12935977,-0.058479644,-0.27041554,0.22236356
1981-10-01,-0.049601935,0.20277643,-0.098922156,-0.056647778,-0.19065776,-0.0042274473
1981-11-01,0.07538929,0.055520438,0.42908564,0.111745454,-0.3732833,0.23405942
1981-12-01,-0.055802155,0.464878,-0.29775295,-0.22165899,-0.18868494,-0.060593415
