,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6
1979-04-01,2.4157814550562762e-05,8.026388486432114e-05,5.637648280206462e-05,0.00013242733984952793,9.596222054786962e-06,6.387702941116537e-05
1979-05-01,2.2038942915969528e-05,8.777490850672665e-05,6.269808914001304e-05,0.00013420705822921408,6.449237712940979e-06,6.0405745454950307e-05
1979-06-01,2.2614736735704355e-05,8.431429650735515e-05,6.870021291145282e-05,0.00012365625910828575,3.465988905275284e-06,6.699026083125074e-05
1979-07-01,2.4597573428764008e-05,8.172082086374243e-05,6.767059096638719e-05,0.00012046153929795285,5.048940289908416e-06,6.749332675187871e-05
1979-08-01,2.1408759494079277e-05,8.22026908807232e-05,6.923884968746575e-05,0.00010580363442912992,3.525762866084949e-06,7.63420269699631e-05
1979-09-01,2.1711177396355197e-05,7.696601762772954e-05,6.875963618967501e-05,0.00010820905644275052,4.50054170700635e-06,6.715530528198565e-05
1979-10-01,2.9858207199140452e-05,8.699601286102132e-05,6.587571870039664e-05,0.00011781613514023392,4.321502049221926e-06,6.0990568294428386e-05
1979-11-01,2.6927116778097115e-05,8.61638098680246e-05,6.16161246657205e-05,0.00011450671368756478,8.172279644755109e-06,6.0036566027542354e-05
1979-12-01,2.435173337289598e-05,9.763817911608571e-05,4.391901852133328e-05,0.0001288436435156894,1.2871445618394628e-05,6.468624012152914e-05
1980-01-01,1.6044230505940504e-05,0.00010477954904683474,3.1264925922638154e-05,0.00013803481507286626,1.2341075189490851e-05,7.152811144251468e-05
1980-02-01,1.7939502868102863e-05,9.992736193957368e-05,3.2183454938448695e-05,0.0001524006093907366,1.34769768769776e-05,5.964050104943808e-05
1980-03-01,2.2976460968493484e-05,9.144113205530378e-05,4.317587113994121e-05,0.00013377459828533525,1.5760496794006105e-05,5.847662289785903e-05
1980-04-01,2.2818034267402254e-05,8.19541511815939e-05,5.462148929075376e-05,0.0001183383574243635,1.0180465511608025e-05,6.798475557688351e-05
1980-05-01,2.4176708393497393e-05,8.536263050634908e-05,6.198946706481218e-05,0.00011771465467877294,3.200339332832619e-06,6.632474584720756e-05
1980-06-01,2.4849901819834486e-05,8.307415774619454e-05,6.675588478603045e-05,0.00012388722289439388,3.6503338706847667e-06,6.355497511898782e-05
1980-07-01,2.4783403205219656e-05,8.07021342004728e-05,6.672462774535293e-05,0.00012941901858491627,2.9154403519081002e-06,6.641734571752661e-05
