,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1972-04-01,0.004979372,-0.02697575,-0.0061175823,0.014586449,-0.08282006,0.040325165,-0.04172027,-0.015416443,0.11430472,0.032978594,0.025015473,-0.017420053
1972-05-01,-0.028260112,-0.085748374,-0.030931592,0.023988008,-0.020553887,0.0042087436,-0.038226783,-0.056053817,0.005595863,0.017514765,-0.024098754,-0.07680917
1972-06-01,-0.04120654,-0.12705368,-0.023636341,0.0011262298,-0.073675334,0.03333819,-0.072236836,-0.036069036,-0.08333379,0.030050218,-0.025845468,-0.0772202
1972-07-01,-0.06370866,-0.01366967,-0.0050387383,-0.065609515,-0.119193316,-0.010484457,-0.06643152,-0.10896975,-0.12402254,-0.058828056,-0.054307044,0.0010748506
1972-08-01,-0.09006387,-0.0045763254,0.009705842,0.008935213,-0.057440937,-0.010330319,-0.052817225,-0.09407109,-0.021941006,0.0052875876,-0.047320127,-0.005346954
1972-09-01,-0.074959695,-3.993511e-06,-0.014799893,-0.021478653,-0.07716882,0.015254319,-0.064941645,-0.07850456,-0.09181064,-0.006990969,-0.046755016,0.035752773
1972-10-01,-0.0059120655,0.009705842,0.031129062,-0.051327348,-0.0022644997,0.024398983,0.0022565126,-0.056978583,0.14512956,-0.13070124,0.0015372634,0.015408397
1972-11-01,-0.05384469,0.035701454,-0.017214537,0.03467393,0.33660313,0.022035778,-0.005346954,-0.10491115,0.17538929,0.016846895,0.010887444,0.012377322
1972-12-01,-0.0026754737,-0.031907678,0.01114434,0.055737555,0.20970756,-3.993511e-06,-0.04711461,-0.08960152,0.37682953,0.008370101,0.016281784,-0.0028809905
1973-01-01,0.02488637,-0.029238462,0.026528,0.034139335,0.02518487,-0.017348886,-0.010085821,-0.02481097,0.4525123,0.017324805,0.030209303,0.014688194
1973-02-01,0.022448778,-0.06963307,0.02608031,0.031801224,0.6414517,0.02583158,-0.020930707,-0.050579965,0.44007552,0.048416734,0.0248366,0.001405716
1973-03-01,1.2814999e-05,-0.032074034,0.013146043,0.03951198,0.4767391,-0.05809176,-0.12967783,-0.051176906,0.45216405,0.045879602,0.022796988,0.037124157
1973-04-01,-0.00859344,-0.0127722025,-0.05585313,0.04150188,0.048764944,0.02508533,-0.0884375,-0.0062553287,0.25869766,0.00846982,0.038467288,-0.083661795
1973-05-01,-0.032173514,-0.049933255,-0.053117037,0.023742199,-0.055007458,-0.038342178,-0.035456836,0.015782654,0.10871017,-0.0041161776,0.00901705,-0.14206487
1973-06-01,-0.066897035,-0.047893643,-0.06072837,0.023592949,-0.02695012,-0.006902039,-0.05784303,0.02667725,-0.065703094,0.018120766,0.015434444,-0.052370846
1973-07-01,-0.07530427,-0.08774102,-0.046998143,-0.0023252964,-0.0077974796,-0.027696311,-0.019289076,0.013942003,-0.09286499,-0.02515918,-0.04197371,0.022100508
1973-08-01,-0.02605462,-0.0030217767,-0.037347257,-0.006553769,-0.053912997,0.011504412,-0.014762044,0.02399093,-0.07833886,-0.04311788,-0.04073006,0.021155357
1973-09-01,-0.048739314,0.0011569858,-0.081920624,-0.006752789,-0.050977945,0.017822266,0.0046393275,0.02409041,-0.049187064,0.009365261,-0.048241854,-0.04187423
1973-10-01,-0.065305114,-0.082517564,-0.06142485,-0.027497292,-0.00819546,0.017573535,0.0038930774,0.019115686,0.037223637,0.019016206,-0.049883485,0.018319726
1973-11-01,-0.05585313,-0.0024247766,-0.09221828,0.05722195,0.35674915,0.04199934,-0.020632207,0.02642852,0.15716386,-0.020781457,0.033741355,0.031154513
1973-12-01,-0.05739534,0.013046563,-0.045306742,0.04125315,0.40923232,-0.07610023,-0.06416094,0.033492625,0.23755515,0.0044403076,0.011056662,0.11055082
1974-01-01,-0.11266732,-0.027463138,-0.0404163,0.030709982,0.510638,-0.026532352,-0.010243893,0.021867692,0.43916267,-0.0044653416,0.031989813,0.040483057
1974-02-01,-0.048366666,0.0027868748,-0.09257817,0.03726417,0.21663117,-0.011213422,-0.077724636,0.03842759,0.65409285,0.032300055,0.035363853,0.023263812
1974-03-01,-0.06678814,-0.019280076,-0.034482658,0.010620892,0.19053087,0.03082633,-0.08272755,0.03039974,0.39983764,0.024815083,0.01073724,0.032144904
1974-04-01,-0.08648944,-0.01947403,-0.030061483,0.026521504,0.006277263,0.019889772,-0.10518235,0.020238817,0.12638533,-0.0015954971,-0.013695478,0.02842182
1974-05-01,-0.04223907,-0.01020509,-0.03393972,-0.004698038,-0.04646635,0.010465741,-0.060854495,0.0048811436,-0.0044653416,-0.00458169,-0.0769878,-0.033629477
1974-06-01,-0.06446117,-0.009429455,-0.051042616,0.011590421,-0.074622095,-0.0006259084,-0.061319828,0.022798419,-0.1329503,0.0019336939,0.0015458465,-0.09094936
1974-07-01,-0.043596447,-0.022964418,-0.04689294,-0.016449034,-0.13357085,-0.009894848,-0.05996245,0.012792647,-0.09250063,0.003523767,-0.025601566,0.008100033
1974-08-01,-0.09168619,-0.024942279,-0.03196186,-0.0746609,-0.05910927,0.013025343,-0.11134869,0.018105805,-0.113132715,-0.05697626,-0.072799325,-0.037274957
1974-09-01,-0.0074127913,-0.033900917,-0.03731376,-0.037934244,-0.103708625,0.008953214,-0.02187848,0.02884847,-0.048793256,-0.017108321,-0.008421123,-5.4240227e-06
1974-10-01,-0.09734839,-0.003922403,-0.08691603,-0.0048143864,0.012870252,0.022216737,-0.05220604,0.02605611,-0.0041550994,0.008526623,-0.061242282,-0.05980736
1974-11-01,-0.14346027,-0.018931031,-0.022382677,0.015042007,0.25234947,0.010892332,-0.040299952,0.021867692,0.31416807,-0.0015566945,-0.028549016,-0.013036191
1974-12-01,-0.08354199,0.031563163,-0.029557347,0.042538524,0.5745896,0.029236257,-0.06531441,-0.025407672,0.6087566,0.03478211,0.01593399,-0.105957985
1975-01-01,-0.07562733,-0.03260076,0.0038401484,0.05008644,0.29057434,-0.014416873,-0.056455612,-0.01869762,0.5287939,0.025829077,0.023487508,0.074709654
