,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8
1987-08-01,19.619629,28.319977,27.980713,21.14508,24.571594,25.285461,13.388336,17.273895
1987-09-01,19.49118,28.525696,28.653625,20.938873,24.428833,25.184631,13.680023,16.55185
1987-10-01,20.060211,28.312317,27.688507,18.682648,25.239899,23.417664,13.584839,16.759583
1987-11-01,21.724884,28.169037,26.299194,16.998047,26.022858,21.465942,14.673798,18.210846
1987-12-01,22.754456,28.35019,25.027039,14.627747,26.45169,20.12265,16.22995,19.976288
1988-01-01,24.341095,27.886108,24.059845,13.476868,27.113678,19.134338,18.069,20.560852
1988-02-01,25.096313,27.652924,23.556519,12.074127,27.895233,18.701813,18.303223,21.357056
1988-03-01,24.800903,27.672638,23.25653,11.826263,28.204803,18.390717,17.475647,21.267517
1988-04-01,23.741638,28.117798,23.413849,12.876404,27.970581,19.305298,16.767426,20.081787
1988-05-01,22.411255,28.513367,24.635498,14.671692,26.956848,20.1521,15.12088,19.002808
1988-06-01,21.396515,28.685883,25.889008,17.144806,26.003326,21.980774,13.5390625,17.888916
1988-07-01,19.946228,28.429413,26.630585,20.30841,24.891449,23.456848,12.512695,16.90503
1988-08-01,19.590088,28.852814,27.49762,23.116425,24.08258,25.469147,12.741852,16.6344
1988-09-01,19.403961,28.221497,27.953888,22.178558,23.802338,25.119598,11.853058,16.131592
1988-10-01,19.53244,27.663544,27.251251,18.867737,24.275818,24.176178,12.515228,16.33545
1988-11-01,20.731812,27.726776,26.403442,17.384064,24.54596,21.726837,13.692352,17.22879
