,mgv850GLB_cluster1,mgv850GLB_cluster2,mgv850GLB_cluster3,mgv850GLB_cluster4,mgv850GLB_cluster5,mgv850GLB_cluster6,mgv850GLB_cluster7,mgv850GLB_cluster8
1974-11-01,0.15828249,0.32175684,-0.23363504,-0.3346664,0.062442996,0.5687224,-0.021609485,0.11001195
1974-12-01,0.060899474,0.4876167,-0.23082861,-0.53546625,0.037185155,0.73444194,-0.04321898,0.0861573
1975-01-01,-0.09060021,0.36562207,-0.278109,-0.4517929,0.04657521,0.34159625,-0.02348895,0.11623669
1975-02-01,0.1863008,0.30481926,-0.28911525,-0.45434314,0.034226727,0.5123273,-0.05113876,0.1416047
1975-03-01,-0.038387634,0.18200569,-0.26938456,-0.49903923,0.03771653,0.4727316,-0.09006331,0.14469182
1975-04-01,0.33528778,0.24696942,-0.12777977,-0.5030659,0.03637433,0.6104439,-0.16697276,0.08992906
1975-05-01,0.35837406,-0.21462174,-0.085097075,-0.50561607,-0.016912032,0.32199985,-0.2513987,0.06013169
1975-06-01,0.46145687,-1.1773996,-0.047649004,-0.3331402,0.01758318,0.4029359,-0.33032155,0.09019752
1975-07-01,0.50333434,-1.2438399,-0.0040266514,-0.20321286,-0.01637516,0.5135352,-0.2983766,0.108988665
1975-08-01,0.42172703,-1.1682726,-0.07315123,-0.34589136,0.030871201,0.14106783,-0.35233402,0.07140639
1975-09-01,0.19932039,-0.7900335,-0.19301195,-0.32669753,0.0034897805,0.0037582398,-0.27045828,0.049528122
1975-10-01,0.19542794,-0.32844242,-0.14885274,-0.50051564,0.016643573,0.44790038,-0.23327868,0.087513044
1975-11-01,0.20106526,0.5744723,-0.26401561,-0.44843736,0.024696946,0.637691,-0.11140468,0.058521032
1975-12-01,0.1630803,0.492865,-0.25086182,-0.41582125,0.023488928,0.6525898,0.0010737658,0.123753116
1976-01-01,-0.056455363,0.36890423,-0.24325418,-0.39089635,0.023735393,0.64916956,-0.05068914,0.13047758
1976-02-01,-0.033122264,0.44534025,-0.26846468,-0.5660287,0.08434779,0.39880818,-0.07294945,0.12900251
1976-03-01,0.08314091,0.23641524,-0.22340767,-0.54940045,0.0685242,0.4484245,-0.08729795,0.1291366
1976-04-01,0.08233632,0.1674887,-0.08635928,-0.43608752,0.05578487,0.49562708,-0.16064969,0.10312154
1976-05-01,0.31660596,0.05793042,-0.13879168,-0.2569322,-0.02480818,0.15971103,-0.290725,0.053237
1976-06-01,0.48436278,-0.9137453,-0.083275005,-0.27718106,-0.012202931,0.42871207,-0.38620293,0.1366461
1976-07-01,0.33551377,-1.134203,0.011532444,-0.2824109,-0.036206506,0.50783,-0.3888849,0.076436
1976-08-01,0.2425837,-0.2649781,-0.074558616,-0.3655518,-0.073217645,0.30172104,-0.3408777,0.06812191
1976-09-01,0.18103261,-0.49120182,-0.086091064,-0.3803026,-0.029635709,0.21777554,-0.264844,0.025210476
1976-10-01,0.20275652,-0.2360129,-0.12109071,-0.39666256,0.023869485,0.2828132,-0.11197202,0.090248115
1976-11-01,0.022126216,0.28804302,-0.14227822,-0.43447828,0.038486194,0.7046863,-0.057125855,0.08917533
1976-12-01,0.19685622,0.3738659,-0.25626174,-0.44091502,0.019041944,0.49951592,0.026015067,0.07509501
1977-01-01,0.0669871,0.09944047,-0.22994742,-0.5358968,0.0149784805,0.54643714,0.012482071,0.13868964
1977-02-01,0.030789101,0.26656145,-0.21455288,-0.43201822,0.06310379,0.64560026,0.08113344,0.14534675
1977-03-01,0.06740316,0.19055958,-0.2798757,-0.3289718,0.073644206,0.5044142,-0.11095171,0.12856528
1977-04-01,0.24880919,0.17405549,-0.17266859,-0.47820187,0.017890954,0.5023338,-0.1177475,0.08654233
1977-05-01,0.44394556,0.02413199,-0.024686718,-0.22204211,0.0134529,0.33382598,-0.18293163,0.107623145
1977-06-01,0.5593353,-1.2328122,-0.021774268,-0.033424206,0.052147307,0.5658537,-0.2673936,0.12939744
1977-07-01,0.5845768,-1.4032618,-0.10998087,-0.45878536,0.01386894,0.63963664,-0.35060742,0.018168345
1977-08-01,0.2838977,-0.5672406,-0.09222861,-0.18390246,-0.019555235,0.56654716,-0.2729412,0.08973219
1977-09-01,0.319957,-0.9351843,-0.12759446,-0.23591109,-0.013868963,0.27710187,-0.21829748,0.10276902
1977-10-01,0.22287425,0.10748446,-0.18223819,-0.18501197,-0.0038833083,0.39373988,-0.18972743,0.12038261
1977-11-01,0.31496415,0.005131483,-0.25671452,-0.29097086,0.07849834,0.7256242,-0.045906268,0.12523675
1977-12-01,0.024548065,0.2328599,-0.34464374,-0.32439503,0.041468203,0.49068394,-0.025102824,0.12745577
1978-01-01,-0.011163485,0.3768837,-0.20315203,-0.39804775,0.012210053,0.41653728,0.042560756,0.120705105
1978-02-01,-0.065352865,0.26815605,-0.2272233,-0.5718957,0.055817395,0.29385534,-0.07779549,0.15035811
1978-03-01,-0.02209438,0.22326955,-0.28769213,-0.5508479,0.055817395,0.40595523,-0.0048840223,0.15652126
1978-04-01,0.011163479,0.4266541,-0.11826311,-0.3302529,0.028373837,0.4049086,-0.12442626,0.12617055
1978-05-01,0.36351076,-0.50130993,-0.20559403,-0.17931336,0.054189384,0.2910644,-0.1908257,0.090586975
1978-06-01,0.4371199,-1.4031097,0.005698025,-0.15466069,0.04721222,0.37013906,-0.2826918,0.03337415
1978-07-01,0.50700796,-0.91831225,0.09849443,-0.17268506,0.056631424,0.20954776,-0.27164462,0.12593798
1978-08-01,0.21757154,-1.5043949,-0.026164401,-0.42467728,0.027210975,0.35746387,-0.23943336,0.062678285
1978-09-01,0.24710825,-0.6501563,0.06407372,-0.34932384,0.022908384,0.12872885,-0.22071126,0.10512276
1978-10-01,0.30804223,-0.21001294,-0.21210608,-0.33560205,0.063259706,0.59619945,-0.12686828,0.13186857
1978-11-01,0.084540084,0.32990405,-0.15942843,-0.3807211,0.033723008,0.86854184,-0.07500462,0.1224494
1978-12-01,-0.07291146,0.38374454,-0.31222853,-0.30257678,0.067678586,0.6403883,0.01755922,0.11826309
1979-01-01,0.065439,0.3014656,-0.28941888,-0.4527189,0.07510613,0.44409284,-0.0020821453,0.12537518
1979-02-01,-0.012641626,0.51280385,-0.26755628,-0.5037316,0.029745007,0.4152403,0.06975202,0.1320678
1979-03-01,0.055474423,0.12552392,-0.22412857,-0.5227684,0.0636543,0.65706706,-0.11660042,0.13757063
1979-04-01,0.09473783,-0.15526892,-0.21936938,-0.45346254,0.028109029,0.44394416,-0.12031853,0.08819394
1979-05-01,0.46342716,0.23870364,-0.19274762,-0.6894892,0.039858304,0.41152206,-0.27142316,0.122251965
1979-06-01,0.35768363,-0.8942835,-0.00089235307,-0.15973067,0.0016359806,0.35218087,-0.35545278,0.045807302
1979-07-01,0.43204612,-0.9314648,-0.028703928,-0.19914278,0.054879524,0.48633075,-0.3292772,0.08581433
1979-08-01,0.508937,-0.8562099,0.0025283217,-0.4081014,0.0880452,0.47458148,-0.20776883,0.12909332
1979-09-01,0.2929883,-0.59802324,-0.022754926,-0.04268408,0.04446878,0.19468102,-0.2699359,0.07510613
1979-10-01,0.25030416,0.10395875,-0.1749006,-0.17713147,0.038817227,0.80876666,-0.09637381,0.099199586
1979-11-01,0.31440467,0.44037476,-0.15720233,-0.40601927,0.008923501,0.77708817,-0.04774072,0.117641486
1979-12-01,0.23052375,0.41107592,-0.20895863,-0.36318648,0.04060193,0.5498364,0.045509856,0.108271815
1980-01-01,-0.0482378,0.48978886,-0.2944123,-0.48466864,0.0026948452,0.6266872,-0.050258934,0.08879529
