,mgu200GLB_cluster1,mgu200GLB_cluster2,mgu200GLB_cluster3,mgu200GLB_cluster4,mgu200GLB_cluster5,mgu200GLB_cluster6,mgu200GLB_cluster7,mgu200GLB_cluster8
1975-06-01,-0.95703965,2.2893581,-1.420042,0.36071092,-2.3751812,-0.19223137,0.76290816,0.6796185
1975-07-01,-0.6739181,1.3009663,-1.0678813,0.36831132,-2.6443684,0.080122754,2.507558,0.6267311
1975-08-01,-0.67138517,2.7916298,-0.875967,0.93107146,-2.8255157,-0.17576294,2.8201318,0.79362756
1975-09-01,-0.48770446,1.9438484,-1.1039841,0.26127014,-2.610166,-0.39269677,1.9634835,0.8718502
1975-10-01,-0.39333,1.1457878,-0.8113617,1.1822071,-2.9946284,-0.13142662,-0.83543015,0.70463717
1975-11-01,0.17322998,0.1637291,-0.5738438,2.881253,-2.4017832,0.4357666,-2.0736916,1.272464
1975-12-01,1.2740475,-1.5359504,-0.5247566,2.9740436,-1.6923958,0.21819992,-2.7311416,1.3769718
1976-01-01,0.76227725,-1.4774578,-0.58196795,2.2908669,-0.60046923,-0.22908631,-2.1179588,1.8861805
1976-02-01,0.94729537,0.41612396,-0.37205505,2.6723418,-0.8776611,-0.19410172,-2.725829,2.0557246
1976-03-01,0.70273435,-0.49315873,-0.6674126,2.3100417,-1.3940312,-0.13792343,-2.3248432,1.9460595
1976-04-01,0.08578186,1.3106045,-0.9018814,1.8727245,-2.2447805,-0.25263444,-1.0374501,1.2480351
1976-05-01,-0.5543831,0.49854127,-1.1286137,1.9262123,-2.0530343,-0.0773716,-0.9691612,0.7562214
1976-06-01,-0.9133194,1.8585964,-1.4710662,1.7428757,-2.7419763,0.0289299,2.4617565,0.7030708
1976-07-01,-1.3516449,1.9810448,-1.3156502,1.5346451,-2.520963,-0.2660904,3.7521777,0.38248405
1976-08-01,-0.8776611,2.4873233,-1.826638,0.7165268,-2.355119,0.07770767,2.0126662,0.760931
1976-09-01,-1.1424061,2.7961361,-1.7344654,1.1356773,-2.9999928,0.38012925,1.5548294,0.4100685
1976-10-01,-0.25297087,1.8710426,-1.5871235,2.2807755,-3.2092323,0.16853523,0.20822982,0.7239273
1976-11-01,0.28728372,3.3791127,-1.1851285,2.6528306,-3.0726547,0.25297087,-2.5593116,0.66976774
1976-12-01,0.42352447,0.024556732,-0.8154274,3.259355,-1.6944344,-0.04205017,-1.883826,1.5618935
